arm,iv,seed,layer,group,strip,step1_delta,early_1_to_20_mean_delta,minimum_0_to_300_delta,minimum_step,step20_delta,step100_delta,step300_delta,step625_delta
SNA,l2-1e-3,0,2,all,-0.04073831397223617,-0.00773065128117052,-0.03520950870557364,-0.04729383723321677,7,-0.04247414868090632,0.002272483737370318,0.03325590036532192,0.04155565658356002
SNA,l2-1e-3,1,1,all,0.06630719232293288,-0.004005289580427894,-0.0926161861912084,-0.1668320725589231,22,-0.1632178259679533,-0.10698266165300369,-0.09445451446802745,-0.06176647647008251
SNA,l2-1e-3,1,1,D_only,-0.4613153147554734,-0.001393185241648112,-0.03789152208873656,-0.08622774606287073,22,-0.0826181674964062,0.08051463795353386,0.16165017281539215,0.2164472211631406
SNA,l2-1e-3,1,1,N_only,0.20249298301621665,-0.007240373419253996,-0.15526912951612834,-0.2626993256257182,22,-0.2609262412579523,-0.19508012255490975,-0.19423792709117926,-0.1711360884183978
SNA,l2-1e-3,1,1,both,-0.4110632322468377,0.001117600640019444,-0.08456490137316705,-0.18051678362176438,23,-0.16766140789206707,-0.08380015697155174,-0.03763013873471035,0.037780697947545426
SNA,l2-1e-3,1,1,rest,0.2530772128198385,-0.004115748249510183,-0.0891793601089824,-0.18696402085098457,36,-0.1554535960708233,-0.14533570029859041,-0.15817899626921722,-0.13307821794084482
SNA,l2-1e-3,1,2,all,-0.003432080498008106,-0.005627112436938518,0.0075638751693810555,-0.02202202233605356,4,0.011947597277099513,-0.004654080435468226,0.006706969123793227,0.005423784007557275
SNA,l2-1e-3,2,1,all,0.07630438583664056,-0.006201609873984891,-0.09354692226771331,-0.17198230123165748,23,-0.16756221835703689,-0.1187521950842347,-0.0938197647452379,-0.07390464327745384
SNA,l2-1e-3,2,1,D_only,-0.45760601348709035,-0.0004960002481474391,-0.023680503340965917,-0.0481056210835333,16,-0.036694030759189596,0.10950494510322532,0.20107153459191984,0.19852303524775947
SNA,l2-1e-3,2,1,N_only,0.22850720436198604,-0.0069948225535820235,-0.14779102926065374,-0.2585915829861185,28,-0.2509429471267451,-0.1907584222645101,-0.16694306396021422,-0.14241799654142617
SNA,l2-1e-3,2,1,both,-0.3626485715675656,-0.0031797760339537847,-0.07946449065661393,-0.1781716808541145,23,-0.15672539516179781,-0.09377384921650608,-0.025026076141905922,0.017909495943341073
SNA,l2-1e-3,2,1,rest,0.25324071935815196,-0.008011327889825564,-0.09809452325940893,-0.1966051398099454,274,-0.18298576390505047,-0.17504803994855003,-0.1769409169341988,-0.15342295864183617
SNA,l2-1e-3,2,2,all,0.011375419957636808,-0.007200862934099095,-0.046148813920315376,-0.0640738531385279,18,-0.06326718814674102,-0.04063371478592192,-0.01621607691331423,-0.012279875520494227
LR,none,0,1,all,0.05616580933234409,-0.0031236109941413528,-0.013059387093483418,-0.06878802470764833,296,0.025302756916927672,-0.0427439998433386,-0.06835732765397742,-0.06916744426579068
LR,none,0,1,D_only,-2.9097955623042786,0.004973632864303475,0.1524189145506002,0.0,0,0.2963770490617538,0.3281314751027097,0.2991036577249866,0.31512292198213815
LR,none,0,1,N_only,1.447566224192695,-0.021117329216787252,-0.338127183708601,-0.7938683413308814,46,-0.5444367305224629,-0.7282113091843218,-0.6855855115153195,-0.6833474756347935
LR,none,0,1,both,-2.5041189235282646,-0.0027552048972151926,-0.1789878685792609,-0.6295093984634879,133,-0.36994926006320805,-0.5782279498454996,-0.5676643122678487,-0.6107404467745458
LR,none,0,1,rest,0.856506957760452,0.0005275640095890796,0.05993684217082577,-0.0029100032438721243,4,0.1684660496065234,0.12365652832115304,0.07010251141279127,0.06640720835807656
LR,none,0,2,all,-0.38318408913518254,-0.008491611355229425,0.005551489109639078,-0.06645517868234924,7,0.14903054950562744,0.30954789223443524,0.28479443620498246,0.32437641266929473
LR,none,1,1,all,0.04638394343715748,-0.0007289423813161099,-0.005717272189690878,-0.05752052304040839,65,0.016810052861508572,-0.024173660791037898,-0.016950014596314806,-0.04056160914564603
LR,none,1,1,D_only,-2.8105140750076827,0.00664455119513477,0.1621493970925028,0.0,0,0.2644048208379434,0.20292346567505135,0.17394677353126822,0.11089511337256519
LR,none,1,1,N_only,1.5526205966318267,-0.009745583101794577,-0.2630121613131682,-0.6774177595488315,46,-0.4366733026492898,-0.5735628974590713,-0.5454515827040141,-0.5526980633827524
LR,none,1,1,both,-2.577108827102836,0.0020846020026519924,-0.08090598884718447,-0.4498579328601951,51,-0.2159036079988836,-0.4334658778239891,-0.38550346229379456,-0.4500655227322085
LR,none,1,1,rest,0.7753185086541526,-0.0006654211920568672,0.028277693981167307,-0.006090945966261717,7,0.1037110051429494,0.11278286444689864,0.12672787781093744,0.11818543744849433
LR,none,1,2,all,-0.5386589880130792,0.005302037751596226,0.23604822764102074,0.0,0,0.4664312297135199,0.5047871265148646,0.5733998518005797,0.5630184419080615
LR,none,2,1,all,0.04760192257205122,-0.0038616456596278835,0.0042846685641837355,-0.07453928251309612,54,0.023762647787991326,-0.058218607893703804,-0.06249143905202418,-0.06556640399031732
LR,none,2,1,D_only,-2.7545816313921145,0.008582991358980677,0.19818693689187258,0.0,0,0.3323262306107535,0.2857395159787885,0.29603447918515746,0.2900765976143199
LR,none,2,1,N_only,1.588530636538236,-0.02568445468494637,-0.33377448723766656,-0.8548019898705719,53,-0.5500653742637108,-0.7754613448512552,-0.7793907971031321,-0.8211071672874329
LR,none,2,1,both,-2.376698034482642,-0.011877419874258806,-0.20331388648230592,-0.9457345717066064,300,-0.4132908956252766,-0.807326513088138,-0.9457345717066064,-1.0302856496346176
LR,none,2,1,rest,0.7097390142623979,0.00014559999330020343,0.07524520478144493,0.0,0,0.15851124975900158,0.13580287916673475,0.13238695561455066,0.14950439291291126
LR,none,2,2,all,-0.34399491298992774,-0.01997973897298308,-0.08239464317295257,-0.1538961036885647,8,0.02495212904863844,0.14614331180033713,0.2627490778193858,0.2754147513901913
LR,l2-1e-3,0,1,all,0.08764199550864042,-0.009736746219844605,-0.15597866759865583,-0.25999341200375437,21,-0.2588756032470662,-0.1634728695821066,-0.14068679363871192,-0.0828376159362348
LR,l2-1e-3,0,1,D_only,-0.5406605121648963,-0.007916779188312621,-0.11771142099272927,-0.17605454188891329,16,-0.1569039427973552,0.13911469848186658,0.1774470701763706,0.2320257546822167
LR,l2-1e-3,0,1,N_only,0.27801656207698694,-0.016162245137721843,-0.22082034243420345,-0.4318955749795235,90,-0.3771870247903558,-0.4193842539660771,-0.36665995577644767,-0.2733806974505369
LR,l2-1e-3,0,1,both,-0.46280356777369747,-7.394350951953016e-05,-0.16932332907612252,-0.3040014940485943,20,-0.3040014940485943,-0.1549441353420267,-0.11836950189458113,-0.07158889198254051
LR,l2-1e-3,0,1,rest,0.295762599315581,-0.008801212285390877,-0.14404387424403012,-0.25239103643976357,22,-0.2480229509972515,-0.18328393298196066,-0.17829052564299594,-0.13066513662471946
LR,l2-1e-3,0,2,all,-0.13821846461116555,-0.006213532308986607,-0.027096009060266962,-0.037350435111398655,10,-0.013596469766818792,0.09611794831390542,0.1155963614053326,0.13836770431641
LR,l2-1e-3,1,1,all,0.04422344220973747,-0.007571157328661924,-0.1387273915134505,-0.21041837815464914,20,-0.21041837815464914,-0.1361065745576726,-0.09553269934987549,-0.04239069140295644
LR,l2-1e-3,1,1,D_only,-0.6020953249542926,-0.008598064969578515,-0.14701307635457694,-0.19945910384938786,15,-0.16229941654432425,0.0905068336915902,0.1886234683610015,0.2223863118551615
LR,l2-1e-3,1,1,N_only,0.26627384340999155,-0.012184661572868164,-0.18611568962122482,-0.3261227087508902,33,-0.3015747908230574,-0.2959481890188466,-0.25274191108629124,-0.196226739990916
LR,l2-1e-3,1,1,both,-0.543005414052482,-0.007556619326501958,-0.15804568967403124,-0.29513743993347324,22,-0.2867285496273421,-0.19480645039051525,-0.12192205613599227,-0.01841654106916249
LR,l2-1e-3,1,1,rest,0.24890450505089032,-0.0055382650108516465,-0.11497389869576417,-0.1858701713737166,21,-0.18484493755050063,-0.14903043532130564,-0.13379871916451697,-0.08015686028759536
LR,l2-1e-3,1,2,all,-0.14685452277697,-0.007852159689616299,-0.04695854544944538,-0.06382366167970065,10,-0.02714126993066513,0.09506146775444974,0.11114573397243929,0.14427126893196124
LR,l2-1e-3,2,1,all,0.08849592391358639,-0.011260553485603612,-0.1623117414643164,-0.26640215274111956,21,-0.26565136734169514,-0.16170843043321695,-0.14049806491600494,-0.09209863021828871
LR,l2-1e-3,2,1,D_only,-0.5548286044200869,-0.007364857615705619,-0.14190427141937417,-0.206407242631424,15,-0.18280839764222503,0.10204026375923593,0.1711276378013257,0.19914819431691452
LR,l2-1e-3,2,1,N_only,0.30773881926916435,-0.026211819466000347,-0.28425600171654,-0.4489069364301464,23,-0.44351437488484097,-0.40021318881829865,-0.3894051713062928,-0.3134451334560495
LR,l2-1e-3,2,1,both,-0.4359465023628168,-0.000743546811050721,-0.1624745219386443,-0.29744274188375763,21,-0.2972332754151183,-0.0928762735183325,-0.08399540972897866,-0.016123250118338518
LR,l2-1e-3,2,1,rest,0.2901856514210622,-0.008459144189984799,-0.12629340548453455,-0.23332950661888352,23,-0.22802854610695866,-0.17486831924472046,-0.16913718917704934,-0.12480918200983027
LR,l2-1e-3,2,2,all,-0.12559339408102554,-0.009783735688121707,-0.06684140535668823,-0.08676370879008717,11,-0.054504590856338735,0.09548594842469595,0.11220509781309947,0.12803686232405628
