seed,condition,rank,condition_number,coefficient_change_norm,residual_ratio,mean_residual_ratio,net_force_ratio,negative_force_rms_ratio,force_rms_ratio,self_force_mean,rest_force_mean,bias_force_max_abs
4,oracle_KUc,25,1.0950098858625584e+16,1.8889203449225964,0.6796881454107272,2.0238683094359086e-15,-1.8970243772706549e-16,3.1867545460434034e-15,4.418480955531582e-15,14.762776076340478,-14.762776076340478,1.138323342650318e-16
5,mean_only,1,1.0,0.06726040795489327,0.9816279477515131,1.7715897330115017e-16,0.006626313733559581,0.03445160081767345,0.05718333459154919,13.133035771016015,-13.13148377357734,3.5128150388530344e-17
5,oracle_K,22,27393.81205513788,215.14833057306623,0.8504391343327397,1.0582296005188704e-13,-6.238145440468419e-14,4.2969103691132433e-13,5.383713339019581e-13,13.133035771016015,-13.13303577101603,1.9449665402543337e-14
5,oracle_Kc,22,1.004818308476607e+17,73.69808884678412,0.8504391343327153,6.550945146069197e-14,-3.655594836972192e-14,2.5179838496932364e-13,3.1548527893071865e-13,13.133035771016015,-13.133035771016026,1.2039902495125654e-14
5,oracle_KUc,22,9618054552697550.0,12.613903762909409,0.8504391343327113,1.5097881391331352e-14,8.688731204122704e-15,4.513474911896326e-14,7.492696397895257e-14,13.133035771016015,-13.133035771016013,2.771762853959192e-15
6,mean_only,1,1.0,0.6367961415917754,0.49769650779649777,4.205763447109754e-16,0.00011443775756105741,0.0016107053228371563,0.0023121144983059066,13.125784158501542,-13.12554246426071,1.4224732503009818e-16
6,oracle_K,13,155.27508435269544,0.7886513590392359,0.4684677658858941,0.0016660780200589492,-5.6661762656282764e-05,0.0008213072251878204,0.0011448012066057806,13.125784158501542,-13.125903828984443,0.0005877243105330459
6,oracle_Kc,14,329.1510815837014,2.806340934391681,0.4621649286820807,2.19266768478531e-15,-1.9960685363390093e-05,0.0002893283643168799,0.00040328813678644515,13.125784158501542,-13.125826315765003,7.75855074630627e-16
6,oracle_KUc,19,9752982413009706.0,12.629220481229085,0.44529956013847194,3.1755876814132076e-15,1.8322900205751947e-16,2.602470356908399e-15,3.733947785131949e-15,13.125784158501542,-13.125784158501542,1.1237755517812253e-15
7,mean_only,1,1.0,0.0023168828523573146,0.9999356843152948,1.86816540228241e-16,0.019155777324665935,0.13338662026343562,0.2011684219800008,11.440848231665495,-11.440678111071058,1.9081958235744878e-17
7,oracle_K,17,136.21930125549767,0.5915646684998076,0.8847984245825267,0.0005608223372652435,-0.00581537371458387,0.04571599677044017,0.06107136941294358,11.440848231665495,-11.440899877433582,5.306652971903301e-05
7,oracle_Kc,18,642.8949049059718,1.2282170900608305,0.8833439574174959,6.861262022928124e-15,-0.001475974487758204,0.011602976563035656,0.015500256322291715,11.440848231665495,-11.440861339651299,6.464013352358577e-16
7,oracle_KUc,22,1.0614249882309554e+16,2.8095850816622656,0.7360885269260286,4.347730390766336e-15,-2.9725152358632575e-14,2.3218379055668666e-13,3.0993911089918633e-13,11.440848231665495,-11.440848231665498,4.12647346847983e-16
8,mean_only,1,1.0,0.24218318118222576,0.7535745710825463,3.766874432427653e-16,-4.650160093667697e-05,0.0007116369941285045,0.0009644785096818624,12.320009105063168,-12.320045104025201,6.765421556309548e-17
8,oracle_K,19,1517.6315897004743,1.4490005114041105,0.6636605124643375,0.0008590799318927922,-0.00017048852073071825,0.002609070139143225,0.00353606136305208,12.320009105063168,-12.32014108782638,0.000159645632853057
8,oracle_Kc,20,1666.6400373061042,5.00985424258923,0.6562169280017855,5.047611739453055e-15,-0.00010964126449131336,0.0016778944880049408,0.0022740430704789967,12.320009105063168,-12.320093983253134,9.374011983309671e-16
8,oracle_KUc,24,1.0085011244217274e+16,4.645232681588457,0.61010243727205,1.6574247502681673e-15,-1.1046039819360376e-16,1.719939310180563e-15,2.3339252407630195e-15,12.320009105063168,-12.320009105063168,3.0444397003392965e-16
9,mean_only,1,1.0,0.020578118790035516,0.9962332313907916,2.339185568919087e-16,-0.00011253195083318142,0.003153784917643988,0.004307408879635813,11.810777522808,-11.810784743301536,3.642919299551295e-17
9,oracle_K,15,199.37072192129543,0.4594878585558535,0.9398633176541252,0.0001750986518504481,-0.00033563819824957125,0.00940649015312639,0.012847293100143134,11.810777522808,-11.810799058677798,2.1546449326372008e-05
9,oracle_Kc,16,2009.1805378544834,3.1381222291021214,0.9386609707714009,3.274859796486722e-15,-0.00043666768342278723,0.012237910600542658,0.016714419710125883,11.810777522808,-11.810805541127799,4.0245584642661925e-16
9,oracle_KUc,20,1.0145943794515844e+16,3.3827501190921354,0.8200936808475829,8.654986605000622e-15,-2.5935756651154413e-15,7.280265049163295e-14,9.944750788301387e-14,11.810777522808,-11.810777522807996,1.0642528525117712e-15
