geometry,optimizer,seed,task,R_endpoint,raw_W_F_endpoint,raw_W_RMS_endpoint
rgb32,adam,304,10,144.69801463131873,223.31222182228595,0.4029042855700944
rgb32,adam,304,20,157.1143803401528,297.5474706467854,0.5368409758581681
rgb32,adam,304,30,171.18903640463216,357.0867561363075,0.6442629211854605
rgb32,adam,304,40,176.88303796039875,404.36918766036996,0.7295708104615777
rgb32,adam,304,50,185.45221784366447,445.6151401120922,0.8039875659334038
rgb32,sgd,304,0,1.4361287366797153,5.776168463917654,0.010421476304773388
rgb32,sgd,304,10,39.65433075972348,36.55903181300973,0.06596052143297894
rgb32,sgd,304,20,39.58078738646314,43.07500561665571,0.07771676902537754
rgb32,sgd,304,30,41.06799574701428,47.66840631134397,0.08600427254904655
rgb32,sgd,304,40,40.484198953284064,51.223444897173145,0.09241834281313398
rgb32,sgd,304,50,41.547374818486205,54.678365667028345,0.09865177855221126
avg16,adam,304,0,1.4127981735665633,5.763962003421914,0.0207989063392151
avg16,adam,304,10,49.18619018016828,121.23528544513076,0.43747015429392094
avg16,adam,304,20,52.715928866664974,156.04100877655523,0.5630644901360307
avg16,adam,304,30,55.34587299858973,182.2948366374801,0.6577998312782999
avg16,adam,304,40,59.290460185482175,205.1532049984913,0.7402828633187089
avg16,adam,304,50,61.58684320969112,224.9727542141503,0.8118005012866949
avg16,sgd,304,0,1.4127981735665633,5.763962003421914,0.0207989063392151
avg16,sgd,304,10,27.260003783421112,34.45045286588515,0.12431236397389564
avg16,sgd,304,20,27.612719298396872,37.85277027352997,0.13658941941872244
avg16,sgd,304,30,27.90308161466214,40.46243850986352,0.14600624853586489
avg16,sgd,304,40,27.1442995943541,41.96277872073798,0.1514201349397673
avg16,sgd,304,50,27.159459124710605,43.90847181239948,0.1584410501287121
