optimizer,seed,task,metric,avg16_value,rgb32_value,ratio,difference
adam,301,30,raw_W_F_endpoint,180.6751019547525,358.8302221680574,0.5035113844734452,-178.15512021330488
adam,301,30,raw_W_RMS_endpoint,0.6519551171839965,0.6474085167565661,1.0070227689468905,0.004546600427430381
adam,301,40,R_endpoint,58.386683604607875,172.35491358957847,0.33875845131773635,-113.9682299849706
adam,301,40,raw_W_F_endpoint,203.75028791150817,406.4165964293789,0.5013335816046403,-202.66630851787073
adam,301,40,raw_W_RMS_endpoint,0.7352205223323312,0.7332647854738543,1.0026671632092805,0.001955736858476831
adam,301,50,R_endpoint,63.2886989621623,184.6282008533708,0.34278998912211317,-121.3395018912085
adam,301,50,raw_W_F_endpoint,223.22255547541405,446.7229563381236,0.49968901823450823,-223.50040086270954
adam,301,50,raw_W_RMS_endpoint,0.8054850155807904,0.8059863096718783,0.9993780364690165,-0.0005012940910879005
adam,302,0,R_endpoint,1.373745813755687,1.4671841977722784,0.9363144831041222,-0.09343838401659132
adam,302,0,raw_W_F_endpoint,5.775808835845612,5.770394006467499,1.0009383812218098,0.005414829378112884
adam,302,0,raw_W_RMS_endpoint,0.020841654913520517,0.010411057915513167,2.0018767624436196,0.01043059699800735
adam,302,10,R_endpoint,48.42604729317623,144.252235281935,0.33570396464588254,-95.82618798875876
adam,302,10,raw_W_F_endpoint,121.00751730814444,226.42022849582284,0.5344377492772333,-105.4127111876784
adam,302,10,raw_W_RMS_endpoint,0.4366482668239093,0.4085118121001246,1.0688754985544666,0.028136454723784676
adam,302,20,R_endpoint,53.29839103912711,158.40854431494284,0.336461592205285,-105.11015327581573
adam,302,20,raw_W_F_endpoint,155.91822810097264,301.2905755729852,0.51750117906759,-145.37234747201254
adam,302,20,raw_W_RMS_endpoint,0.5626214435354127,0.5435943590980008,1.03500235813518,0.019027084437411856
adam,302,30,R_endpoint,57.02067988422222,168.62774823484386,0.33814529625818684,-111.60706835062165
adam,302,30,raw_W_F_endpoint,182.7110922117332,359.30116832246534,0.5085179462810813,-176.59007611073216
adam,302,30,raw_W_RMS_endpoint,0.6593018642023417,0.6482582070347574,1.0170358925621625,0.011043657167584264
adam,302,40,R_endpoint,61.13223408407495,175.79033991511284,0.34775650421743887,-114.65810583103789
adam,302,40,raw_W_F_endpoint,205.55051836339481,407.0175717404924,0.5050163251783399,-201.46705337709756
adam,302,40,raw_W_RMS_endpoint,0.7417165444323318,0.7343490769040033,1.0100326503566799,0.0073674675283285085
adam,302,50,R_endpoint,61.967003537771184,189.16083570131212,0.32758897108922713,-127.19383216354095
adam,302,50,raw_W_F_endpoint,224.65420728858166,448.1763646207227,0.5012629514247127,-223.52215733214106
adam,302,50,raw_W_RMS_endpoint,0.8106510440790288,0.8086085773693816,1.0025259028494253,0.0020424667096471394
adam,303,0,R_endpoint,1.3374611331898907,1.374406397177089,0.9731191123214497,-0.03694526398719833
adam,303,0,raw_W_F_endpoint,5.764021514613145,5.775259338892659,0.9980541437847068,-0.011237824279514363
adam,303,0,raw_W_RMS_endpoint,0.020799121081729332,0.010419836043592427,1.9961082875694136,0.010379285038136905
adam,303,10,R_endpoint,49.40324367050164,148.31737378236932,0.3330914134374611,-98.91413011186768
adam,303,10,raw_W_F_endpoint,121.20274755946701,223.75428829666214,0.5416778756828637,-102.55154073719513
adam,303,10,raw_W_RMS_endpoint,0.43735274331237833,0.40370187056378437,1.0833557513657277,0.03365087274859396
adam,303,20,R_endpoint,52.79168561847942,151.13485990227974,0.3493018463947582,-98.34317428380032
adam,303,20,raw_W_F_endpoint,155.43718635738668,299.1935212067653,0.5195205622449554,-143.75633484937862
adam,303,20,raw_W_RMS_endpoint,0.5608856336594701,0.5398108125266186,1.0390411244899107,0.02107482113285153
adam,303,30,R_endpoint,56.2491104846139,170.09382684635605,0.3306946026643467,-113.84471636174214
adam,303,30,raw_W_F_endpoint,182.14725939632183,357.5848446133489,0.5093819330997512,-175.43758521702705
adam,303,30,raw_W_RMS_endpoint,0.6572673077788687,0.6451615821738983,1.0187638661995024,0.012105725604970363
adam,303,40,R_endpoint,59.77238387105922,176.49877264997943,0.3386560879354998,-116.72638877892021
adam,303,40,raw_W_F_endpoint,204.48365050687792,405.0009639582397,0.5048967007593654,-200.5173134513618
adam,303,40,raw_W_RMS_endpoint,0.7378668166563958,0.7307106736354613,1.009793401518731,0.00715614302093448
adam,303,50,R_endpoint,64.38239568020961,186.87372462029327,0.34452353219280835,-122.49132894008366
adam,303,50,raw_W_F_endpoint,224.4699776023041,446.1885996131598,0.503083175582964,-221.71862201085568
adam,303,50,raw_W_RMS_endpoint,0.8099862624604971,0.8050222127999997,1.0061663511659282,0.004964049660497349
adam,304,0,R_endpoint,1.4127981735665633,1.4361287366797153,0.9837545461508614,-0.02333056311315196
adam,304,0,raw_W_F_endpoint,5.763962003421914,5.776168463917654,0.9978867547627824,-0.012206460495740146
adam,304,0,raw_W_RMS_endpoint,0.0207989063392151,0.010421476304773388,1.9957735095255649,0.010377430034441712
adam,304,10,R_endpoint,49.18619018016828,144.69801463131873,0.33992304804935675,-95.51182445115045
adam,304,10,raw_W_F_endpoint,121.23528544513076,223.31222182228595,0.542895881182943,-102.07693637715519
adam,304,10,raw_W_RMS_endpoint,0.43747015429392094,0.4029042855700944,1.085791762365886,0.034565868723826554
adam,304,20,R_endpoint,52.715928866664974,157.1143803401528,0.3355258045287448,-104.39845147348782
adam,304,20,raw_W_F_endpoint,156.04100877655523,297.5474706467854,0.5244239127200964,-141.5064618702302
adam,304,20,raw_W_RMS_endpoint,0.5630644901360307,0.5368409758581681,1.0488478254401927,0.026223514277862514
adam,304,30,R_endpoint,55.34587299858973,171.18903640463216,0.3233026726534699,-115.84316340604244
adam,304,30,raw_W_F_endpoint,182.2948366374801,357.0867561363075,0.5105057342644608,-174.79191949882738
adam,304,30,raw_W_RMS_endpoint,0.6577998312782999,0.6442629211854605,1.0210114685289216,0.013536910092839416
adam,304,40,R_endpoint,59.290460185482175,176.88303796039875,0.3351958495803105,-117.59257777491658
adam,304,40,raw_W_F_endpoint,205.1532049984913,404.36918766036996,0.5073413387045693,-199.21598266187866
adam,304,40,raw_W_RMS_endpoint,0.7402828633187089,0.7295708104615777,1.0146826774091386,0.010712052857131171
adam,304,50,R_endpoint,61.58684320969112,185.45221784366447,0.3320900872784848,-123.86537463397335
adam,304,50,raw_W_F_endpoint,224.9727542141503,445.6151401120922,0.5048588657862019,-220.6423858979419
adam,304,50,raw_W_RMS_endpoint,0.8118005012866949,0.8039875659334038,1.0097177315724037,0.007812935353291084
sgd,300,0,R_endpoint,1.378352190571416,1.4539855600099385,0.9479820353662897,-0.0756333694385225
sgd,300,0,raw_W_F_endpoint,5.778950661708548,5.776275325350557,1.0004631594249411,0.0026753363579912204
sgd,300,0,raw_W_RMS_endpoint,0.020852992001068726,0.010421669106264178,2.0009263188498823,0.010431322894804548
sgd,300,10,R_endpoint,25.667909824322727,38.96612500698763,0.6587236944838577,-13.298215182664904
sgd,300,10,raw_W_F_endpoint,34.867845637603295,36.052373264570726,0.9671442537700705,-1.18452762696743
sgd,300,10,raw_W_RMS_endpoint,0.12581850040582862,0.06504639815382741,1.934288507540141,0.060772102252001206
sgd,300,20,R_endpoint,27.094576186899946,40.03456870220959,0.6767795199303481,-12.939992515309644
sgd,300,20,raw_W_F_endpoint,38.53890840190559,42.52702797581022,0.9062215310185063,-3.9881195739046333
sgd,300,20,raw_W_RMS_endpoint,0.13906530712571574,0.07672809703021492,1.8124430620370124,0.06233721009550082
sgd,300,30,R_endpoint,27.008628076822976,40.43645472229024,0.6679276969831558,-13.427826645467267
sgd,300,30,raw_W_F_endpoint,40.69553561042385,47.25277216116197,0.8612306484712944,-6.557236550738118
sgd,300,30,raw_W_RMS_endpoint,0.1468473652468388,0.08525437727250912,1.7224612969425885,0.06159298797432969
sgd,300,40,R_endpoint,27.13601056636205,40.95410378845066,0.6625956389262898,-13.81809322208861
sgd,300,40,raw_W_F_endpoint,42.55078229882335,51.1683567093854,0.8315839130909319,-8.61757441056205
sgd,300,40,raw_W_RMS_endpoint,0.15354191009034263,0.09231895162548266,1.6631678261818637,0.061222958464859964
sgd,300,50,R_endpoint,27.60349943363491,42.34435811919332,0.6518813995464283,-14.740858685558415
sgd,300,50,raw_W_F_endpoint,44.122334923772655,54.72453311157639,0.8062624277453917,-10.602198187803737
sgd,300,50,raw_W_RMS_endpoint,0.15921276215946853,0.0987350747601413,1.6125248554907832,0.060477687399327226
sgd,301,0,R_endpoint,1.3741934585067237,1.4595344294411063,0.9415286346022944,-0.08534097093438264
sgd,301,0,raw_W_F_endpoint,5.786865530863557,5.778585082313794,1.0014329543360203,0.00828044854976362
sgd,301,0,raw_W_RMS_endpoint,0.020881552325051508,0.0104258364150282,2.0028659086720406,0.010455715910023308
sgd,301,10,R_endpoint,24.478619235970342,40.22669160365962,0.6085168394445692,-15.748072367689275
sgd,301,10,raw_W_F_endpoint,34.59281638320862,36.5836688016322,0.945580842937908,-1.9908524184235787
sgd,301,10,raw_W_RMS_endpoint,0.12482607406795496,0.0660049719705202,1.8911616858758158,0.058821102097434755
sgd,301,20,R_endpoint,27.07957023487866,40.452015479128676,0.6694244999696105,-13.372445244250017
sgd,301,20,raw_W_F_endpoint,38.81929267771464,42.81048181795307,0.906770749341002,-3.9911891402384256
sgd,301,20,raw_W_RMS_endpoint,0.14007705673268384,0.07723951000541494,1.8135414986820038,0.06283754672726889
sgd,301,30,R_endpoint,27.52933058685827,41.39463521995318,0.6650458553524948,-13.865304633094912
sgd,301,30,raw_W_F_endpoint,41.16378728359183,47.193146775868335,0.8722407827367098,-6.029359492276505
sgd,301,30,raw_W_RMS_endpoint,0.14853702293153898,0.08514679998422844,1.7444815654734196,0.06339022294731053
sgd,301,40,R_endpoint,27.31271960149217,40.81678079176059,0.6691541829532427,-13.504061190268423
sgd,301,40,raw_W_F_endpoint,42.84312314867919,50.726076304369805,0.8445976166500476,-7.882953155690615
sgd,301,40,raw_W_RMS_endpoint,0.15459680426758884,0.09152098065394187,1.6891952333000952,0.06307582361364697
sgd,301,50,R_endpoint,27.128259960321056,40.99183687539266,0.6617966411894587,-13.8635769150716
sgd,301,50,raw_W_F_endpoint,44.30146716727404,54.19329273480033,0.8174714052542846,-9.89182556752629
sgd,301,50,raw_W_RMS_endpoint,0.15985914996575645,0.09777660046471612,1.6349428105085693,0.062082549501040335
sgd,302,0,R_endpoint,1.373745813755687,1.4671841977722784,0.9363144831041222,-0.09343838401659132
sgd,302,0,raw_W_F_endpoint,5.775808835845612,5.770394006467499,1.0009383812218098,0.005414829378112884
sgd,302,0,raw_W_RMS_endpoint,0.020841654913520517,0.010411057915513167,2.0018767624436196,0.01043059699800735
sgd,302,10,R_endpoint,25.62384378672567,39.055955531745134,0.6560803195788747,-13.432111745019466
sgd,302,10,raw_W_F_endpoint,35.382782980811825,36.2918637968728,0.9749508368831884,-0.9090808160609782
sgd,302,10,raw_W_RMS_endpoint,0.12767662049156134,0.06547849166411795,1.9499016737663766,0.06219812882744338
sgd,302,20,R_endpoint,26.67436577632401,39.00685862634423,0.6838378355930673,-12.332492850020223
sgd,302,20,raw_W_F_endpoint,38.66387673811743,42.837961140543584,0.9025610862120226,-4.174084402426153
sgd,302,20,raw_W_RMS_endpoint,0.1395162477666663,0.07728908873758614,1.8051221724240452,0.06222715902908016
sgd,302,30,R_endpoint,26.640378185321126,39.22616577016759,0.6791481569065757,-12.585787584846464
sgd,302,30,raw_W_F_endpoint,40.76834051540901,47.09935619879595,0.8655816937992713,-6.331015683386944
sgd,302,30,raw_W_RMS_endpoint,0.14711007731866071,0.08497758118760285,1.7311633875985424,0.06213249613105787
sgd,302,40,R_endpoint,26.409640995849,39.9525395095917,0.6610253395659278,-13.542898513742703
sgd,302,40,raw_W_F_endpoint,42.61568661103137,51.43012210344049,0.8286133664104316,-8.814435492409118
sgd,302,40,raw_W_RMS_endpoint,0.15377611335362307,0.09279123387773965,1.6572267328208632,0.06098487947588342
sgd,302,50,R_endpoint,27.297055151502196,41.16066928725593,0.6631829759861035,-13.863614135753732
sgd,302,50,raw_W_F_endpoint,44.306662362138226,55.164320875045895,0.8031760685044663,-10.857658512907669
sgd,302,50,raw_W_RMS_endpoint,0.15987789651046477,0.09952854845897074,1.6063521370089326,0.06034934805149403
sgd,303,0,R_endpoint,1.3374611331898907,1.374406397177089,0.9731191123214497,-0.03694526398719833
sgd,303,0,raw_W_F_endpoint,5.764021514613145,5.775259338892659,0.9980541437847068,-0.011237824279514363
sgd,303,0,raw_W_RMS_endpoint,0.020799121081729332,0.010419836043592427,1.9961082875694136,0.010379285038136905
sgd,303,10,R_endpoint,26.898752652888962,39.98230551508235,0.6727664227052155,-13.08355286219339
sgd,303,10,raw_W_F_endpoint,35.42502454039145,36.13094291187671,0.9804622211712827,-0.7059183714852608
sgd,303,10,raw_W_RMS_endpoint,0.1278290465902756,0.06518815505077193,1.9609244423425651,0.06264089153950368
sgd,303,20,R_endpoint,27.733709393040673,41.225916396893474,0.6727251160663226,-13.492207003852801
sgd,303,20,raw_W_F_endpoint,38.49553623648267,43.02090453358036,0.8948100151272884,-4.525368297097685
sgd,303,20,raw_W_RMS_endpoint,0.13890880130457664,0.0776191587913869,1.789620030254577,0.061289642513189746
sgd,303,30,R_endpoint,27.0493937869241,42.50258009255491,0.636417688714909,-15.453186305630808
sgd,303,30,raw_W_F_endpoint,40.390589287776194,47.242695688417015,0.8549594535029714,-6.852106400640821
sgd,303,30,raw_W_RMS_endpoint,0.14574698498765748,0.0852361971029723,1.7099189070059426,0.06051078788468518
sgd,303,40,R_endpoint,26.669045935995296,42.36138025274774,0.6295603631627519,-15.692334316752447
sgd,303,40,raw_W_F_endpoint,41.883044870017095,50.99637954223547,0.821294477097719,-9.113334672218379
sgd,303,40,raw_W_RMS_endpoint,0.15113242018865963,0.09200866705126866,1.642588954195438,0.059123753137390975
sgd,303,50,R_endpoint,27.120860246961612,42.0082760501724,0.6456075515826913,-14.887415803210786
sgd,303,50,raw_W_F_endpoint,43.69351987101872,54.45421525827329,0.8023900383796334,-10.760695387254565
sgd,303,50,raw_W_RMS_endpoint,0.15766540912109325,0.09824736199335596,1.6047800767592668,0.059418047127737295
sgd,304,0,R_endpoint,1.4127981735665633,1.4361287366797153,0.9837545461508614,-0.02333056311315196
sgd,304,0,raw_W_F_endpoint,5.763962003421914,5.776168463917654,0.9978867547627824,-0.012206460495740146
sgd,304,0,raw_W_RMS_endpoint,0.0207989063392151,0.010421476304773388,1.9957735095255649,0.010377430034441712
sgd,304,10,R_endpoint,27.260003783421112,39.65433075972348,0.6874407728274874,-12.394326976302366
sgd,304,10,raw_W_F_endpoint,34.45045286588515,36.55903181300973,0.9423239937559224,-2.1085789471245846
sgd,304,10,raw_W_RMS_endpoint,0.12431236397389564,0.06596052143297894,1.8846479875118445,0.0583518425409167
sgd,304,20,R_endpoint,27.612719298396872,39.58078738646314,0.6976293581223849,-11.968068088066271
sgd,304,20,raw_W_F_endpoint,37.85277027352997,43.07500561665571,0.8787641401698049,-5.222235343125739
sgd,304,20,raw_W_RMS_endpoint,0.13658941941872244,0.07771676902537754,1.7575282803396097,0.0588726503933449
sgd,304,30,R_endpoint,27.90308161466214,41.06799574701428,0.6794361669498017,-13.164914132352141
sgd,304,30,raw_W_F_endpoint,40.46243850986352,47.66840631134397,0.8488313673753846,-7.205967801480455
sgd,304,30,raw_W_RMS_endpoint,0.14600624853586489,0.08600427254904655,1.6976627347507693,0.060001975986818334
sgd,304,40,R_endpoint,27.1442995943541,40.484198953284064,0.6704912112915146,-13.339899358929966
sgd,304,40,raw_W_F_endpoint,41.96277872073798,51.223444897173145,0.8192103987729604,-9.260666176435166
sgd,304,40,raw_W_RMS_endpoint,0.1514201349397673,0.09241834281313398,1.6384207975459208,0.059001792126633326
sgd,304,50,R_endpoint,27.159459124710605,41.547374818486205,0.6536985608204107,-14.3879156937756
sgd,304,50,raw_W_F_endpoint,43.90847181239948,54.678365667028345,0.8030318989376227,-10.769893854628862
sgd,304,50,raw_W_RMS_endpoint,0.1584410501287121,0.09865177855221126,1.6060637978752454,0.05978927157650084
