arm,seed,task,free_growth_ratio,full_w_growth_ratio,fixed15_growth_ratio,bias_rms_initial,bias_rms_final
LRoff0_lr0p00125_1216,5,4000,4.85547050571719,2.972625674737809,1.8836361299362847,0.0,0.7847843701889254
LRoff0_lr0p00125_1216,6,4000,5.056312521293941,3.036732688774327,1.9324297741891483,0.0,0.8860478623811445
LRoff0_lr0p00125_1216,7,4000,5.770694629258306,3.2878082859993882,1.9827853698623181,0.0,0.8063171943769758
LRoff0_lr0p00125_1216,8,4000,5.492297904980798,3.171745380859788,1.9123552924894593,0.0,0.8149384191178325
LRoff0_lr0p00125_1216,9,4000,5.294662987395388,3.1308549472205938,1.9050799460867938,0.0,0.7728944131315713
LRoffm2_lr0p00125_1216,0,4000,3.69977494996401,2.1899507626297336,1.3435331143158482,0.0,0.49874591462259404
LRoffm2_lr0p00125_1216,1,4000,4.224167842609648,2.505245533834095,1.5436203881101764,0.0,0.530979680517935
LRoffm2_lr0p00125_1216,2,4000,3.78790944280035,2.260055932322369,1.4184295260051865,0.0,0.5742793433866876
LRoffm2_lr0p00125_1216,3,4000,3.76135536086787,2.2056287561035495,1.3219855672966685,0.0,0.5049363666144534
LRoffm2_lr0p00125_1216,4,4000,3.776227659219716,2.1796310585611853,1.3095803628131517,0.0,0.5403203317640222
LRoffm2_lr0p00125_1216,5,4000,3.7681454967947223,2.2280939840651572,1.2849269933820409,0.0,0.48714378853399093
LRoffm2_lr0p00125_1216,6,4000,3.796064866609646,2.2404180795700785,1.3662705187471587,0.0,0.562490969792681
LRoffm2_lr0p00125_1216,7,4000,4.2594892799791415,2.457123636535595,1.5281609062709258,0.0,0.6119024566977738
LRoffm2_lr0p00125_1216,8,4000,3.916268037834299,2.2608396983426085,1.361926791279813,0.0,0.48669579082817677
LRoffm2_lr0p00125_1216,9,4000,3.9762571598236196,2.401960147970048,1.539333885324463,0.0,0.5580796627573884
LRoffp2_lr0p00125_1216,0,4000,4.484372052230429,5.101255158494863,5.292598429021793,0.0,3.1202246210271527
LRoffp2_lr0p00125_1216,1,4000,4.439795309426933,5.088616600663182,5.289132222124783,0.0,3.109965085942201
LRoffp2_lr0p00125_1216,2,4000,4.719258282828072,5.298907206024283,5.479416430037086,0.0,3.1101613145388396
LRoffp2_lr0p00125_1216,3,4000,4.419094363486206,5.175176355491774,5.4053955816318675,0.0,3.099298249027475
LRoffp2_lr0p00125_1216,4,4000,4.334824081350697,5.279378925704718,5.547161927490411,0.0,3.1986767442861344
LRoffp2_lr0p00125_1216,5,4000,4.171082344977936,5.075640307055859,5.363134980093782,0.0,3.121253404882715
LRoffp2_lr0p00125_1216,6,4000,4.243587913906135,5.082699825527808,5.334907975225217,0.0,3.0865571747501828
LRoffp2_lr0p00125_1216,7,4000,4.466913804146246,5.1947095948737765,5.3977246624797734,0.0,3.08686212353313
LRoffp2_lr0p00125_1216,8,4000,4.689297099887944,5.20408399154619,5.357651496363204,0.0,3.183932275378946
LRoffp2_lr0p00125_1216,9,4000,4.677439341215436,5.150197136036966,5.300722198230658,0.0,3.118905480766496
