ladder,arm,reference,window,metric,n_seeds,mean_paired_difference,ci_low,ci_high,positive_seeds,negative_seeds
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,middle,full_w_growth_ratio,10,0.08744787704285437,0.07771330600859176,0.09682611167537651,10,0
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,middle,unit_shrink_fraction,10,0.08,0.044,0.11599999999999999,9,1
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,middle,root_distance_rms,10,0.9516774586000609,0.8641733375792224,1.0408887509911258,10,0
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,middle,v_rms,10,-0.08979160952469412,-0.129544153756127,-0.051833776740780144,1,9
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,late,free_growth_ratio,10,-1.4742884461424661,-1.6582318840193833,-1.3252203896290728,0,10
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,late,full_w_growth_ratio,10,-0.8680547035166949,-0.9675974338635972,-0.7945219656807532,0,10
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,late,unit_shrink_fraction,10,0.37,0.332,0.41200000000000003,10,0
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,late,root_distance_rms,10,-0.8861565569026325,-1.0465805667954118,-0.7603174563241749,0,10
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,late,v_rms,10,-0.3093118981791504,-0.3498805163815095,-0.271926360075075,0,10
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,final,free_growth_ratio,10,-1.4741138253542636,-1.6548945229281176,-1.3229512186042263,0,10
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,final,full_w_growth_ratio,10,-0.866214558158395,-0.962101949546132,-0.792923621045688,0,10
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,final,unit_shrink_fraction,10,0.372,0.33499999999999996,0.413,10,0
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,final,root_distance_rms,10,-0.8683488467633943,-1.043332045832184,-0.7067754189059025,0,10
B,LRoffm2_lr0p00125_1216,LRoff0_lr0p00125_1216,final,v_rms,10,-0.3010235581937838,-0.3383499853331329,-0.2651503548693121,0,10
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,early,free_growth_ratio,10,-0.0007189831999409923,-0.014379449484081618,0.014072913682405593,5,5
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,early,full_w_growth_ratio,10,0.0018255750934983884,-0.0034298559443635608,0.007267969503205957,7,3
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,early,unit_shrink_fraction,10,-0.05500000000000001,-0.096,-0.01,1,8
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,early,root_distance_rms,10,18.34315333550154,18.264213246847866,18.42025159656511,10,0
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,early,v_rms,10,-0.0206032215690699,-0.03130344414684546,-0.00882454883857136,1,9
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,middle,free_growth_ratio,10,0.19840605339108391,0.16034168383647948,0.2403199200398805,10,0
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,middle,full_w_growth_ratio,10,0.1293658832867824,0.10422165063401859,0.15842192154418375,10,0
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,middle,unit_shrink_fraction,10,-0.027999999999999997,-0.053000000000000005,0.0010000000000000022,2,8
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,middle,root_distance_rms,10,16.614681332982535,16.31167407580702,16.885780210838394,10,0
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,middle,v_rms,10,0.00988581284779052,-0.025958486029291475,0.04901599910953102,5,5
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,late,free_growth_ratio,10,-0.9149889434410143,-1.1305936447108584,-0.7294697959093308,0,10
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,late,full_w_growth_ratio,10,1.9970630852043325,1.9226857461604594,2.0766260724553702,10,0
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,late,unit_shrink_fraction,10,0.001,0.0,0.003,1,0
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,late,root_distance_rms,10,-3.8919600990983705,-4.074192708376062,-3.717362372865482,0,10
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,late,v_rms,10,-1.0905287760148923,-1.128121322991834,-1.0548723122686552,0,10
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,final,free_growth_ratio,10,-0.9061133756589623,-1.1243977785252919,-0.7128486186015135,0,10
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,final,full_w_growth_ratio,10,2.005957199547278,1.9300836323272648,2.0877822512034454,10,0
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,final,unit_shrink_fraction,10,0.001,0.0,0.003,1,0
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,final,root_distance_rms,10,-4.006040951751127,-4.195504152534223,-3.8206176119143205,0,10
B,LRoffp2_lr0p00125_1216,LRoff0_lr0p00125_1216,final,v_rms,10,-1.0864033073234884,-1.1389007259686341,-1.0429770109686365,0,10
