ladder,arm,seed,window,task_start,task_end,Q_task_sum_unit_mean,R_task_sum_unit_mean,G_task_sum_unit_mean,c_effective,c_defined_count,c_undefined_count
A,LRoff0_1216,6,early,2,20,1.1357603175875741,1.254676158454297,2.390436476041871,-0.13784737352685156,1900,0
A,LRoff0_1216,6,middle,21,100,4.537459577586653,-0.016405494163989814,4.521054083422664,0.00030047038944616255,8000,0
A,LRoff0_1216,6,late,451,500,1.7825136898268454,-1.4119986594893505,0.37051503033749494,0.03625310617229962,5000,0
A,LRoff0_1216,7,early,2,20,0.9235149323156163,0.7534875441952497,1.6770024765108662,-0.11476979278810112,1900,0
A,LRoff0_1216,7,middle,21,100,4.99758029683235,1.261002846430066,6.258583143262417,-0.0222916692646041,8000,0
A,LRoff0_1216,7,late,451,500,1.9623056234754386,-1.355681143980426,0.6066244794950127,0.030572948406730135,5000,0
A,LRoff0_1216,8,early,2,20,0.845319047753753,0.9183149714900157,1.7636340192437685,-0.13316765853260565,1900,0
A,LRoff0_1216,8,middle,21,100,4.947935202371108,0.8419146481719338,5.789849850543041,-0.01500845620890467,8000,0
A,LRoff0_1216,8,late,451,500,1.4608754641769695,-1.2831776728758437,0.17769779130112554,0.034895592354451624,5000,0
A,LRoff0_1216,9,early,2,20,1.897851842226798,1.8173118059833062,3.7151636482101047,-0.13868907391748136,1900,0
A,LRoff0_1216,9,middle,21,100,5.6159631969813155,0.43625050026579204,6.052213697247108,-0.006314101629015052,8000,0
A,LRoff0_1216,9,late,451,500,1.6075433121450138,-1.6084315897981365,-0.0008882776531225628,0.042598053250206054,5000,0
A,LRoffm0p5_1216,0,early,2,20,0.9359913924500363,1.5027629855005273,2.4387543779505645,-0.1975374078103788,1900,0
A,LRoffm0p5_1216,0,middle,21,100,2.408279116740109,0.15835456291573627,2.566633679655845,-0.003923063100150446,8000,0
A,LRoffm0p5_1216,0,late,451,500,0.8034009015326898,-1.096663776266892,-0.2932628747342021,0.04957156993665712,5000,0
A,LRoffm0p5_1216,1,early,2,20,0.8981702718039037,1.1239563771151402,2.022126648919044,-0.14264619105565277,1900,0
A,LRoffm0p5_1216,1,middle,21,100,2.720893939209683,0.5096215967036136,3.230515535913297,-0.011366361686123648,8000,0
A,LRoffm0p5_1216,1,late,451,500,1.1671210878910911,-0.9472138314692463,0.21990725642184486,0.03502116660003414,5000,0
A,LRoffm0p5_1216,2,early,2,20,0.6526608090143464,0.6325134802310781,1.2851742892454245,-0.11727618107862342,1900,0
A,LRoffm0p5_1216,2,middle,21,100,2.8256353951541726,0.5930178519123994,3.4186532470665716,-0.014860764508179978,8000,0
A,LRoffm0p5_1216,2,late,451,500,0.6526116007056131,-0.39201643656776536,0.2605951641378476,0.02134337364462323,5000,0
A,LRoffm0p5_1216,3,early,2,20,1.3034304307102074,1.5727287395517964,2.8761591702620044,-0.17502567382870465,1900,0
A,LRoffm0p5_1216,3,middle,21,100,2.4496017185074814,-0.3644274383325353,2.085174280174946,0.008751921627682884,8000,0
A,LRoffm0p5_1216,3,late,451,500,1.0654495848580734,-0.8610102614104186,0.2044393234476548,0.034463701249087604,5000,0
A,LRoffm0p5_1216,4,early,2,20,1.1177635964103942,0.9745196361780379,2.092283232588432,-0.110600556349458,1900,0
A,LRoffm0p5_1216,4,middle,21,100,3.236502737837329,0.2086660623822858,3.445168800219615,-0.004118137844692304,8000,0
A,LRoffm0p5_1216,4,late,451,500,1.1324281246574361,-0.9823653459073317,0.15006277875010401,0.03613082568833582,5000,0
A,LRoffm0p5_1216,5,early,2,20,0.6989257967987248,0.7947915669461628,1.4937173637448875,-0.12312322865748654,1900,0
A,LRoffm0p5_1216,5,middle,21,100,2.1220590882532617,0.3397694300383921,2.4618285182916546,-0.010013494068760148,8000,0
A,LRoffm0p5_1216,5,late,451,500,0.7344366526850986,-0.7997251209077263,-0.06528846822262763,0.0395533701099467,5000,0
A,LRoffm0p5_1216,6,early,2,20,1.0164031473153234,1.0153618137406577,2.0317649610559814,-0.11821076952764917,1900,0
A,LRoffm0p5_1216,6,middle,21,100,2.3100671696485064,-0.23020319532360967,2.079863974324897,0.006272576996790531,8000,0
A,LRoffm0p5_1216,6,late,451,500,1.0548933288710771,-1.0605304016569717,-0.005637072785894499,0.04301577197758928,5000,0
A,LRoffm0p5_1216,7,early,2,20,0.7088638774628131,0.7251467901525148,1.4340106676153281,-0.11351384918919433,1900,0
A,LRoffm0p5_1216,7,middle,21,100,2.641251070129658,0.46282004134766797,3.104071111477327,-0.011579269690312515,8000,0
A,LRoffm0p5_1216,7,late,451,500,1.3196762956373729,-0.8736056119060758,0.4460706837312971,0.03046025576101591,5000,0
A,LRoffm0p5_1216,8,early,2,20,0.829664814330477,0.990012127879676,1.8196769422101529,-0.13682068236929334,1900,0
A,LRoffm0p5_1216,8,middle,21,100,2.6881486958559497,0.22406612843717472,2.9122148242931245,-0.005343702552239403,8000,0
A,LRoffm0p5_1216,8,late,451,500,0.7969633339742287,-0.9169383066820157,-0.11997497270778702,0.041549435558468385,5000,0
A,LRoffm0p5_1216,9,early,2,20,1.3988301328030286,1.5238764484048144,2.9227065812078434,-0.13869010076792174,1900,0
A,LRoffm0p5_1216,9,middle,21,100,2.80100281471125,-0.4954001615598545,2.3056026531513956,0.010390331772761743,8000,0
A,LRoffm0p5_1216,9,late,451,500,0.9157455679414624,-0.9832013348207662,-0.06745576687930378,0.04203132400935447,5000,0
A,LRoffp0p5_1216,0,early,2,20,1.6436167701702322,1.3851214189135475,3.02873818908378,-0.12930481104021332,1900,0
A,LRoffp0p5_1216,0,middle,21,100,2.2989080321175974,-2.3033897072131424,-0.004481675095544681,0.08354451464276745,8000,0
A,LRoffp0p5_1216,0,late,451,500,2.076930099199389,-2.6052244581294417,-0.5282943589300527,0.13097135237002713,5000,0
A,LRoffp0p5_1216,1,early,2,20,1.9382146630571029,0.476109733901416,2.4143243969585195,-0.03795974975335736,1900,0
A,LRoffp0p5_1216,1,middle,21,100,2.28367283738732,-1.8335890827785963,0.4500837546087243,0.060033678478706956,8000,0
A,LRoffp0p5_1216,1,late,451,500,1.6810057638848848,-1.9594966034358017,-0.2784908395509168,0.11520416763573378,5000,0
A,LRoffp0p5_1216,2,early,2,20,1.3787000704367907,0.49330791911172456,1.8720079895485158,-0.05845463371892682,1900,0
A,LRoffp0p5_1216,2,middle,21,100,2.4616975951435145,-2.004256150529688,0.4574414446138271,0.08302242435675124,8000,0
A,LRoffp0p5_1216,2,late,451,500,0.8599303136209109,-0.8498793115762525,0.010051002044658388,0.07725957030139799,5000,0
A,LRoffp0p5_1216,3,early,2,20,1.3134310710293493,0.625439999610142,1.9388710706394912,-0.07209303707132853,1900,0
A,LRoffp0p5_1216,3,middle,21,100,1.2622225764481803,-0.9130300085468604,0.3491925679013198,0.047588093170765323,8000,0
A,LRoffp0p5_1216,3,late,451,500,0.9734423845163422,-0.90035131274161,0.07309107177473233,0.07377096705993441,5000,0
A,LRoffp0p5_1216,4,early,2,20,2.0890786271183077,0.32584846206570844,2.414927089184016,-0.02729619675622655,1900,0
A,LRoffp0p5_1216,4,middle,21,100,3.577964699770578,-3.2736226398516863,0.30434205991889257,0.09451719342286281,8000,0
A,LRoffp0p5_1216,4,late,451,500,1.709803281493781,-2.412855097069042,-0.7030518155752611,0.1337461862267063,5000,0
A,LRoffp0p5_1216,5,early,2,20,1.5668388161687068,0.7375852403794639,2.304424056548171,-0.07366507655049816,1900,0
A,LRoffp0p5_1216,5,middle,21,100,3.3899522312294983,-2.8108432328361226,0.5791089983933755,0.09373739273906014,8000,0
A,LRoffp0p5_1216,5,late,451,500,2.482027798882814,-2.5045093795588116,-0.022481580675997453,0.12218762745470586,5000,0
A,LRoffp0p5_1216,6,early,2,20,2.339289953061045,0.261348705843755,2.6006386589048,-0.018478767415097512,1900,0
A,LRoffp0p5_1216,6,middle,21,100,3.6721925212037267,-3.9274225439269723,-0.25523002272324546,0.1260187868024005,8000,0
A,LRoffp0p5_1216,6,late,451,500,2.625795251667384,-2.6388533401587595,-0.013058088491375533,0.13144313091820428,5000,0
A,LRoffp0p5_1216,7,early,2,20,1.7206146861734868,0.02498196666563378,1.7455966528391205,-0.0023826024650285284,1900,0
A,LRoffp0p5_1216,7,middle,21,100,1.5104544149107737,-1.119255613910544,0.3911988010002302,0.052831159421432676,8000,0
A,LRoffp0p5_1216,7,late,451,500,1.2319351288508704,-1.2551477334267986,-0.023212604575928438,0.08103897673743156,5000,0
A,LRoffp0p5_1216,8,early,2,20,1.6300060316715883,0.19159861515784432,1.8216046468294325,-0.02035771671367784,1900,0
A,LRoffp0p5_1216,8,middle,21,100,1.346163312724111,-0.9190904097193958,0.4270729030047151,0.04730987208452327,8000,0
A,LRoffp0p5_1216,8,late,451,500,1.25182983061068,-1.1802778624749877,0.07155196813569256,0.08449952567879972,5000,0
A,LRoffp0p5_1216,9,early,2,20,1.4447084533318297,1.0214547436788668,2.466163197010697,-0.09688140109348738,1900,0
A,LRoffp0p5_1216,9,middle,21,100,1.5142199919966441,-1.3409348178626934,0.17328517413395106,0.05683148147361758,8000,0
A,LRoffp0p5_1216,9,late,451,500,0.18016371593795266,-0.2274287351262331,-0.047265019188280445,0.029214670572944704,5000,0
B,LRoff0_lr0p00125_1216,0,early,2,20,0.23139573447531625,0.405039782332419,0.6364355168077354,-0.14720014642612056,1900,0
B,LRoff0_lr0p00125_1216,0,middle,21,100,0.9290381539840202,0.2724768568167717,1.201515010800792,-0.016051294815544563,8000,0
B,LRoff0_lr0p00125_1216,0,late,3951,4000,0.7380492270252154,-0.7605210889917482,-0.02247186196653292,0.029037389367173667,5000,0
B,LRoff0_lr0p00125_1216,1,early,2,20,0.30484341765409534,0.35954644318298806,0.6643898608370834,-0.11148311921187387,1900,0
B,LRoff0_lr0p00125_1216,1,middle,21,100,0.9217192541313337,0.5446989686431744,1.4664182227745082,-0.032033200817725614,8000,0
B,LRoff0_lr0p00125_1216,1,late,3951,4000,1.0290741180480154,-0.9288887731635777,0.10018534488443778,0.031441573465321886,5000,0
B,LRoff0_lr0p00125_1216,2,early,2,20,0.20831181729114245,0.18163710424842558,0.3899489215395681,-0.0775662311613232,1900,0
B,LRoff0_lr0p00125_1216,2,middle,21,100,0.7291144164682516,0.3524415026853449,1.0815559191535966,-0.025692095392521267,8000,0
B,LRoff0_lr0p00125_1216,2,late,3951,4000,0.5305314274746944,-0.7558960619616503,-0.22536463448695596,0.033879836971584414,5000,0
B,LRoff0_lr0p00125_1216,3,early,2,20,0.3309256011969595,0.43191549900233067,0.7628411001992902,-0.13323808372353765,1900,0
B,LRoff0_lr0p00125_1216,3,middle,21,100,1.000080996119069,0.274584603930608,1.2746656000496772,-0.016574954708644892,8000,0
B,LRoff0_lr0p00125_1216,3,late,3951,4000,0.7269611056704841,-0.7229779445508948,0.003983161119589251,0.030273969816896777,5000,0
B,LRoff0_lr0p00125_1216,4,early,2,20,0.4118964888370724,0.28996349217852574,0.7018599810155982,-0.07635889731995583,1900,0
B,LRoff0_lr0p00125_1216,4,middle,21,100,1.0223877329299662,0.5961419966118537,1.61852972954182,-0.03284009692822799,8000,0
B,LRoff0_lr0p00125_1216,4,late,3951,4000,0.7329557043730918,-0.7114707781204924,0.021484926252599453,0.02782444959993633,5000,0
B,LRoff0_lr0p00125_1216,5,early,2,20,0.2395716380613742,0.2990913652512874,0.5386630033126616,-0.10406759174277576,1900,0
B,LRoff0_lr0p00125_1216,5,middle,21,100,0.8160484531086571,0.22583596562314698,1.0418844187318042,-0.015754955714925613,8000,0
B,LRoff0_lr0p00125_1216,5,late,3951,4000,0.8453814612779579,-0.8455289611667645,-0.00014749988880650294,0.035479798777785294,5000,0
B,LRoff0_lr0p00125_1216,6,early,2,20,0.3003199829863811,0.39338913636237505,0.6937091193487561,-0.1161960164148544,1900,0
B,LRoff0_lr0p00125_1216,6,middle,21,100,0.7066300571166997,0.07950125257160946,0.7861313096883094,-0.005778878318164947,8000,0
B,LRoff0_lr0p00125_1216,6,late,3951,4000,0.7981519453038021,-1.0258053974356234,-0.22765345213182114,0.04192623111951696,5000,0
B,LRoff0_lr0p00125_1216,7,early,2,20,0.2988389741542161,0.16689790415858324,0.4657368783127994,-0.05783929092543925,1900,0
B,LRoff0_lr0p00125_1216,7,middle,21,100,0.916595759844442,0.36290699030909224,1.2795027501535343,-0.02366902510267883,8000,0
B,LRoff0_lr0p00125_1216,7,late,3951,4000,0.4651369375858222,-0.5305181306273593,-0.0653811930415371,0.02419976193215286,5000,0
B,LRoff0_lr0p00125_1216,8,early,2,20,0.2751122086830713,0.34504874877222635,0.6201609574552975,-0.1146929169471139,1900,0
B,LRoff0_lr0p00125_1216,8,middle,21,100,0.8695852426472546,0.2954855459048983,1.165070788552153,-0.018990106547273913,8000,0
B,LRoff0_lr0p00125_1216,8,late,3951,4000,0.7835022296167231,-0.7409046124868248,0.04259761712989838,0.024318278726051003,5000,0
B,LRoff0_lr0p00125_1216,9,early,2,20,0.3349527012511785,0.44582800926046334,0.7807807105116418,-0.11924119913690041,1900,0
B,LRoff0_lr0p00125_1216,9,middle,21,100,1.0807161722488772,0.47211551399232676,1.5528316862412042,-0.025900274578366588,8000,0
B,LRoff0_lr0p00125_1216,9,late,3951,4000,0.28106836574413796,-0.4477262449005076,-0.16665787915636968,0.02651586844458179,5000,0
B,LRoffm2_lr0p00125_1216,0,early,2,20,0.2921218051831114,0.4775536604270722,0.7696754656101836,-0.15887099480620084,1900,0
B,LRoffm2_lr0p00125_1216,0,middle,21,100,1.3335178368971636,0.13031289469857843,1.463830731595742,-0.006963823400460328,8000,0
B,LRoffm2_lr0p00125_1216,0,late,3951,4000,0.6644006954679106,-0.875718784834353,-0.21131808936644217,0.04714344743244063,5000,0
B,LRoffm2_lr0p00125_1216,1,early,2,20,0.38128802059626654,0.36650797427049986,0.7477959948667665,-0.11047911154091361,1900,0
B,LRoffm2_lr0p00125_1216,1,middle,21,100,1.4508737468894255,0.49546901083229045,1.946342757721716,-0.021851354312760626,8000,0
B,LRoffm2_lr0p00125_1216,1,late,3951,4000,0.95998044536334,-0.8181284780280681,0.14185196733527192,0.030169438214865802,5000,0
B,LRoffm2_lr0p00125_1216,2,early,2,20,0.2228491830677972,0.2313124371673427,0.4541616202351399,-0.09800393985087086,1900,0
B,LRoffm2_lr0p00125_1216,2,middle,21,100,1.096440687526093,0.4543546051457468,1.55079529267184,-0.027131043511813554,8000,0
B,LRoffm2_lr0p00125_1216,2,late,3951,4000,0.6298938784459106,-0.7444947780137229,-0.1146008995678123,0.03680490458859531,5000,0
B,LRoffm2_lr0p00125_1216,3,early,2,20,0.36455347636716096,0.5007898573681733,0.8653433337353342,-0.16014936706717758,1900,0
B,LRoffm2_lr0p00125_1216,3,middle,21,100,1.3372044498612088,0.10656599507320047,1.4437704449344093,-0.005332255380512913,8000,0
B,LRoffm2_lr0p00125_1216,3,late,3951,4000,0.659549751284183,-0.779463323889019,-0.11991357260483569,0.04553964078880796,5000,0
B,LRoffm2_lr0p00125_1216,4,early,2,20,0.4655216158433365,0.29247605754696027,0.7579976733902966,-0.07694063375565759,1900,0
B,LRoffm2_lr0p00125_1216,4,middle,21,100,1.7359281877799249,0.3564780825694321,2.092406270349357,-0.01482238128344542,8000,0
B,LRoffm2_lr0p00125_1216,4,late,3951,4000,0.751358601722622,-0.7156098596103544,0.03574874211226765,0.03515916078423014,5000,0
B,LRoffm2_lr0p00125_1216,5,early,2,20,0.28917649969800446,0.3303594662394027,0.6195359659374071,-0.10783968429314583,1900,0
B,LRoffm2_lr0p00125_1216,5,middle,21,100,1.050946484062905,0.22748952359010088,1.278436007653006,-0.013453201552022943,8000,0
B,LRoffm2_lr0p00125_1216,5,late,3951,4000,0.7354753166372148,-0.7607044400724181,-0.025229123435203303,0.0383367251683378,5000,0
B,LRoffm2_lr0p00125_1216,6,early,2,20,0.410323526498413,0.40798448177145286,0.8183080082698658,-0.10348475108583689,1900,0
B,LRoffm2_lr0p00125_1216,6,middle,21,100,1.1566549120784502,-0.07975837314039316,1.0768965389380574,0.0044250213684766,8000,0
B,LRoffm2_lr0p00125_1216,6,late,3951,4000,0.9845615858538753,-1.083825501316281,-0.09926391546240572,0.04492869745838113,5000,0
B,LRoffm2_lr0p00125_1216,7,early,2,20,0.2727906372511778,0.27800583502374504,0.550796472274923,-0.10305856581625449,1900,0
B,LRoffm2_lr0p00125_1216,7,middle,21,100,1.2530082854577964,0.29901609060155754,1.552024376059354,-0.01578140260142039,8000,0
B,LRoffm2_lr0p00125_1216,7,late,3951,4000,0.677446685691138,-0.6635990027984533,0.013847682892684697,0.03039380905720544,5000,0
B,LRoffm2_lr0p00125_1216,8,early,2,20,0.32576680411377146,0.32897026548527564,0.6547370695990472,-0.10459416898512791,1900,0
B,LRoffm2_lr0p00125_1216,8,middle,21,100,1.32655905001192,0.28249329212675844,1.6090523421386784,-0.014477548153912174,8000,0
B,LRoffm2_lr0p00125_1216,8,late,3951,4000,0.906648901745932,-0.762593634380078,0.14405526736585433,0.032573001609320064,5000,0
B,LRoffm2_lr0p00125_1216,9,early,2,20,0.39684079991293497,0.6181847730693373,1.0150255729822721,-0.15477624025785647,1900,0
B,LRoffm2_lr0p00125_1216,9,middle,21,100,1.5194599181310964,0.36377754268930945,1.8832374608204059,-0.0163854675184151,8000,0
B,LRoffm2_lr0p00125_1216,9,late,3951,4000,0.6375932976994425,-0.712198269619209,-0.07460497191976648,0.037997702845183653,5000,0
B,LRoffp2_lr0p00125_1216,0,early,2,20,0.27641566273762463,0.39941907239436886,0.6758347351319935,-0.13649230065836393,1900,0
B,LRoffp2_lr0p00125_1216,0,middle,21,100,1.507107068216178,0.43868894758949345,1.9457960158056715,-0.0213214003697661,8000,0
B,LRoffp2_lr0p00125_1216,0,late,3951,4000,0.23367245397107847,-0.27577949189902334,-0.0421070379279449,0.0166801253665893,5000,0
B,LRoffp2_lr0p00125_1216,1,early,2,20,0.33782504142447733,0.3795966963410878,0.7174217377655651,-0.11700113893252748,1900,0
B,LRoffp2_lr0p00125_1216,1,middle,21,100,2.148808710517698,0.28471041429475685,2.433519124812455,-0.009601773845418908,8000,0
B,LRoffp2_lr0p00125_1216,1,late,3951,4000,0.16656162103188205,-0.25771814757396244,-0.0911565265420804,0.018980702713855577,5000,0
B,LRoffp2_lr0p00125_1216,2,early,2,20,0.22897349005237017,0.18946556777237727,0.41843905782474744,-0.07951970970704611,1900,0
B,LRoffp2_lr0p00125_1216,2,middle,21,100,1.332097506751914,0.5700304275970889,1.9021279343490027,-0.03094153463715381,8000,0
B,LRoffp2_lr0p00125_1216,2,late,3951,4000,0.17882201941696485,-0.20034906448318507,-0.0215270450662204,0.013939366042548635,5000,0
B,LRoffp2_lr0p00125_1216,3,early,2,20,0.3303450542310819,0.4775465015266124,0.8078915557576942,-0.15313172749900003,1900,0
B,LRoffp2_lr0p00125_1216,3,middle,21,100,1.5600929713499174,0.07246818996607148,1.6325611613159887,-0.0033622045967845854,8000,0
B,LRoffp2_lr0p00125_1216,3,late,3951,4000,0.2176989682804963,-0.31174744748254285,-0.09404847920204644,0.020989280429354818,5000,0
B,LRoffp2_lr0p00125_1216,4,early,2,20,0.4451518618864906,0.3280329558969176,0.7731848177834082,-0.0884253485751964,1900,0
B,LRoffp2_lr0p00125_1216,4,middle,21,100,1.8949067562140078,0.0011807214214835104,1.8960874776354915,-4.390292065781922e-05,8000,0
B,LRoffp2_lr0p00125_1216,4,late,3951,4000,0.34779305727490095,-0.42104875736773395,-0.073255700092833,0.023188980236048748,5000,0
B,LRoffp2_lr0p00125_1216,5,early,2,20,0.26975500419788784,0.24070041373034223,0.5104554179282301,-0.0823038931133916,1900,0
B,LRoffp2_lr0p00125_1216,5,middle,21,100,1.2267812166787424,0.28373889336568436,1.5105201100444268,-0.01679587101111574,8000,0
B,LRoffp2_lr0p00125_1216,5,late,3951,4000,0.21782485807692312,-0.15588085355154704,0.06194400452537592,0.010400444807735323,5000,0
B,LRoffp2_lr0p00125_1216,6,early,2,20,0.44455628106191475,0.30633501665132556,0.7508912977132403,-0.07641126397922791,1900,0
B,LRoffp2_lr0p00125_1216,6,middle,21,100,1.3398455987999554,0.06241342155466095,1.4022590203546166,-0.0034123329474981348,8000,0
B,LRoffp2_lr0p00125_1216,6,late,3951,4000,0.20554773647695795,-0.2596607137327126,-0.05411297725575468,0.017705080189053476,5000,0
B,LRoffp2_lr0p00125_1216,7,early,2,20,0.2663037992761225,0.2296351181740142,0.49593891745013674,-0.08673445741584554,1900,0
B,LRoffp2_lr0p00125_1216,7,middle,21,100,1.6636189795857959,0.09188197130088366,1.7555009508866797,-0.003996692826396474,8000,0
B,LRoffp2_lr0p00125_1216,7,late,3951,4000,0.24743793282541976,-0.21769219076408164,0.029745742061338145,0.013683189131185427,5000,0
B,LRoffp2_lr0p00125_1216,8,early,2,20,0.29665823485468656,0.3014382979479679,0.5980965328026544,-0.09806598518796854,1900,0
B,LRoffp2_lr0p00125_1216,8,middle,21,100,1.578758217874229,0.36409029219713906,1.9428485100713677,-0.01765838123923297,8000,0
B,LRoffp2_lr0p00125_1216,8,late,3951,4000,0.31630052149451043,-0.36490281290123383,-0.04860229140672334,0.01826231099379426,5000,0
B,LRoffp2_lr0p00125_1216,9,early,2,20,0.45358486531395864,0.522025669776536,0.9756105350904947,-0.12391927286476337,1900,0
B,LRoffp2_lr0p00125_1216,9,middle,21,100,1.6017328956112824,0.47262672588393606,2.0743596214952187,-0.019594910958606437,8000,0
B,LRoffp2_lr0p00125_1216,9,late,3951,4000,0.18764521102042309,-0.19714580713051144,-0.0095005961100883,0.013226977810590634,5000,0
