geometry,optimizer,seed,task,R,raw_W_F,snapshot
dup64,sgd,302,30,69.35866481419009,50.89528953097962,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed302/t030.npz
dup64_half,adam,302,10,272.6557863757868,448.0720344057652,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed302/t010.npz
dup64_half,adam,302,20,306.60686271584865,598.4960000743722,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed302/t020.npz
dup64_half,adam,302,30,327.2510258386973,712.0565921597658,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed302/t030.npz
dup64_half,sgd,302,10,38.416738891453676,37.497531317414406,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed302/t010.npz
dup64_half,sgd,302,20,38.71691387735699,43.722477359017894,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed302/t020.npz
dup64_half,sgd,302,30,41.12208895152031,48.35260690421346,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed302/t030.npz
rgb32,adam,303,10,148.31737378236934,223.7542882966632,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed303/t010.npz
rgb32,adam,303,20,151.13485990227974,299.1935212067665,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed303/t020.npz
rgb32,adam,303,30,170.09382684635605,357.5848446133497,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed303/t030.npz
rgb32,sgd,303,10,39.98230551508235,36.13094291187687,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed303/t010.npz
rgb32,sgd,303,20,41.225916396893474,43.02090453358048,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed303/t020.npz
rgb32,sgd,303,30,42.50258009255491,47.24269568841716,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed303/t030.npz
dup64,adam,303,10,527.6224899474892,440.8873015819328,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed303/t010.npz
dup64,adam,303,20,588.4631765505649,590.2679129130993,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed303/t020.npz
dup64,adam,303,30,616.1447245214365,697.6682964975038,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed303/t030.npz
dup64,sgd,303,10,65.85828007852035,35.93790423332562,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed303/t010.npz
dup64,sgd,303,20,67.99598254956341,44.75916015001711,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed303/t020.npz
dup64,sgd,303,30,69.20371445465165,51.116391188769754,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed303/t030.npz
dup64_half,adam,303,10,282.53623385218424,447.9454568444874,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed303/t010.npz
dup64_half,adam,303,20,306.9937055737978,601.0457182624205,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed303/t020.npz
dup64_half,adam,303,30,336.96802205527086,713.574105742626,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed303/t030.npz
dup64_half,sgd,303,10,39.93667773298307,36.6576170773248,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed303/t010.npz
dup64_half,sgd,303,20,39.72573423358327,43.05271864427596,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed303/t020.npz
dup64_half,sgd,303,30,40.702641456971065,47.73019562631457,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed303/t030.npz
rgb32,adam,304,10,144.69801463131878,223.31222182228703,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed304/t010.npz
rgb32,adam,304,20,157.11438034015274,297.5474706467869,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed304/t020.npz
rgb32,adam,304,30,171.18903640463216,357.0867561363082,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/adam/seed304/t030.npz
rgb32,sgd,304,10,39.65433075972347,36.55903181300988,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed304/t010.npz
rgb32,sgd,304,20,39.58078738646314,43.0750056166558,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed304/t020.npz
rgb32,sgd,304,30,41.06799574701428,47.6684063113441,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/rgb32/sgd/seed304/t030.npz
dup64,adam,304,10,533.9158474350431,440.2182765144375,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed304/t010.npz
dup64,adam,304,20,585.5299707362653,587.3437756364474,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed304/t020.npz
dup64,adam,304,30,629.9227761863705,698.5916142155232,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/adam/seed304/t030.npz
dup64,sgd,304,10,65.0399910887754,36.33302025600049,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed304/t010.npz
dup64,sgd,304,20,67.88663123837338,44.980025140212064,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed304/t020.npz
dup64,sgd,304,30,69.69492964804454,51.67820878916643,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64/sgd/seed304/t030.npz
dup64_half,adam,304,10,270.79968325243334,445.524338858039,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed304/t010.npz
dup64_half,adam,304,20,303.4337692866728,600.9555691334499,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed304/t020.npz
dup64_half,adam,304,30,321.22096271223216,714.542037486816,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/adam/seed304/t030.npz
dup64_half,sgd,304,10,40.3268671407636,36.64615476654613,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed304/t010.npz
dup64_half,sgd,304,20,39.54039689164973,42.83703788945898,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed304/t020.npz
dup64_half,sgd,304,30,40.30111770540001,47.240603217824244,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/dup64_half/sgd/seed304/t030.npz
