geometry,optimizer,seed,window,n_negative_c,R_prev,raw_W_prev_F,D_eff,c,Rstar_local,R_over_Rstar_local,end_acc,R_t10,raw_W_F_t10,R_t20,raw_W_F_t20,R_t30,raw_W_F_t30
dup64_half,adam,302,task26-30,5,317.46654044815836,680.0534643038135,187.23293905916546,-0.28358448949665255,339.15808305077843,0.9360429732132539,0.9983333349227904,272.6557863757868,448.0720344057652,306.60686271584865,598.4960000743722,327.2510258386973,712.0565921597658
dup64_half,adam,303,task26-30,5,329.71748515865386,683.6197967543387,187.23287125340167,-0.24957725253032567,375.1000328658786,0.8817977040285109,0.9233333468437196,282.53623385218424,447.9454568444874,306.9937055737978,601.0457182624205,336.96802205527086,713.574105742626
dup64_half,adam,304,task26-30,5,320.51729085261724,682.9957095702019,182.11900290549485,-0.2861160543846665,317.30100394765634,1.0101363905721883,0.993333339691162,270.79968325243334,445.524338858039,303.4337692866728,600.9555691334499,321.22096271223216,714.542037486816
dup64_half,sgd,300,task26-30,5,40.92986905084677,47.09357338074596,15.858071653619888,-0.20583978371649436,40.774843739833145,0.9934708351838993,0.7591666579246521,39.83936853046792,37.068159387757056,41.58035215331447,43.730221524593176,41.13657566975955,48.28297953932976
dup64_half,sgd,301,task26-30,5,40.69832303438876,46.84781207104475,15.85027944660552,-0.21449027850551544,39.36409383670723,1.0400479981108575,0.7408333420753479,40.16023214816846,37.34821476392178,40.443201663268816,43.5286355069853,39.94077285962264,47.910273922015946
dup64_half,sgd,302,task26-30,5,40.78435291622322,47.048907749251164,16.373094848548085,-0.17750734333828053,44.21901627699534,0.9253728134818883,0.746666669845581,38.416738891453676,37.497531317414406,38.71691387735699,43.722477359017894,41.12208895152031,48.35260690421346
dup64_half,sgd,303,task26-30,5,40.26205598293531,46.61695410394944,16.122028000299217,-0.17636135499868094,44.979912342316716,0.8980463718994309,0.7775000333786011,39.93667773298307,36.6576170773248,39.72573423358327,43.05271864427596,40.702641456971065,47.73019562631457
dup64_half,sgd,304,task26-30,5,40.29039947696081,45.81394882312345,15.848680057186424,-0.18444598840700732,43.26198821278372,0.9348607811309421,0.7458333373069763,40.3268671407636,36.64615476654613,39.54039689164973,42.83703788945898,40.30111770540001,47.240603217824244
rgb32,adam,300,task26-30,5,168.97495340664244,341.62380738955693,97.41344641484173,-0.2788491141383968,169.56564302818393,0.9741672486735065,0.9950000047683716,148.88396163579446,226.33239913043047,160.7080033046396,300.33279584058187,173.56162204407744,357.979287207196
rgb32,adam,301,task26-30,5,167.59910913229297,343.94656323738394,93.47383817712218,-0.28184169083997485,169.43640189619344,0.9909501999447495,0.9541667103767396,145.964724817093,225.57352214715917,162.25038356070067,301.11304744537324,162.65924290945773,358.8302221680581
rgb32,adam,302,task26-30,5,163.45505885166153,342.5523200514118,94.88234287491049,-0.28167274301180345,171.67833208505598,0.9480303596508778,0.9975000023841858,144.252235281935,226.42022849582395,158.40854431494287,301.2905755729863,168.62774823484386,359.30116832246614
rgb32,adam,303,task26-30,5,168.6176679323927,341.37185138803716,96.27007567519159,-0.27188456361952706,170.69916425389874,0.9760315327899602,0.9825000166893004,148.31737378236934,223.7542882966632,151.13485990227974,299.1935212067665,170.09382684635605,357.5848446133497
rgb32,adam,304,task26-30,5,167.0725687878535,339.6455530423038,95.58393938138747,-0.2646056601171583,184.9292746701106,0.9145223589849996,0.9950000047683716,144.69801463131878,223.31222182228703,157.11438034015274,297.5474706467869,171.18903640463216,357.0867561363082
rgb32,sgd,300,task26-30,5,40.18407473296512,46.183182650620054,15.27099446220668,-0.1722006512340031,44.07603562578385,0.9116989348619641,0.7441666722297668,38.96612500698763,36.05237326457086,40.0345687022096,42.52702797581033,40.43645472229024,47.25277216116209
rgb32,sgd,301,task26-30,5,40.33985682987672,45.98267814055639,15.621554108682014,-0.18165477833787572,43.54326862444123,0.9225254328434442,0.7275000214576721,40.22669160365961,36.58366880163234,40.452015479128676,42.810481817953196,41.39463521995318,47.19314677586849
rgb32,sgd,302,task26-30,5,39.379546012192634,46.0517730826173,15.939608533084996,-0.21433684986748366,37.54827783632049,1.0304002897957514,0.7333333492279053,39.05595553174513,36.291863796872974,39.00685862634424,42.83796114054371,39.22616577016758,47.09935619879609
rgb32,sgd,303,task26-30,5,41.67148161800288,46.12867076429796,16.15704011619756,-0.19382331030879607,42.835627748454385,0.9745152861022487,0.7558333277702332,39.98230551508235,36.13094291187687,41.225916396893474,43.02090453358048,42.50258009255491,47.24269568841716
rgb32,sgd,304,task26-30,5,40.42199257128989,46.2268769292464,16.027475511223216,-0.18333417763089083,45.65023051244454,0.8854718172840464,0.7633333802223206,39.65433075972347,36.55903181300988,39.58078738646314,43.0750056166558,41.06799574701428,47.6684063113441
