model,direction,comparison,seed,valid,target_self_residual_difference
snake075,minus,alonec-pulse,0,True,0.22450172785944625
snake075,minus,alonec-pulse,1,True,-0.02910528555258765
snake075,minus,alonec-pulse,2,True,0.42133902835183334
snake075,minus,alonec-pulse,3,True,0.16589950435523185
snake075,minus,alonec-pulse,4,True,0.23718271981990352
snake075,minus,alonec-pulse,5,True,0.021611310742420863
snake075,minus,alonec-pulse,6,True,-0.21577003426881547
snake075,minus,alonec-pulse,7,True,-0.3510790389944555
snake075,minus,alonec-pulse,8,True,-0.7939704013790924
snake075,minus,alonec-pulse,9,True,-0.17243024223744657
snake075,minus,alonec-pulse,10,True,-0.045254171053768055
snake075,minus,alonec-pulse,11,True,0.32703981894946604
snake075,minus,alonec-pulse,12,True,0.08033564784232382
snake075,minus,alonec-pulse,13,True,-0.228401722201092
snake075,minus,alonec-pulse,14,True,0.09844400239106965
snake075,minus,alonec-pulse,15,True,0.293929412729091
snake075,minus,alonec-pulse,16,True,0.09065154141892878
snake075,minus,alonec-pulse,17,True,-0.3853135755111118
snake075,minus,alonec-pulse,18,True,-0.5349372523008067
snake075,minus,alonec-pulse,19,True,-0.6552892665288061
snake075,minus,alone-pulse,0,True,-0.23609894726559555
snake075,minus,alone-pulse,1,True,-0.06375853708615378
snake075,minus,alone-pulse,2,True,0.727892057992389
snake075,minus,alone-pulse,3,True,-0.03068912351701219
snake075,minus,alone-pulse,4,True,-0.08174597987580734
snake075,minus,alone-pulse,5,True,0.01878855777191806
snake075,minus,alone-pulse,6,True,-0.19026005712254057
snake075,minus,alone-pulse,7,True,0.7054331630426016
snake075,minus,alone-pulse,8,True,-0.9076993260626266
snake075,minus,alone-pulse,9,True,-0.1770210730444987
snake075,minus,alone-pulse,10,True,-0.27049155150944604
snake075,minus,alone-pulse,11,True,-0.06718245507117779
snake075,minus,alone-pulse,12,True,-0.028507375797051572
snake075,minus,alone-pulse,13,True,-0.5804917501436835
snake075,minus,alone-pulse,14,True,-0.1777310935666598
snake075,minus,alone-pulse,15,True,0.009666808867940108
snake075,minus,alone-pulse,16,True,-0.2198425894965848
snake075,minus,alone-pulse,17,True,-0.5255698466951537
snake075,minus,alone-pulse,18,True,-0.820404105205602
snake075,minus,alone-pulse,19,True,-1.0158055756556736
snake1,plus,alonec-pulse,0,True,-0.11452274769555626
snake1,plus,alonec-pulse,1,True,-0.7410173535268962
snake1,plus,alonec-pulse,2,True,0.055172592886779115
snake1,plus,alonec-pulse,3,True,-0.012585963686265383
snake1,plus,alonec-pulse,4,True,-0.048139111231376396
snake1,plus,alonec-pulse,5,True,-0.1816894261999879
snake1,plus,alonec-pulse,6,True,0.08075816025776357
snake1,plus,alonec-pulse,7,True,-0.19329098015592502
snake1,plus,alonec-pulse,8,True,-0.13587564876760383
snake1,plus,alonec-pulse,9,True,0.12807314800714198
snake1,plus,alonec-pulse,10,True,-0.46797560495272694
snake1,plus,alonec-pulse,11,True,-0.05955935190799688
snake1,plus,alonec-pulse,12,True,0.1964144734484048
snake1,plus,alonec-pulse,13,True,0.12407631645665616
snake1,plus,alonec-pulse,14,True,-1.3308322833998085
snake1,plus,alonec-pulse,15,True,-0.019333452560187647
snake1,plus,alonec-pulse,16,True,0.18375381353937076
snake1,plus,alonec-pulse,17,True,0.09536535209449135
snake1,plus,alonec-pulse,18,True,-0.4055958249828918
snake1,plus,alonec-pulse,19,True,0.0039795216842727354
snake1,plus,alone-pulse,0,True,-0.3043181158746717
snake1,plus,alone-pulse,1,True,-0.9919192564232624
snake1,plus,alone-pulse,2,True,-0.2575727237092684
snake1,plus,alone-pulse,3,True,-0.08427330143828299
snake1,plus,alone-pulse,4,True,0.06724046729859878
snake1,plus,alone-pulse,5,True,-0.18634326181325478
snake1,plus,alone-pulse,6,True,0.17258108210507006
snake1,plus,alone-pulse,7,True,-0.2839775262309288
snake1,plus,alone-pulse,8,True,-0.2864077492577133
snake1,plus,alone-pulse,9,True,0.31376179973404733
snake1,plus,alone-pulse,10,True,-0.787663557727722
snake1,plus,alone-pulse,11,True,-0.2913275614401158
snake1,plus,alone-pulse,12,True,-0.005017672558487636
snake1,plus,alone-pulse,13,True,-0.09040537693712912
snake1,plus,alone-pulse,14,True,-1.5759056537544605
snake1,plus,alone-pulse,15,True,0.02741509389354821
snake1,plus,alone-pulse,16,True,-0.02264052137246632
snake1,plus,alone-pulse,17,True,-0.12061140370986151
snake1,plus,alone-pulse,18,True,-0.7819669115420054
snake1,plus,alone-pulse,19,True,-0.04178172170525514
snake1,minus,alonec-pulse,0,True,0.15994021834809444
snake1,minus,alonec-pulse,1,True,0.15811729295969615
snake1,minus,alonec-pulse,2,True,-0.07117287209640485
snake1,minus,alonec-pulse,3,True,-0.11277359609676725
snake1,minus,alonec-pulse,4,True,-0.7528499430527106
snake1,minus,alonec-pulse,5,True,-0.33402992167009476
snake1,minus,alonec-pulse,6,True,-0.6325684543197663
snake1,minus,alonec-pulse,7,True,-0.35760854128932396
snake1,minus,alonec-pulse,8,True,-0.31493545258906563
snake1,minus,alonec-pulse,9,True,-0.1477223732315796
snake1,minus,alonec-pulse,10,True,-0.20345741303193776
snake1,minus,alonec-pulse,11,True,-0.24056216989459855
snake1,minus,alonec-pulse,12,True,-0.36805806453292955
snake1,minus,alonec-pulse,13,True,-0.3599920003635869
snake1,minus,alonec-pulse,14,True,-0.05403135097446132
snake1,minus,alonec-pulse,15,True,0.20634369997047558
snake1,minus,alonec-pulse,16,True,-0.37091638138067784
snake1,minus,alonec-pulse,17,True,-0.25847416380959193
snake1,minus,alonec-pulse,18,True,0.11393157735286702
snake1,minus,alonec-pulse,19,True,-0.05000960319619757
snake1,minus,alone-pulse,0,True,0.01717125446588326
snake1,minus,alone-pulse,1,True,0.04413179561668848
snake1,minus,alone-pulse,2,True,-0.23380902117975688
snake1,minus,alone-pulse,3,True,-0.20616862558210658
snake1,minus,alone-pulse,4,True,-1.0057451663595325
snake1,minus,alone-pulse,5,True,-0.23449282866769314
snake1,minus,alone-pulse,6,True,-0.6686081895279272
snake1,minus,alone-pulse,7,True,-0.439178961512428
snake1,minus,alone-pulse,8,True,-0.49191181558723374
snake1,minus,alone-pulse,9,True,0.06767935445243756
snake1,minus,alone-pulse,10,True,-0.36832672815052026
snake1,minus,alone-pulse,11,True,-0.5577638332814044
snake1,minus,alone-pulse,12,True,-0.46219092851606003
snake1,minus,alone-pulse,13,True,-0.5601120578292091
snake1,minus,alone-pulse,14,True,-0.3144818305514385
snake1,minus,alone-pulse,15,True,-0.03342107273688455
snake1,minus,alone-pulse,16,True,-0.5493065660383842
snake1,minus,alone-pulse,17,True,-0.4193564215652129
snake1,minus,alone-pulse,18,True,-0.04023773796464042
snake1,minus,alone-pulse,19,True,-0.29597219006154385
