seed,eps,start,end,n,end_inside,end_below_minus1,end_below_minus5,never_left,mean_full_W_growth,mean_abs_v_start,mean_abs_v_end
6,0.1,20,500,53,20,33,20,2,3.426761048025219,0.021362683201210906,0.17023691699707239
6,0.1,20,1500,53,19,34,21,2,3.510755210002548,0.021362683201210906,0.24330664831592552
6,0.1,100,500,37,20,17,7,6,2.965455953585701,0.04339775565470493,0.13880816846417351
6,0.1,100,1500,37,19,18,9,6,3.0316490470790876,0.04339775565470493,0.18384516816248023
6,0.2,20,500,57,20,37,22,11,3.538870345667918,0.025391832232248578,0.18781356326801693
6,0.2,20,1500,57,19,38,25,11,3.6663354711490066,0.025391832232248578,0.23289954050453257
6,0.2,100,500,38,20,18,8,15,3.01313094657577,0.04511740981711467,0.14409852360557507
6,0.2,100,1500,38,19,19,10,15,3.0947871231116957,0.04511740981711467,0.1875212805557806
7,0.05,20,500,38,10,27,21,0,4.15919889251629,0.024096613167019217,0.26679975670872647
7,0.05,20,1500,38,12,25,15,0,3.787393965028726,0.024096613167019217,0.16497859436489498
7,0.05,100,500,31,13,17,11,0,3.8516115242427387,0.020294260280582333,0.2209275584375005
7,0.05,100,1500,31,15,16,10,0,3.8945664994507068,0.020294260280582333,0.1600293033104296
7,0.1,20,500,59,12,45,35,1,4.525820950065743,0.030144022635117142,0.2745667512201057
7,0.1,20,1500,59,15,43,30,1,4.358492067705227,0.030144022635117142,0.21710893781784177
7,0.1,100,500,38,13,23,15,1,4.258326000500428,0.027734722772086235,0.24719496028755153
7,0.1,100,1500,38,16,22,14,1,4.242727736238593,0.027734722772086235,0.17159721965723101
7,0.2,20,500,65,14,50,37,6,4.513210860212401,0.03927835559857508,0.25534719745449436
7,0.2,20,1500,65,16,48,34,6,4.334107117517684,0.03927835559857508,0.2297338708929601
7,0.2,100,500,43,14,28,20,7,4.4866226799861835,0.030535723863786824,0.25151672241613704
7,0.2,100,1500,43,16,26,17,7,4.4766653220771015,0.030535723863786824,0.18839283863358
8,0.05,20,500,41,8,31,22,0,4.5114447979064805,0.05108808386480299,0.2822603772933135
8,0.05,20,1500,41,8,33,26,0,4.92567832661704,0.05108808386480299,0.25591697238189404
8,0.05,100,500,35,17,16,8,0,3.417825363938324,0.017684947987436316,0.16339255496693242
8,0.05,100,1500,35,17,18,14,0,4.1220736345265605,0.017684947987436316,0.17007507326623975
8,0.1,20,500,56,12,42,28,1,4.379101020067085,0.051030374655965716,0.26917171218571767
8,0.1,20,1500,56,12,44,34,1,4.706875840755791,0.051030374655965716,0.2711825347471079
8,0.1,100,500,40,17,21,11,5,3.6930983081105824,0.01906623838622181,0.18796379351842915
8,0.1,100,1500,40,17,23,17,4,4.325684698742023,0.01906623838622181,0.1978366282420211
8,0.2,20,500,66,17,47,31,13,4.131280463718313,0.04579107379752465,0.25689570760887087
8,0.2,20,1500,66,17,49,37,13,4.460380932046199,0.04579107379752465,0.24811462364447257
8,0.2,100,500,40,17,21,11,13,3.6930983081105824,0.01906623838622181,0.18796379351842915
8,0.2,100,1500,40,17,23,17,13,4.325684698742023,0.01906623838622181,0.1978366282420211
9,0.05,20,500,42,12,26,17,0,3.613693313622509,0.03847443719834181,0.21675611403354975
9,0.05,20,1500,42,15,25,16,0,3.4413154668059596,0.03847443719834181,0.17037363555997012
9,0.05,100,500,39,14,19,9,0,3.5701938195835963,0.00968845247123868,0.17419154743383375
9,0.05,100,1500,39,18,19,11,0,3.546663176942477,0.00968845247123868,0.15804070111660634
9,0.1,20,500,64,14,45,33,1,4.347277476799038,0.04481200755600412,0.23618764607545017
9,0.1,20,1500,64,17,44,32,1,4.319638236981321,0.04481200755600412,0.21002738082693817
9,0.1,100,500,39,14,19,9,5,3.5701938195835963,0.00968845247123868,0.17419154743383375
9,0.1,100,1500,39,18,19,11,5,3.546663176942477,0.00968845247123868,0.15804070111660634
9,0.2,20,500,71,16,51,39,8,4.365110801071435,0.05130738319328398,0.23444791754435512
9,0.2,20,1500,71,18,50,37,8,4.259042155428395,0.05130738319328398,0.2116310862174253
9,0.2,100,500,41,16,21,11,12,3.612622847522148,0.01766793912549208,0.18314621499427253
9,0.2,100,1500,41,18,21,13,12,3.6043788940875916,0.01766793912549208,0.16713403448471947
