arm,seed,window,R,D,Rstar,S_c,S_rel,sigma_med
A,9,t11_20,575.8728862982141,341.8141070411483,701.8585067876967,-0.24591390401214636,0.0634113427732859,56.01489041909768
A,9,t31_40,755.1876146679411,379.34953335271405,817.4556648252404,-0.24172397351728744,0.01077227333027266,72.17028724895178
A,9,t41_50,807.0870711512022,406.20715176975324,861.3035536436279,-0.23795758940099584,0.014086799743344838,76.58669719302254
F,0,t11_20,324.2271391460189,220.95151701013998,359.6853458253758,-0.31104272090708235,0.04238797432606288,32.40428337629554
F,0,t31_40,410.8061855810726,247.76402121819146,425.9475172074428,-0.29190534337091933,0.01185435318472409,40.329672917422364
F,0,t41_50,436.8208200914158,255.46574685116593,459.73164806861104,-0.27883491013240325,0.016175231850890908,42.852238369901514
F,1,t11_20,326.4391362867521,219.78923029125644,366.103858223714,-0.3021785797266052,0.0472118116092082,32.55060711880684
F,1,t31_40,424.66487344755967,259.1472728851801,446.7503220681213,-0.29178550460526265,0.01691115254764878,41.407879672618925
F,1,t41_50,452.26037515002616,256.4473174880594,477.08793679782485,-0.2713279552662119,0.0146416267271632,44.23323950724382
F,2,t11_20,340.41623285218424,225.67968497102623,392.1711762156351,-0.2899600185652083,0.05693674977144656,34.095391596792815
F,2,t31_40,432.52542304298004,257.5993252191323,461.1249458808691,-0.2801007365037854,0.02117481215078726,42.30402630303362
F,2,t41_50,469.45851353908347,260.2761534367535,495.31232046583443,-0.26413869775424653,0.01434678548631188,45.815379210121264
F,3,t11_20,325.9050525362219,223.15926020820478,362.74380539914324,-0.3091237392506681,0.04763229163189641,32.47789073565701
F,3,t31_40,417.88038857957235,247.37651385034002,434.55266079060084,-0.2864879405897578,0.011088896701858149,40.68860676450147
F,3,t41_50,438.37670601543425,258.36322240849006,459.5612317839767,-0.2824484154381571,0.014263152426033298,43.26175755470899
F,4,t11_20,323.6763263269195,222.0326073066845,357.1804282679498,-0.31326779738392696,0.04206296777180622,32.298416106972056
F,4,t31_40,416.9301485432983,251.1096561237066,427.31602903826763,-0.2972910748372005,0.004919457471404769,40.95954151928716
F,4,t41_50,439.82516393059416,257.1536442456406,465.4050581936717,-0.28042781226680963,0.014619329271938953,43.07714780583881
F,5,t11_20,336.40428720060316,225.0461546424379,369.23800375962327,-0.30590339420396695,0.03981778036194785,33.23202030192216
F,5,t31_40,410.88835989505276,248.47028760157482,427.2678857824261,-0.2918708637758609,0.013067469527314402,40.224569939349195
F,5,t41_50,437.7630935734904,260.8723476000887,462.98767862634713,-0.282687074215333,0.018180231507626862,42.87756404873323
F,6,t11_20,318.33011323643734,216.726970277274,355.5317429480892,-0.30672201536495847,0.04781028486653732,31.799232975928277
F,6,t31_40,405.90203026679825,249.2265385222748,427.8345450455331,-0.294195409095912,0.0166258518566787,39.89668529576894
F,6,t41_50,428.91797541417344,254.4791506549281,442.63644830575186,-0.2887227750194462,0.010382999504581429,42.25328930916914
F,7,t11_20,338.6272624678288,221.8862107993451,370.4328583447574,-0.3020451145889922,0.03497855022787571,33.49012246369391
F,7,t31_40,413.5254025981377,248.05738172306673,442.50651487891975,-0.28240401382349745,0.02174085801431174,40.71953429945332
F,7,t41_50,440.29923795442494,251.76205489951582,460.56725100777624,-0.27560575497044043,0.011898483878446369,43.08460792257567
F,8,t11_20,335.1939646359139,228.60033243556921,369.1270380515899,-0.31170417732082634,0.04165110318377925,33.414652099815484
F,8,t31_40,414.8835466952129,248.3812069436377,423.2984646391263,-0.2943300003357803,0.00668156641869354,40.65230245261897
F,8,t41_50,443.0113993911779,259.07762929951616,478.3008432651765,-0.27221818880604126,0.023885272911208805,43.84983656152655
F,9,t11_20,340.3857005901954,226.45787567289076,377.98407200282037,-0.30140840051500933,0.04627381121875332,33.778637137355474
F,9,t31_40,418.78896659512674,249.3680540242784,447.316697754124,-0.2797566571414331,0.02177625781096898,41.170739716585025
F,9,t41_50,450.74181333592117,262.04694524513525,463.30401945016155,-0.28375738991452615,0.008179266538009239,44.202383380877215
SA_iid,0,t11_20,91.96146493131145,50.38060968308507,99.0141835407891,-0.25693825024818834,0.0192615121855161,8.88689861957328
SA_iid,0,t31_40,104.27325665119545,54.600360156441596,110.31098670289082,-0.25004609509508463,0.0126079429448165,10.102344900682361
SA_iid,0,t41_50,110.03374045131281,55.86977734304482,118.42700591750622,-0.2409424250645337,0.01317888742358948,10.581734309167832
SA_iid,1,t11_20,90.51527739701241,51.23261480394134,104.51101058623517,-0.2528507274022424,0.03449983242701908,8.810533701290314
SA_iid,1,t31_40,106.99418323791728,54.73672973986398,113.14889509865944,-0.25090496895654146,0.00548517735129668,10.283495662506178
SA_iid,1,t41_50,114.07544534676825,56.23401983606832,124.65786480146531,-0.23496292453273374,0.012342406272879917,11.160683212504882
SA_iid,2,t11_20,93.63945814801363,50.063249267395875,110.51242111901732,-0.23234837819781515,0.037654732537786575,9.069381295692324
SA_iid,2,t31_40,113.20079532135522,54.648096399071925,123.93406090699246,-0.2245643706712491,0.01650931712816598,11.019448889904341
SA_iid,2,t41_50,117.46624752831903,55.9738084857992,116.89875950665257,-0.24168149291851782,-0.003269448948434078,11.412570411994833
SA_iid,3,t11_20,90.19926609624684,50.7445520829113,104.86457939756833,-0.24876094713741442,0.03791639689581158,8.900432265181209
SA_iid,3,t31_40,107.37145616188695,54.9967759328081,111.32173045752579,-0.2517161260615065,0.0049846638259937815,10.418361463703471
SA_iid,3,t41_50,111.58607408525327,56.51721385012884,115.78423229933244,-0.24545039129461305,0.00858262007463836,10.802733833807665
SA_iid,4,t11_20,87.47900419677384,49.53684738910299,98.5113475508944,-0.25577907866320254,0.03097895615018908,8.478623640964575
SA_iid,4,t31_40,100.84637146067628,54.129805013713465,106.28198392029344,-0.25985363491624575,0.009376098398478552,9.835809629752376
SA_iid,4,t41_50,106.9037418578567,57.17420529043966,112.43349766668663,-0.2552303905509053,0.013353428534348599,10.387076692802468
SA_iid,5,t11_20,93.32875673642056,49.3517413722018,106.32682007201379,-0.23860187307723485,0.02803490425478806,9.021644105781387
SA_iid,5,t31_40,106.78693759401365,53.46760310947673,112.61638327343223,-0.24142469500292663,0.008772332369224981,10.248810621414172
SA_iid,5,t41_50,109.39725206170542,54.892452847202705,110.8077743898544,-0.2550114356928138,-0.003584227772527099,10.521171599069302
SA_iid,6,t11_20,89.55938493976717,50.055878153536256,97.9069026713617,-0.26017283913303146,0.02256788356613066,8.764532219728228
SA_iid,6,t31_40,101.83654127459593,53.87747823781325,106.93892492177027,-0.2546578182641258,0.010757350679832741,9.850466007901556
SA_iid,6,t41_50,109.53707834111506,55.62830111274392,117.83619005361459,-0.23914356213883084,0.01546007063727925,10.654595069842689
SA_iid,7,t11_20,87.9326411916117,48.80765703664359,102.56811094227673,-0.24133394942142722,0.04136577288278223,8.62133268429367
SA_iid,7,t31_40,105.61976008586187,54.52698137870682,110.07695707261803,-0.24935477728856226,0.00919229879435886,10.350050948262751
SA_iid,7,t41_50,112.37008525841172,54.86214947023243,117.78901582967009,-0.23737403226169534,0.006621459242970499,10.74749034502643
SA_iid,8,t11_20,90.04233572252625,50.48315225013024,101.17858488550164,-0.25285207217220423,0.032133596372240766,8.602426348414888
SA_iid,8,t31_40,107.48899595429403,54.11834394341438,112.02307598528633,-0.24596607185106573,0.005774888379347819,10.302830156351035
SA_iid,8,t41_50,110.76495524610462,56.37868769100377,114.19679936067864,-0.2492406034777706,0.0054303267564562,10.687283546887603
SA_iid,9,t11_20,90.53220021585665,50.86693079483726,103.65675007079251,-0.24831635080529185,0.038343434673039585,8.911606918992243
SA_iid,9,t31_40,107.52343940032941,56.25172369631845,111.85795121460589,-0.25316615823026795,0.00897884652647117,10.510483786799195
SA_iid,9,t41_50,112.78557857769142,57.88795369697209,120.94469636322886,-0.24653789752042096,0.011036694999663919,10.919276005709605
S_hi,0,t11_20,200.67449485294304,148.09056519261037,195.55587135257767,-0.37950860827510813,-0.01488122301635136,19.38335965844181
S_hi,0,t31_40,203.23237665250406,147.13781229430018,202.2836093606329,-0.36466455657729024,-0.0033340862835521345,19.89153432575783
S_hi,0,t41_50,213.69425553282912,153.6030910780447,224.6548943649358,-0.345606278038223,0.021099150010259075,21.104874805006354
S_hi,1,t11_20,207.75483812889752,147.28190406024672,203.59437623329976,-0.36281151489657554,-0.010413617554168189,20.07764952972505
S_hi,1,t31_40,214.91819591484523,155.14363483550525,219.65887021873158,-0.35431718191379097,0.009998846127003141,21.25268565016973
S_hi,1,t41_50,226.4704736395709,160.83118862569697,233.31964676141283,-0.34716334209411115,0.011969715338484819,22.25082012144176
S_hi,2,t11_20,208.40028490965952,149.2361623105594,209.57718750292423,-0.35747108953190104,0.00146952783701483,20.418461465300503
S_hi,2,t31_40,222.5096041797398,157.59909886090833,224.55492110122518,-0.35303692511838247,0.0018429549568757708,21.827098456235046
S_hi,2,t41_50,231.8643908063766,166.62616058893425,236.07538980899918,-0.35393397143602046,0.008410241801471801,22.903425567580005
S_hi,3,t11_20,198.0200429233969,145.2625923731086,194.91794143834122,-0.3732743130522599,-0.00934021716055089,19.26811658125417
S_hi,3,t31_40,214.4213316825842,154.7161982069474,220.24102413972082,-0.35420572529814,0.01091419854062886,21.118914833787493
S_hi,3,t41_50,219.11102129743435,150.17594024169495,236.70350259160614,-0.32391232163728645,0.027190741342319802,21.792832110449265
S_hi,4,t11_20,203.49020317933687,149.1009347685579,198.6084640457983,-0.3765491601687553,-0.014853165757086412,19.80269267889696
S_hi,4,t31_40,202.85402650626423,147.19806171079833,207.021804784471,-0.35719279000966064,0.009136412108999391,20.113394166354848
S_hi,4,t41_50,216.45699693564484,156.7066452411168,223.38408676780477,-0.35594151944775765,0.0113884219650373,21.464143589188836
S_hi,5,t11_20,205.05910682941308,152.16554728265206,203.42995640422117,-0.37437767055853477,-0.0043440478240045,19.998253986845285
S_hi,5,t31_40,214.3802111706338,157.16982737062122,222.06239163583973,-0.3551722631632156,0.01733124327645788,21.223724299928797
S_hi,5,t41_50,226.52688449785728,165.18593964160567,237.40369918325626,-0.3528521364617579,0.01841575992125781,22.368376176426047
S_hi,6,t11_20,189.82707264100966,142.10901383064416,187.22500688078762,-0.3816678719537123,-0.01009770480481889,18.444000727686568
S_hi,6,t31_40,192.6967400581088,138.0376997457482,199.38491238631462,-0.3481023996301392,0.01434665399874647,19.09037766805305
S_hi,6,t41_50,202.46452501418452,140.33077210914047,207.99829043498548,-0.3434092162338779,0.00942418770679455,19.96341856966418
S_hi,7,t11_20,203.2979670864536,146.41601512580453,198.75891515515627,-0.3689371653938329,-0.012531749601465492,19.714524750646035
S_hi,7,t31_40,215.96999344611777,157.23854097921267,226.75101119217715,-0.34833983263471247,0.02431265761452076,21.423832137867358
S_hi,7,t41_50,234.00392089948417,167.07977131809838,246.54893151324433,-0.3481328950548761,0.015181667656388101,23.19807021468973
S_hi,8,t11_20,209.0587918465813,150.06768116969505,204.28901273120522,-0.3686155372057337,-0.013537577387426272,20.334141486485603
S_hi,8,t31_40,206.59546394630235,147.9142460613874,214.13103977119135,-0.3476175576077381,0.015817287334636682,20.449353575458048
S_hi,8,t41_50,215.26801639959504,149.959429922239,227.12560060815895,-0.33422954234409075,0.02021297626980013,21.337911841280366
S_hi,9,t11_20,203.1351432666434,151.04183032690412,200.72233009464946,-0.37701745700239664,-0.0074509973666842,19.81435116281797
S_hi,9,t31_40,212.99533609049917,153.5801517606232,219.2254651122502,-0.3518319240505495,0.012801462692606829,20.98523624817201
S_hi,9,t41_50,222.67007112619768,154.21551872929928,231.86269531534262,-0.34414968603581175,0.00440031863732711,21.897256165034158
