geometry,optimizer,window,metric,n_seed,n_valid,paired_ratio_seed_median,paired_ratio_seed_min,paired_ratio_seed_max
avg16,sgd,late,raw_W_RMS,5,5,1.6347869423333325,1.61603309668217,1.6662254339410931
dup64,adam,early,A_displacement,5,5,2.1998804045363936,2.184999246221784,2.2592872794681718
dup64,adam,early,A_width,5,5,1.8583382001441815,1.7844476278817218,1.8969042346538174
dup64,adam,early,D_div_sqrt_d,5,5,1.842058926444918,1.8273089233006397,1.8894996594890376
dup64,adam,early,D_div_sqrt_trace,5,5,1.8420589264449183,1.8273089233006397,1.8894996594890376
dup64,adam,early,D_eff,5,5,3.6841178528898366,3.654617846601279,3.7789993189780753
dup64,adam,early,R,5,5,3.6321394910692106,3.5140646358324377,3.6517249182749905
dup64,adam,early,R_div_sqrt_d,5,5,1.8160697455346053,1.7570323179162186,1.8258624591374948
dup64,adam,early,R_div_sqrt_trace,5,5,1.816069745534605,1.7570323179162184,1.8258624591374955
dup64,adam,early,delta_W_RMS,5,5,0.8363921309413028,0.8325888675164401,0.8526621778674137
dup64,adam,early,raw_W_RMS,5,5,0.9760479538749308,0.9683029148512532,0.9874404281261411
dup64,adam,late,A_displacement,5,5,2.2998932817008533,2.264297009277884,2.4218004128983375
dup64,adam,late,A_width,5,5,1.9330001164385142,1.8989239307808212,1.9735797401285973
dup64,adam,late,D_div_sqrt_d,5,5,1.863057850639378,1.852857203930833,1.9455217861047676
dup64,adam,late,D_div_sqrt_trace,5,5,1.8630578506393778,1.852857203930833,1.9455217861047678
dup64,adam,late,D_eff,5,5,3.726115701278756,3.705714407861666,3.8910435722095356
dup64,adam,late,R,5,5,3.7199650747496533,3.6750285777150173,3.76130408355408
dup64,adam,late,R_div_sqrt_d,5,5,1.8599825373748267,1.8375142888575084,1.8806520417770403
dup64,adam,late,R_div_sqrt_trace,5,5,1.8599825373748262,1.8375142888575084,1.8806520417770403
dup64,adam,late,delta_W_RMS,5,5,0.8170549559645998,0.8012914164842122,0.8218798170132384
dup64,adam,late,raw_W_RMS,5,5,0.9603997710622424,0.9578733297881299,0.9656305100570742
dup64,sgd,early,A_displacement,5,5,1.920447216235031,1.876717685178636,1.9833361566434318
dup64,sgd,early,A_width,5,5,1.683738417206206,1.6317123141521095,1.7087247160401011
dup64,sgd,early,D_div_sqrt_d,5,5,0.9939494970258105,0.9790451997458411,0.9987613377189091
