geometry,optimizer,metric,n_seed,n_valid,seed_median,seed_min,seed_max
dup64,adam,R_POSTtask_over_R0_41_50_median,5,5,471.21540494987113,461.70218114464,502.7297655415044
dup64,sgd,R0_actual,5,5,1.4539855600099385,1.374406397177089,1.4671841977722782
dup64,sgd,R50_POSTtask,5,5,73.83381358401958,72.02246701430082,75.6550259176055
dup64,sgd,R_POSTtask_6_15_median,5,5,66.21752872222302,64.81957333147635,67.30562347114339
dup64,sgd,R_POSTtask_41_50_median,5,5,72.81122844481845,71.90194197424739,73.92968825353569
dup64,sgd,R50_POSTtask_over_R0,5,5,50.67341265262864,49.088905894472724,54.63264182154982
dup64,sgd,R_POSTtask_over_R0_6_15_median,5,5,45.54208139575361,44.5842671676795,48.33257387681718
dup64,sgd,R_POSTtask_over_R0_41_50_median,5,5,50.69965288289943,49.00675871742676,53.12800968496126
dup64_half,adam,R0_actual,5,5,1.4539855600099385,1.374406397177089,1.4671841977722782
dup64_half,adam,R50_POSTtask,5,5,359.99087222885254,349.6621451242936,369.8238505792017
dup64_half,adam,R_POSTtask_6_15_median,5,5,277.82560946571925,275.20429862102765,284.1495531323953
dup64_half,adam,R_POSTtask_41_50_median,5,5,350.87804903714584,346.4184105992092,357.94935641698294
dup64_half,adam,R50_POSTtask_over_R0,5,5,251.36982949953006,239.57101529848003,261.3279862989836
dup64_half,adam,R_POSTtask_over_R0_6_15_median,5,5,192.3628547394962,187.57310707059708,206.74347392155167
dup64_half,adam,R_POSTtask_over_R0_41_50_median,5,5,244.1699933870696,236.11105621584454,257.58318833059707
dup64_half,sgd,R0_actual,5,5,1.4539855600099385,1.374406397177089,1.4671841977722782
dup64_half,sgd,R50_POSTtask,5,5,42.0641160547066,40.85088609450103,43.2858786395472
dup64_half,sgd,R_POSTtask_6_15_median,5,5,39.91319948989353,38.959473924767266,40.17519960762896
dup64_half,sgd,R_POSTtask_41_50_median,5,5,41.811028100990626,40.88343836874495,41.970313565827894
dup64_half,sgd,R50_POSTtask_over_R0,5,5,28.71435695414447,28.163419808942294,30.605297051223445
dup64_half,sgd,R_POSTtask_over_R0_6_15_median,5,5,27.44311342928619,26.553907807841707,29.230946312637457
dup64_half,sgd,R_POSTtask_over_R0_41_50_median,5,5,28.579813521494387,28.46780885623539,30.421153588099443
gray32,adam,R0_actual,5,5,1.3521451274066327,1.3177870514692156,1.3959742269356723
gray32,adam,R50_POSTtask,5,5,70.97906489731412,69.70007549381113,71.55601360002629
gray32,adam,R_POSTtask_6_15_median,5,5,56.69192204835076,56.30586809973474,58.179445530652245
gray32,adam,R_POSTtask_41_50_median,5,5,68.44542491920095,68.2323986614982,69.74202853038608
gray32,adam,R50_POSTtask_over_R0,5,5,52.92036494430759,49.929342640380256,53.86231775322027
gray32,adam,R_POSTtask_over_R0_6_15_median,5,5,42.267526996169046,40.61100911067406,43.02751557611157
gray32,adam,R_POSTtask_over_R0_41_50_median,5,5,51.57880401798944,48.91533994898578,52.00761795542347
gray32,sgd,R0_actual,5,5,1.3521451274066327,1.3177870514692156,1.3959742269356723
gray32,sgd,R50_POSTtask,5,5,28.0913644555672,27.348565220325177,28.69422565526246
gray32,sgd,R_POSTtask_6_15_median,5,5,26.969806054920852,25.551628073244043,27.797737126060085
gray32,sgd,R_POSTtask_41_50_median,5,5,28.27645816718269,27.481600900077083,28.444559256233816
gray32,sgd,R50_POSTtask_over_R0,5,5,20.570694128214512,20.075361712765005,21.705375539220032
gray32,sgd,R_POSTtask_over_R0_6_15_median,5,5,19.893563877054326,18.8971047229606,21.054388376292266
gray32,sgd,R_POSTtask_over_R0_41_50_median,5,5,20.728921411880936,19.686323980638548,21.523460101306767
rgb32,adam,R0_actual,5,5,1.4539855600099385,1.374406397177089,1.4671841977722784
rgb32,adam,R50_POSTtask,5,5,186.87372462029327,184.6282008533708,191.33344035031476
rgb32,adam,R_POSTtask_6_15_median,5,5,145.5617134397093,144.95132705824273,149.71421383828834
rgb32,adam,R_POSTtask_41_50_median,5,5,183.4684515087676,181.985421801977,184.60524381431065
rgb32,adam,R50_POSTtask_over_R0,5,5,129.1334217518857,126.4980100017714,135.96686176964516
rgb32,adam,R_POSTtask_over_R0_6_15_median,5,5,99.93766122599465,99.31340031063766,108.93009094383457
rgb32,adam,R_POSTtask_over_R0_41_50_median,5,5,126.18313176886952,124.68730996065914,132.71750901040875
rgb32,sgd,R0_actual,5,5,1.4539855600099385,1.374406397177089,1.4671841977722784
rgb32,sgd,R50_POSTtask,5,5,41.547374818486205,40.99183687539266,42.34435811919332
rgb32,sgd,R_POSTtask_6_15_median,5,5,39.81125653848266,38.14851452137934,40.27299038283944
rgb32,sgd,R_POSTtask_41_50_median,5,5,41.246667592574696,41.04033039165513,41.35083205556406
rgb32,sgd,R50_POSTtask_over_R0,5,5,28.930118698510576,28.054193433757575,30.564668599079383
rgb32,sgd,R_POSTtask_over_R0_6_15_median,5,5,27.571331286056672,26.001175980018544,29.30209759322763
rgb32,sgd,R_POSTtask_over_R0_41_50_median,5,5,28.368003594404854,28.117235824914623,29.860404081317142
