geometry,reference_geometry,optimizer,seed,metric,geometry_series_status,reference_series_status,geometry_growth,reference_growth,paired_growth_ratio
dup64,rgb32,sgd,304,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,50.69965288289943,28.79326274827276,1.7608165259402837
dup64_half,rgb32,adam,300,R50_POSTtask_over_R0,COMPLETE,COMPLETE,251.36982949953006,131.59239377109557,1.9102154941932803
dup64_half,rgb32,adam,300,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,192.880764626252,99.93766122599465,1.930010791328005
dup64_half,rgb32,adam,300,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,246.184945890753,126.18313176886952,1.9510131222744702
dup64_half,rgb32,adam,301,R50_POSTtask_over_R0,COMPLETE,COMPLETE,239.57101529848003,126.4980100017714,1.8938718110674249
dup64_half,rgb32,adam,301,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,190.3522135973907,99.31340031063766,1.9166820691064554
dup64_half,rgb32,adam,301,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,240.4040918524314,124.68730996065914,1.9280558055850494
dup64_half,rgb32,adam,302,R50_POSTtask_over_R0,COMPLETE,COMPLETE,252.06368167046065,128.9278033313931,1.9550762144187153
dup64_half,rgb32,adam,302,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,187.57310707059708,99.67775355019799,1.8817950885714407
dup64_half,rgb32,adam,302,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,236.11105621584454,125.55915522716603,1.8804766230599763
dup64_half,rgb32,adam,303,R50_POSTtask_over_R0,COMPLETE,COMPLETE,261.3279862989836,135.96686176964516,1.9219976316120693
dup64_half,rgb32,adam,303,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,206.74347392155167,108.93009094383457,1.8979463996605919
dup64_half,rgb32,adam,303,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,257.58318833059707,132.71750901040875,1.9408380269584127
dup64_half,rgb32,adam,304,R50_POSTtask_over_R0,COMPLETE,COMPLETE,250.66755022334564,129.1334217518857,1.9411516153035357
dup64_half,rgb32,adam,304,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,192.3628547394962,101.35700910507747,1.8978742214075437
dup64_half,rgb32,adam,304,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,244.1699933870696,128.54365984007268,1.8995102029213513
dup64_half,rgb32,sgd,300,R50_POSTtask_over_R0,COMPLETE,COMPLETE,28.163419808942294,29.122956433559,0.9670522247009575
dup64_half,rgb32,sgd,300,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,27.450891252056664,26.93950101794676,1.018982914114453
dup64_half,rgb32,sgd,300,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,28.579813521494387,28.368003594404854,1.007466508046104
dup64_half,rgb32,sgd,301,R50_POSTtask_over_R0,COMPLETE,COMPLETE,29.6573193248497,28.085556632665046,1.055963380492755
dup64_half,rgb32,sgd,301,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,27.44311342928619,27.571331286056672,0.9953495950035853
dup64_half,rgb32,sgd,301,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,28.755959927508812,28.141544306718103,1.0218330456244376
dup64_half,rgb32,sgd,302,R50_POSTtask_over_R0,COMPLETE,COMPLETE,28.71435695414447,28.054193433757575,1.023531723410466
dup64_half,rgb32,sgd,302,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,26.553907807841707,26.001175980018544,1.0212579549574192
dup64_half,rgb32,sgd,302,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,28.522629392910524,28.117235824914623,1.014417973748212
dup64_half,rgb32,sgd,303,R50_POSTtask_over_R0,COMPLETE,COMPLETE,30.605297051223445,30.564668599079383,1.0013292619879832
dup64_half,rgb32,sgd,303,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,29.230946312637457,29.30209759322763,0.9975718024839759
dup64_half,rgb32,sgd,303,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,30.421153588099443,29.860404081317142,1.0187790327704622
dup64_half,rgb32,sgd,304,R50_POSTtask_over_R0,COMPLETE,COMPLETE,28.445142173637574,28.930118698510576,0.9832362760095427
dup64_half,rgb32,sgd,304,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,27.404732493241013,27.721231057965625,0.9885828099025326
dup64_half,rgb32,sgd,304,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,28.46780885623539,28.79326274827276,0.9886968734706214
gray32,rgb32,adam,300,R50_POSTtask_over_R0,COMPLETE,COMPLETE,52.92036494430759,131.59239377109557,0.40215367642268407
gray32,rgb32,adam,300,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,43.02751557611157,99.93766122599465,0.43054355133257555
gray32,rgb32,adam,300,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,51.57880401798944,126.18313176886952,0.4087614825765038
gray32,rgb32,adam,301,R50_POSTtask_over_R0,COMPLETE,COMPLETE,53.86231775322027,126.4980100017714,0.4257957714312345
gray32,rgb32,adam,301,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,42.727592471756864,99.31340031063766,0.4302298817492026
gray32,rgb32,adam,301,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,51.926830456357955,124.68730996065914,0.41645641784028953
gray32,rgb32,adam,302,R50_POSTtask_over_R0,COMPLETE,COMPLETE,53.42282006311092,128.9278033313931,0.41436229178429507
gray32,rgb32,adam,302,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,42.267526996169046,99.67775355019799,0.4240417293802975
gray32,rgb32,adam,302,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,52.00761795542347,125.55915522716603,0.4142080906910329
gray32,rgb32,adam,303,R50_POSTtask_over_R0,COMPLETE,COMPLETE,50.82139404027434,135.96686176964516,0.3737777968750641
gray32,rgb32,adam,303,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,41.66459075435995,108.93009094383457,0.3824892680558086
gray32,rgb32,adam,303,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,48.91533994898578,132.71750901040875,0.3685673451356705
gray32,rgb32,adam,304,R50_POSTtask_over_R0,COMPLETE,COMPLETE,49.929342640380256,129.1334217518857,0.3866492652561586
gray32,rgb32,adam,304,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,40.61100911067406,101.35700910507747,0.4006729230592466
gray32,rgb32,adam,304,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,49.03057921738763,128.54365984007268,0.38143133063419016
gray32,rgb32,sgd,300,R50_POSTtask_over_R0,COMPLETE,COMPLETE,20.775406342250744,29.122956433559,0.7133687264769177
gray32,rgb32,sgd,300,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,18.8971047229606,26.93950101794676,0.7014645412463869
gray32,rgb32,sgd,300,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,20.912295281066427,28.368003594404854,0.7371789562657505
gray32,rgb32,sgd,301,R50_POSTtask_over_R0,COMPLETE,COMPLETE,21.705375539220032,28.085556632665046,0.7728305272032774
gray32,rgb32,sgd,301,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,21.054388376292266,27.571331286056672,0.7636333609664999
gray32,rgb32,sgd,301,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,21.523460101306767,28.141544306718103,0.7648286770164411
gray32,rgb32,sgd,302,R50_POSTtask_over_R0,COMPLETE,COMPLETE,20.50996342562704,28.054193433757575,0.7310836960633281
gray32,rgb32,sgd,302,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,19.893563877054326,26.001175980018544,0.7651024666092867
gray32,rgb32,sgd,302,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,20.728921411880936,28.117235824914623,0.7372318367623137
gray32,rgb32,sgd,303,R50_POSTtask_over_R0,COMPLETE,COMPLETE,20.570694128214512,30.564668599079383,0.6730219914386413
gray32,rgb32,sgd,303,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,19.928007632846658,29.30209759322763,0.6800880916270127
gray32,rgb32,sgd,303,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,20.391709994256217,29.860404081317142,0.6829013411447692
gray32,rgb32,sgd,304,R50_POSTtask_over_R0,COMPLETE,COMPLETE,20.075361712765005,28.930118698510576,0.6939260056958756
gray32,rgb32,sgd,304,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,19.31970199344063,27.721231057965625,0.6969279954790883
gray32,rgb32,sgd,304,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,19.686323980638548,28.79326274827276,0.6837128585512416
avg16,rgb32,adam,300,R50_POSTtask_over_R0,COMPLETE,COMPLETE,45.231092855541256,131.59239377109557,0.34372117992032697
avg16,rgb32,adam,300,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,35.73101632093514,99.93766122599465,0.3575330449262224
avg16,rgb32,adam,300,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,44.58895688654057,126.18313176886952,0.3533670171399333
avg16,rgb32,adam,301,R50_POSTtask_over_R0,COMPLETE,COMPLETE,46.0551595340407,126.4980100017714,0.3640781347737863
avg16,rgb32,adam,301,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,36.368990742971306,99.31340031063766,0.3662042647740836
avg16,rgb32,adam,301,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,44.46207276686609,124.68730996065914,0.35658859575120033
avg16,rgb32,adam,302,R50_POSTtask_over_R0,COMPLETE,COMPLETE,45.108056321103135,128.9278033313931,0.3498706652525399
avg16,rgb32,adam,302,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,35.95612925418713,99.67775355019799,0.3607237118970536
avg16,rgb32,adam,302,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,45.074874439535826,125.55915522716603,0.35899313242419306
avg16,rgb32,adam,303,R50_POSTtask_over_R0,COMPLETE,COMPLETE,48.13776945177867,135.96686176964516,0.35404045386686644
avg16,rgb32,adam,303,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,37.66473505824959,108.93009094383457,0.345769793561174
avg16,rgb32,adam,303,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,45.6532314972427,132.71750901040875,0.34398800759334786
avg16,rgb32,adam,304,R50_POSTtask_over_R0,COMPLETE,COMPLETE,43.59210279428457,129.1334217518857,0.3375741322648566
avg16,rgb32,adam,304,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,34.95478672835978,101.35700910507747,0.3448679774293845
avg16,rgb32,adam,304,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,43.313176953646845,128.54365984007268,0.3369530399829509
avg16,rgb32,sgd,300,R50_POSTtask_over_R0,COMPLETE,COMPLETE,20.026448699001577,29.122956433559,0.6876516381394807
avg16,rgb32,sgd,300,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,18.92182822073605,26.93950101794676,0.7023822827353248
avg16,rgb32,sgd,300,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,19.85336777276511,28.368003594404854,0.6998507211371363
avg16,rgb32,sgd,301,R50_POSTtask_over_R0,COMPLETE,COMPLETE,19.741223328045933,28.085556632665046,0.7028959256974742
avg16,rgb32,sgd,301,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,17.88706018056438,27.571331286056672,0.6487557671765453
avg16,rgb32,sgd,301,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,20.13977687817097,28.141544306718103,0.7156599744017279
avg16,rgb32,sgd,302,R50_POSTtask_over_R0,COMPLETE,COMPLETE,19.870528359882467,28.054193433757575,0.7082908445327922
avg16,rgb32,sgd,302,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,18.943508176879604,26.001175980018544,0.7285635154132014
avg16,rgb32,sgd,302,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,19.557187513081047,28.117235824914623,0.6955586827547061
avg16,rgb32,sgd,303,R50_POSTtask_over_R0,COMPLETE,COMPLETE,20.277867949910007,30.564668599079383,0.6634414465897656
avg16,rgb32,sgd,303,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,20.151795711696636,29.30209759322763,0.6877253632638971
avg16,rgb32,sgd,303,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,20.25156857067938,29.860404081317142,0.6782081218837306
avg16,rgb32,sgd,304,R50_POSTtask_over_R0,COMPLETE,COMPLETE,19.223877573501834,28.930118698510576,0.6644935602871048
avg16,rgb32,sgd,304,R_POSTtask_over_R0_6_15_median,COMPLETE,COMPLETE,19.114438990986113,27.721231057965625,0.689523454099764
avg16,rgb32,sgd,304,R_POSTtask_over_R0_41_50_median,COMPLETE,COMPLETE,19.03716546901642,28.79326274827276,0.6611673583313656
