arm,seed,eps,metric,start_task,group,n,final_inside,final_shrunk,ever_changed,never_changed,median_final_growth,final_v_rms,final_output_variance,mean_occupancy_after_start
SN_normal_q0,2,0.05,all_inputs,20,outside,100,0,31,0,100,1.3904734773184915,0.18152641186538465,0.021260742568706865,0.0
SN_normal_q0,2,0.05,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,2,0.05,all_inputs,100,outside,100,0,31,0,100,1.3904734773184915,0.18152641186538465,0.021260742568706865,0.0
SN_normal_q0,2,0.1,mean,20,inside,11,0,2,11,0,1.3960262847909695,0.15124468196629448,0.026184492883142275,0.079002079002079
SN_normal_q0,2,0.1,mean,20,outside,89,5,29,89,0,1.3849206698460135,0.18492510869247425,0.02065218915905755,0.08049709173304678
SN_normal_q0,2,0.1,mean,100,inside,8,3,4,8,0,1.0622764011564945,0.055741182683208365,0.00044460724223638706,0.08728179551122195
SN_normal_q0,2,0.1,mean,100,outside,92,2,27,92,0,1.405737053451133,0.18853921241599284,0.023070841292747783,0.07611406266941342
SN_normal_q0,2,0.1,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,2,0.1,all_inputs,20,outside,100,0,31,0,100,1.3904734773184915,0.18152641186538465,0.021260742568706865,0.0
SN_normal_q0,2,0.1,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,2,0.1,all_inputs,100,outside,100,0,31,0,100,1.3904734773184915,0.18152641186538465,0.021260742568706865,0.0
SN_normal_q0,2,0.2,mean,20,inside,27,3,9,27,0,1.3960262847909695,0.1701250102319193,0.016654872944485935,0.16678216678216679
SN_normal_q0,2,0.2,mean,20,outside,73,8,22,73,0,1.3849206698460135,0.18556599109023691,0.0229642833886242,0.16096602397972262
SN_normal_q0,2,0.2,mean,100,inside,20,6,8,20,0,1.2750803201033307,0.12656913888723667,0.012831846412823061,0.17693266832917706
SN_normal_q0,2,0.2,mean,100,outside,80,5,23,80,0,1.3971893980966912,0.19283376526489707,0.023367966607677818,0.1515274314214464
SN_normal_q0,2,0.2,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,2,0.2,all_inputs,20,outside,100,0,31,2,98,1.3904734773184915,0.18152641186538465,0.021260742568706865,0.0006444906444906445
SN_normal_q0,2,0.2,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,2,0.2,all_inputs,100,outside,100,0,31,2,98,1.3904734773184915,0.18152641186538465,0.021260742568706865,0.000773067331670823
SN_normal_q0,3,0.05,mean,20,inside,6,0,4,6,0,0.9238539691217204,0.15709697590224608,0.032887543062159456,0.04573804573804574
SN_normal_q0,3,0.05,mean,20,outside,94,5,23,94,0,1.4490580784804865,0.19361662345450162,0.03939719135872209,0.036891228380590085
SN_normal_q0,3,0.05,mean,100,inside,6,1,0,6,0,1.5003024542670262,0.26914059932650375,0.04381641317467061,0.030756442227763924
SN_normal_q0,3,0.05,mean,100,outside,94,4,27,94,0,1.4196538073164773,0.18557765170371948,0.03869960390473202,0.03703507189473126
SN_normal_q0,3,0.05,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,3,0.05,all_inputs,20,outside,100,0,27,0,100,1.427745761300326,0.1916218167524376,0.03900661246092833,0.0
SN_normal_q0,3,0.05,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,3,0.05,all_inputs,100,outside,100,0,27,0,100,1.427745761300326,0.1916218167524376,0.03900661246092833,0.0
SN_normal_q0,3,0.1,mean,20,inside,8,0,5,8,0,0.9238539691217204,0.1380565013722803,0.02476531902029932,0.0906964656964657
SN_normal_q0,3,0.1,mean,20,outside,92,9,22,92,0,1.4692843106571765,0.19558761199827412,0.040244985803591725,0.075522010304619
SN_normal_q0,3,0.1,mean,100,inside,10,2,1,10,0,1.6105349150961805,0.23710632527845524,0.040275910943502996,0.07630922693266833
SN_normal_q0,3,0.1,mean,100,outside,90,7,26,90,0,1.406709075219092,0.1858822198980357,0.03886557929619782,0.07500692712662788
SN_normal_q0,3,0.1,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,3,0.1,all_inputs,20,outside,100,0,27,0,100,1.427745761300326,0.1916218167524376,0.03900661246092833,0.0
SN_normal_q0,3,0.1,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,3,0.1,all_inputs,100,outside,100,0,27,0,100,1.427745761300326,0.1916218167524376,0.03900661246092833,0.0
SN_normal_q0,3,0.2,mean,20,inside,24,4,14,24,0,0.8840462933847811,0.12159002401710511,0.01091464205697606,0.17558905058905058
SN_normal_q0,3,0.2,mean,20,outside,76,11,13,76,0,1.5002359864275387,0.2089155221797026,0.04787776100954484,0.14662435715067293
SN_normal_q0,3,0.2,mean,100,inside,15,3,4,15,0,1.4452779790475996,0.31715467261201674,0.1576292079489731,0.16176226101413133
SN_normal_q0,3,0.2,mean,100,outside,85,12,23,85,0,1.4143451150466966,0.1595245055914219,0.018073213257155725,0.14859909050902156
SN_normal_q0,3,0.2,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,3,0.2,all_inputs,20,outside,100,0,27,1,99,1.427745761300326,0.1916218167524376,0.03900661246092833,6.237006237006238e-05
SN_normal_q0,3,0.2,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,3,0.2,all_inputs,100,outside,100,0,27,1,99,1.427745761300326,0.1916218167524376,0.03900661246092833,7.481296758104738e-05
SN_normal_q0,4,0.05,mean,20,inside,4,0,1,4,0,1.5509219627679982,0.17706623997326654,0.005944094199708816,0.04002079002079002
SN_normal_q0,4,0.05,mean,20,outside,96,2,17,96,0,1.542383547014889,0.2188178644856121,0.0520800641443634,0.04093035343035343
SN_normal_q0,4,0.05,mean,100,inside,5,0,4,5,0,0.7610639720388968,0.06756620205606532,0.00011180742927018393,0.053865336658354114
SN_normal_q0,4,0.05,mean,100,outside,95,2,14,95,0,1.5866778201109695,0.2224075113646326,0.05287266839485655,0.039453996587478675
SN_normal_q0,4,0.05,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,4,0.05,all_inputs,20,outside,100,0,18,0,100,1.542383547014889,0.21730187674949517,0.050234625346577216,0.0
SN_normal_q0,4,0.05,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,4,0.05,all_inputs,100,outside,100,0,18,0,100,1.542383547014889,0.21730187674949517,0.050234625346577216,0.0
SN_normal_q0,4,0.1,mean,20,inside,10,0,2,10,0,1.3102151304644878,0.20094075079040147,0.004231599466066299,0.0814968814968815
SN_normal_q0,4,0.1,mean,20,outside,90,4,16,90,0,1.5604905755849376,0.2190443565075646,0.055346072666633994,0.08380688380688381
SN_normal_q0,4,0.1,mean,100,inside,10,3,5,10,0,0.9924575190524748,0.1281892462043383,0.0042512777155566655,0.10149625935162095
SN_normal_q0,4,0.1,mean,100,outside,90,1,13,90,0,1.5604905755849376,0.22503544746602117,0.05534388619446839,0.07908007758381823
SN_normal_q0,4,0.1,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,4,0.1,all_inputs,20,outside,100,0,18,1,99,1.542383547014889,0.21730187674949517,0.050234625346577216,8.316008316008316e-05
SN_normal_q0,4,0.1,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,4,0.1,all_inputs,100,outside,100,0,18,1,99,1.542383547014889,0.21730187674949517,0.050234625346577216,9.975062344139652e-05
SN_normal_q0,4,0.2,mean,20,inside,19,2,3,19,0,1.4249064871971426,0.2010160449279259,0.012764726230922873,0.1576758945179998
SN_normal_q0,4,0.2,mean,20,outside,81,7,15,81,0,1.5647693370460316,0.22094826520973282,0.059023860941607255,0.16421549754883089
SN_normal_q0,4,0.2,mean,100,inside,14,3,5,14,0,1.2855983827305386,0.22430021057728092,0.056180854112020805,0.19825436408977556
SN_normal_q0,4,0.2,mean,100,outside,86,6,13,86,0,1.5604905755849376,0.21614116783850829,0.04926663461731897,0.15403352084904018
SN_normal_q0,4,0.2,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,4,0.2,all_inputs,20,outside,100,0,18,3,97,1.542383547014889,0.21730187674949517,0.050234625346577216,0.0016008316008316009
SN_normal_q0,4,0.2,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,4,0.2,all_inputs,100,outside,100,0,18,3,97,1.542383547014889,0.21730187674949517,0.050234625346577216,0.0018952618453865336
SN_normal_q0,5,0.05,mean,20,inside,5,1,0,5,0,1.4294789026145827,0.17202782122120225,0.007037925876674042,0.03866943866943867
SN_normal_q0,5,0.05,mean,20,outside,95,1,31,95,0,1.4127331661461493,0.15894422428110064,0.01635539624701447,0.03904147062041799
SN_normal_q0,5,0.05,mean,100,inside,3,0,1,3,0,1.9796399826279754,0.12966986904829284,0.005802060811600789,0.029093931837073983
SN_normal_q0,5,0.05,mean,100,outside,97,2,30,97,0,1.4127331661461493,0.16046116987408907,0.01620150608675198,0.03779211764403424
SN_normal_q0,5,0.05,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,5,0.05,all_inputs,20,outside,100,0,31,0,100,1.415055894419316,0.15962387564023894,0.015889522728497443,0.0
SN_normal_q0,5,0.05,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,5,0.05,all_inputs,100,outside,100,0,31,0,100,1.415055894419316,0.15962387564023894,0.015889522728497443,0.0
SN_normal_q0,5,0.1,mean,20,inside,12,2,2,12,0,1.4290232968296,0.16293217409485822,0.006295491127138501,0.07397782397782397
SN_normal_q0,5,0.1,mean,20,outside,88,3,29,88,0,1.3984254111901606,0.15916741640549859,0.017197799765046387,0.07961632961632961
SN_normal_q0,5,0.1,mean,100,inside,7,1,1,7,0,1.9796399826279754,0.18761233520214077,0.01484928949209589,0.06020662629141432
SN_normal_q0,5,0.1,mean,100,outside,93,4,30,93,0,1.4049961366899053,0.157315840420865,0.01596781985381799,0.07765532405545277
SN_normal_q0,5,0.1,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,5,0.1,all_inputs,20,outside,100,0,31,0,100,1.415055894419316,0.15962387564023894,0.015889522728497443,0.0
SN_normal_q0,5,0.1,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,5,0.1,all_inputs,100,outside,100,0,31,0,100,1.415055894419316,0.15962387564023894,0.015889522728497443,0.0
SN_normal_q0,5,0.2,mean,20,inside,20,3,6,20,0,1.4247033486894107,0.1680318309689104,0.008934541752868026,0.16164241164241164
SN_normal_q0,5,0.2,mean,20,outside,80,7,25,80,0,1.3984254111901606,0.15745174828601294,0.0176282679724048,0.1568087318087318
SN_normal_q0,5,0.2,mean,100,inside,16,2,6,16,0,1.6417513686691487,0.17308044036978637,0.01795727393219381,0.15570448877805487
SN_normal_q0,5,0.2,mean,100,outside,84,8,25,84,0,1.4088646514180274,0.1569299489620502,0.015495665356364804,0.1530103313145707
SN_normal_q0,5,0.2,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,5,0.2,all_inputs,20,outside,100,0,31,1,99,1.415055894419316,0.15962387564023894,0.015889522728497443,0.00029106029106029104
SN_normal_q0,5,0.2,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,5,0.2,all_inputs,100,outside,100,0,31,1,99,1.415055894419316,0.15962387564023894,0.015889522728497443,0.00034912718204488776
SN_normal_q0,6,0.05,mean,20,inside,2,0,0,2,0,1.7063475207470193,0.12748569728199813,0.0018745769294398048,0.04573804573804574
SN_normal_q0,6,0.05,mean,20,outside,98,6,35,98,0,1.4246688524358646,0.19955189809084237,0.028803055350523795,0.04204675633247062
SN_normal_q0,6,0.05,mean,100,inside,4,1,2,4,0,1.2236814453702247,0.14751507733703262,0.017756332175955725,0.05486284289276808
SN_normal_q0,6,0.05,mean,100,outside,96,5,33,96,0,1.4246688524358646,0.20020605263074256,0.02870232551569155,0.0404977140482128
SN_normal_q0,6,0.05,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,6,0.05,all_inputs,20,outside,100,0,35,0,100,1.4246688524358646,0.19836731810269134,0.028264485782102115,0.0
SN_normal_q0,6,0.05,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,6,0.05,all_inputs,100,outside,100,0,35,0,100,1.4246688524358646,0.19836731810269134,0.028264485782102115,0.0
SN_normal_q0,6,0.1,mean,20,inside,7,1,3,7,0,1.135860339655516,0.0770926847710234,0.0005907402530620275,0.09414909414909414
SN_normal_q0,6,0.1,mean,20,outside,93,9,32,93,0,1.4540285478765538,0.20460705363157872,0.030347455875685776,0.08235530816175977
SN_normal_q0,6,0.1,mean,100,inside,5,1,2,5,0,1.7126699609451155,0.17438707702394732,0.028077680950523654,0.09526184538653366
SN_normal_q0,6,0.1,mean,100,outside,95,9,33,95,0,1.3953091569951752,0.1995496251684001,0.028274317615343086,0.08064050400315002
SN_normal_q0,6,0.1,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,6,0.1,all_inputs,20,outside,100,0,35,0,100,1.4246688524358646,0.19836731810269134,0.028264485782102115,0.0
SN_normal_q0,6,0.1,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,6,0.1,all_inputs,100,outside,100,0,35,0,100,1.4246688524358646,0.19836731810269134,0.028264485782102115,0.0
SN_normal_q0,6,0.2,mean,20,inside,16,2,8,16,0,1.0628553862918728,0.14237426590178226,0.0029244987439844376,0.19061850311850312
SN_normal_q0,6,0.2,mean,20,outside,84,19,27,84,0,1.4885411098628225,0.20732515248564018,0.033091149979838815,0.1669141669141669
SN_normal_q0,6,0.2,mean,100,inside,12,3,2,12,0,1.6308853965013004,0.16433915661168402,0.014033532841955106,0.1785120532003325
SN_normal_q0,6,0.2,mean,100,outside,88,18,33,88,0,1.3441380905942863,0.2025651126623284,0.03020507027394035,0.16492858762185444
SN_normal_q0,6,0.2,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,6,0.2,all_inputs,20,outside,100,0,35,1,99,1.4246688524358646,0.19836731810269134,0.028264485782102115,0.0002702702702702703
SN_normal_q0,6,0.2,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,6,0.2,all_inputs,100,outside,100,0,35,1,99,1.4246688524358646,0.19836731810269134,0.028264485782102115,0.00032418952618453866
SN_normal_q0,7,0.05,mean,20,inside,3,0,1,3,0,1.4402110394579328,0.20575203487371252,0.009527153665268167,0.05128205128205128
SN_normal_q0,7,0.05,mean,20,outside,97,2,23,97,0,1.435839753443352,0.1901970933300992,0.03661136885016888,0.038986647234069916
SN_normal_q0,7,0.05,mean,100,inside,2,0,0,2,0,2.1317436234567997,0.2473969655607917,0.0701263443159871,0.043640897755610975
SN_normal_q0,7,0.05,mean,100,outside,98,2,24,98,0,1.4127833909091259,0.1893479630963133,0.035098281130920526,0.03844979388264034
SN_normal_q0,7,0.05,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,7,0.05,all_inputs,20,outside,100,0,24,0,100,1.4372473500367349,0.19068220493145688,0.03579884239462186,0.0
SN_normal_q0,7,0.05,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,7,0.05,all_inputs,100,outside,100,0,24,0,100,1.4372473500367349,0.19068220493145688,0.03579884239462186,0.0
SN_normal_q0,7,0.1,mean,20,inside,8,0,3,8,0,1.0630247638760282,0.1952982566700079,0.027551518746021138,0.09511434511434512
SN_normal_q0,7,0.1,mean,20,outside,92,4,21,92,0,1.4399740455505698,0.1902755169223285,0.03651600097276105,0.07638072855464159
SN_normal_q0,7,0.1,mean,100,inside,6,0,0,6,0,1.4805513380018742,0.15880993362605048,0.023980705307718772,0.07564422277639235
SN_normal_q0,7,0.1,mean,100,outside,94,4,24,94,0,1.38182249302234,0.1925375552656794,0.03655319157038163,0.0767230859022656
SN_normal_q0,7,0.1,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,7,0.1,all_inputs,20,outside,100,0,24,0,100,1.4372473500367349,0.19068220493145688,0.03579884239462186,0.0
SN_normal_q0,7,0.1,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,7,0.1,all_inputs,100,outside,100,0,24,0,100,1.4372473500367349,0.19068220493145688,0.03579884239462186,0.0
SN_normal_q0,7,0.2,mean,20,inside,17,1,6,17,0,1.0865442669294711,0.1767466057792539,0.0300889179141068,0.1786718845542375
SN_normal_q0,7,0.2,mean,20,outside,83,17,18,83,0,1.4412931444710215,0.1934126359431594,0.0369683449990647,0.15705232572702452
SN_normal_q0,7,0.2,mean,100,inside,18,1,3,18,0,1.38920600022727,0.16659883424367128,0.025747887221908947,0.16084788029925187
SN_normal_q0,7,0.2,mean,100,outside,82,17,21,82,0,1.4372473500367349,0.19557224475968038,0.0380051496276564,0.15926646797640046
SN_normal_q0,7,0.2,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,7,0.2,all_inputs,20,outside,100,0,24,2,98,1.4372473500367349,0.19068220493145688,0.03579884239462186,0.00033264033264033264
SN_normal_q0,7,0.2,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,7,0.2,all_inputs,100,outside,100,0,24,2,98,1.4372473500367349,0.19068220493145688,0.03579884239462186,0.00039900249376558606
SN_normal_q0,8,0.05,mean,20,inside,5,0,2,5,0,1.1799576321802305,0.200927930961389,0.004941596988046573,0.03908523908523909
SN_normal_q0,8,0.05,mean,20,outside,95,3,23,95,0,1.4102346452999923,0.1980384761578992,0.04360942338436536,0.040048145311303206
SN_normal_q0,8,0.05,mean,100,inside,5,0,1,5,0,1.2809094628446485,0.12814479335044288,0.0051808766043366745,0.030922693266832918
SN_normal_q0,8,0.05,mean,100,outside,95,3,24,95,0,1.4114846571370976,0.2011959594809198,0.04359682972035009,0.038403990024937655
SN_normal_q0,8,0.05,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,8,0.05,all_inputs,20,outside,100,0,25,0,100,1.3887440323025113,0.19818394942329945,0.041676032064549416,0.0
SN_normal_q0,8,0.05,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,8,0.05,all_inputs,100,outside,100,0,25,0,100,1.3887440323025113,0.19818394942329945,0.041676032064549416,0.0
SN_normal_q0,8,0.1,mean,20,inside,7,0,2,7,0,1.4102346452999923,0.18174823821771388,0.0038721952565477238,0.08256608256608257
SN_normal_q0,8,0.1,mean,20,outside,93,6,23,93,0,1.36725341930503,0.19936622232634424,0.04452148214687212,0.07875617553036908
SN_normal_q0,8,0.1,mean,100,inside,8,0,2,8,0,1.3455720540723204,0.1301630460169535,0.00504976827683723,0.08478802992518704
SN_normal_q0,8,0.1,mean,100,outside,92,6,23,92,0,1.389369038221064,0.20302464062582026,0.04486092456782874,0.07497560446709314
SN_normal_q0,8,0.1,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,8,0.1,all_inputs,20,outside,100,0,25,0,100,1.3887440323025113,0.19818394942329945,0.041676032064549416,0.0
SN_normal_q0,8,0.1,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,8,0.1,all_inputs,100,outside,100,0,25,0,100,1.3887440323025113,0.19818394942329945,0.041676032064549416,0.0
SN_normal_q0,8,0.2,mean,20,inside,14,4,4,14,0,1.4385363632376786,0.2412604408797956,0.031225226169537258,0.16038016038016037
SN_normal_q0,8,0.2,mean,20,outside,86,10,21,86,0,1.3445366677394195,0.1902506112275884,0.04337732604745837,0.162379732147174
SN_normal_q0,8,0.2,mean,100,inside,18,2,3,18,0,1.412495564225269,0.15081716636246917,0.010919745460921471,0.15627597672485452
SN_normal_q0,8,0.2,mean,100,outside,82,12,22,82,0,1.3445366677394195,0.207136783570452,0.048427412050711646,0.1578371145307463
SN_normal_q0,8,0.2,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,8,0.2,all_inputs,20,outside,100,0,25,2,98,1.3887440323025113,0.19818394942329945,0.041676032064549416,8.316008316008316e-05
SN_normal_q0,8,0.2,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,8,0.2,all_inputs,100,outside,100,0,25,2,98,1.3887440323025113,0.19818394942329945,0.041676032064549416,9.975062344139652e-05
SN_normal_q0,9,0.05,mean,20,inside,4,0,1,4,0,1.4067287217969695,0.08200821078784044,0.00039565219291468995,0.032744282744282746
SN_normal_q0,9,0.05,mean,20,outside,96,2,24,96,0,1.2902140212507862,0.192902412095592,0.038303119196516744,0.03740038115038115
SN_normal_q0,9,0.05,mean,100,inside,4,0,2,4,0,1.0011358951173912,0.3142179193291912,0.05703839627166338,0.03615960099750624
SN_normal_q0,9,0.05,mean,100,outside,96,2,23,96,0,1.302871800060144,0.18269562802926703,0.03594300485990221,0.036393391521197006
SN_normal_q0,9,0.05,all_inputs,20,inside,0,0,0,0,0,,,,
SN_normal_q0,9,0.05,all_inputs,20,outside,100,0,25,0,100,1.2902140212507862,0.18971531523330054,0.03678682051637265,0.0
SN_normal_q0,9,0.05,all_inputs,100,inside,0,0,0,0,0,,,,
SN_normal_q0,9,0.05,all_inputs,100,outside,100,0,25,0,100,1.2902140212507862,0.18971531523330054,0.03678682051637265,0.0
