arm,iv,seed,task,step,mean,star,star_W,bias,within,between,W_norm,b_norm
SNA,l2,2,1,20,0.18330101606070104,0.07635600485986825,0.0764386257526584,-8.262089279014617e-05,0.09108033428528517,0.05481212278375091,4.948433553299915,0.20290438641637346
SNA,l2,2,1,625,0.26292175064335777,0.08573024517908422,0.0781940574754212,0.007536187703663017,0.5189482167600208,0.18097836708147505,7.210109765880884,0.28309904271041336
LR,none,0,1,0,-0.02188783815697956,-0.00889591056657497,-0.011144976157015265,0.002249065590440296,0.02296329907789368,0.014775860059294477,5.761751502410794,0.21099727272156749
LR,none,0,1,20,0.1991714756658073,0.07338104081442158,0.06670865232634401,0.006672388488077559,0.08809467021882629,0.09529900327230345,6.007548083070845,0.21966907585104312
LR,none,0,1,625,0.5368837855985334,0.13912541182239163,0.11780531029442878,0.021320101527962834,1.0271215661153714,0.3815812065370335,11.676880285519031,0.4014431480334484
LR,none,1,1,0,0.017754172577613234,0.011345888426706972,0.0113137702461731,3.2118180533871055e-05,0.02162780648300304,0.01492543444079601,5.771587575153422,0.2108537347018121
LR,none,1,1,20,0.22989027060845543,0.11219329932717549,0.10930046538951749,0.002892833937657997,0.09278776532580484,0.11146734781710631,6.0246543225914655,0.2161663023833763
LR,none,1,1,625,0.6707528644003935,0.23421870160033123,0.2174995458891512,0.016719155711180066,1.0269167811125266,0.29464669164364626,11.556001155251396,0.3837682754353546
LR,none,2,1,0,-0.001884728303595166,-0.0015583640777687324,0.0010320910757808232,-0.0025904551535495556,0.02280599482060863,0.01802265320357281,5.7693645439526104,0.1979369661444384
LR,none,2,1,20,0.20849986531101547,0.08846478409622152,0.0881322991212882,0.0003324849749333225,0.0770772501792088,0.0915262367034005,5.995922457193328,0.20931477857117367
LR,none,2,1,625,0.5601412434272192,0.16504640514451518,0.15265696243847113,0.012389442706044064,1.0161039294592364,0.352229261029585,11.70833287725967,0.3605640751696208
LR,l2,0,1,0,-0.02188783815697956,-0.00889591056657497,-0.011144976157015265,0.002249065590440296,0.02296329907789368,0.014775860059294477,5.761751502410794,0.21099727272156749
LR,l2,0,1,20,0.19174828206649316,0.07912938884584543,0.07267400514226717,0.006455383703578264,0.08385839531574486,0.09561282064239986,4.643849984551661,0.21740253395067902
LR,l2,0,1,625,0.547158149798702,0.17191066730751003,0.15020723982231968,0.021703427485190333,0.7926600283268596,0.35041654549851076,7.961529200541531,0.3896011019543576
LR,l2,1,1,0,0.017754172577613234,0.011345888426706972,0.0113137702461731,3.2118180533871055e-05,0.02162780648300304,0.01492543444079601,5.771587575153422,0.2108537347018121
LR,l2,1,1,20,0.23191043005964784,0.11629745576460249,0.11350382574472445,0.0027936300198780372,0.08993555198323691,0.10656109752577118,4.690537118699672,0.21413501381781905
LR,l2,1,1,625,0.6915354044641258,0.2493484661776105,0.2321105295700485,0.017237936607562006,0.794834278273142,0.23627411364405998,7.949347855583586,0.3686465681385205
LR,l2,2,1,0,-0.001884728303595166,-0.0015583640777687324,0.0010320910757808232,-0.0025904551535495556,0.02280599482060863,0.01802265320357281,5.7693645439526104,0.1979369661444384
LR,l2,2,1,20,0.1979327663703145,0.08934361023820703,0.08919337186372606,0.00015023837448097766,0.07389911295005001,0.09136073986275017,4.659999924905132,0.2068118368741836
LR,l2,2,1,625,0.636823384895048,0.2288292604684566,0.21507784069658648,0.013751419771870133,0.7778964126470609,0.22057933217764686,8.030206787172846,0.34937656759058094
