arm,task,updates,seed,n_units,N,D,c,cND,I_self,I_rest,I_round,K,Q,G,R_self,R_rest,R_round,mean_boundary_jump,mean_parameter_move,variance_initial,variance_after_boundary,variance_current,undefined_c_count
SN_normal_q0,21,200,8,100,0.918540284346648,0.029728781756311804,0.20668426978466128,0.008100486012350722,0.12329109084091172,-0.11439797143036001,2.403081385319203e-09,-0.0007926358012823528,0.003969639526144428,-0.013816604101121727,-0.24658218168182344,0.22879594286072003,-4.806162770638406e-09,-0.038110008455165344,-0.017053076796034558,0.2914888246509851,0.2914888246509851,0.2880346736257046,0
SN_normal_q0,21,200,9,100,0.9263372360783779,0.026562111476440088,0.08896088523331735,-0.00013185304122848948,0.0830889091836806,-0.08258355791244104,-2.4027816910406205e-08,-0.0006371802846511525,0.00316302423829393,0.002152369751448611,-0.1661778183673612,0.16516711582488208,4.805563382081241e-08,0.0008355026653087332,-0.03171361565227649,0.28935605399359365,0.2893560539935936,0.2898941464314558,0
SN_normal_q0,21,1000,0,100,0.9130180870531663,0.05987029335179146,0.03922987732214489,-0.0068482048704334745,0.5523446713658927,-0.5599622732005094,-3.028803900433303e-08,0.000769427252222114,0.0073380132073224465,0.022573277452633635,-1.1046893427317854,1.1199245464010188,6.057607800866606e-08,0.015445446128025682,0.013591837556661353,0.27927560653661027,0.2792756065366102,0.2849189258997687,0
SN_normal_q0,21,1000,1,100,0.9306433182810754,0.05423004424262055,0.0606370028627029,0.0006510407429900341,1.922197993583665,-1.91822797660657,6.745707558040226e-09,-0.003318982979811176,0.01423466782040873,0.006294620374806314,-3.84439598716733,3.83645595321314,-1.3491415116080452e-08,0.005382776095834666,-0.03746314077914378,0.30252383744713907,0.302523837447139,0.3040974925408406,0
SN_normal_q0,21,1000,2,100,0.8699035358152476,0.045112504063023584,0.12459283701570092,0.010270228814783584,0.4455666887372016,-0.4358324047319496,1.0729865137440694e-07,0.0005358375108801707,0.003740299636292607,-0.015728482971514218,-0.8911333774744032,0.8716648094638992,-2.1459730274881387e-07,0.050530099976290314,-0.0345731052070849,0.2483579702618606,0.24835797026186057,0.24442584951898202,0
SN_normal_q0,21,1000,3,100,0.9323614790039261,0.029920273890714083,0.10422867183327048,0.0066412895838330755,1.4865787685199898,-1.4798733579722994,1.5055227209691623e-07,-6.427151613012976e-05,0.0022993869865949087,-0.011111735213331505,-2.9731575370399796,2.9597467159445987,-3.0110454419383246e-07,-0.0486998379625535,-0.007002645447701925,0.3047629983949403,0.3047629983949403,0.3019850645916074,0
SN_normal_q0,21,1000,4,100,0.9243671631690518,0.04350703893015603,0.10835616800277754,0.0004023364889926659,0.7172467078330846,-0.7171478809748606,7.8218308908665e-08,0.00030343141246041435,0.005886895141923714,0.005689084988859211,-1.4344934156661693,1.4342957619497212,-1.5643661781733e-07,0.018119354119863793,0.018137867590084737,0.29362485841586,0.29362485841586,0.29504712966307484,0
SN_normal_q0,21,1000,5,100,0.93707920879294,0.05529705972116122,0.06040042252222342,0.001230353831380047,0.4494808722595567,-0.4499922779643629,-7.761248540975538e-08,0.0017418371486713836,0.005764730062918935,0.006787696697501617,-0.8989617445191134,0.8999845559287258,1.5522497081951077e-07,0.02508866542752365,-0.04158563622012299,0.303023212941012,0.3030232129410119,0.30472013711538737,0
SN_normal_q0,21,1000,6,100,0.9451459359398154,0.049192587785964144,0.09935570084653941,0.006122241883231119,0.2868758751135452,-0.28185941526632524,3.988665405598301e-08,0.0011057421493568841,0.0041303709113411965,-0.005902628556407281,-0.5737517502270904,0.5637188305326505,-7.977330811196602e-08,-0.02548147484366552,-0.03859225154261128,0.29861268775774724,0.29861268775774713,0.2971370306186454,0
SN_normal_q0,21,1000,7,100,0.9104391829703492,0.04252253625852905,0.08293782641294088,0.00596363736794668,0.272171032131909,-0.26759432310620407,-5.035656146655304e-08,0.0013869786988030158,0.0016275130244664154,-0.007525804313820915,-0.544342064263818,0.5351886462124081,1.0071312293310608e-07,0.023052123590725372,-0.0023897519828452495,0.2792011474789907,0.2792011474789907,0.2773196964005355,0
SN_normal_q0,21,1000,8,100,0.918540284346648,0.05064887678966581,0.07370397658973679,0.00844207494423088,0.5849801733682699,-0.5767397267873317,-5.5165196419006355e-08,0.0002016835284892111,0.00613669105711568,-0.010344091774367655,-1.1699603467365398,1.1534794535746633,1.1033039283801271e-07,-0.038110008455165344,-0.01948901117078623,0.2914888246509851,0.2914888246509851,0.2889028017073932,0
SN_normal_q0,21,1000,9,100,0.9263372360783779,0.050340650054115185,0.08805973250284625,-0.0011058286698162037,0.3874097089598291,-0.38821942940295706,1.818612772406771e-07,-0.0002962900879653734,0.006449420948258361,0.008068498111960027,-0.7748194179196582,0.7764388588059141,-3.637225544813542e-07,0.0008355026653087332,-0.008800387917261983,0.28935605399359365,0.2893560539935936,0.2913731785215836,0
SN_normal_q0,21,10000,0,100,0.9130180870531663,0.06674598973471797,0.016396729418846446,-0.011871846544289353,7.331594954936764,-7.345269124154743,2.8218129487758896e-07,0.001802040492392134,0.007629254567310483,0.03497702864067348,-14.663189909873529,14.690538248309487,-5.643625897551779e-07,0.015445446128025682,0.015679644050796398,0.27927560653661027,0.2792756065366102,0.28801986369677857,0
SN_normal_q0,21,10000,1,100,0.9306433182810754,0.06046151006552254,0.057160842619740325,0.0005034793013662063,22.963833614819745,-22.960284799149225,4.578988731497213e-07,-0.00304579426809173,0.014982329416630134,0.007883782277714423,-45.92766722963949,45.92056959829845,-9.157977462994426e-07,0.005382776095834666,-0.03692345555768711,0.30252383744713907,0.302523837447139,0.3044947830165677,0
SN_normal_q0,21,10000,2,100,0.8699035358152476,0.054331329812122936,0.09704694197308689,0.007793133889558463,6.527583367603385,-6.521453344302165,1.0556438465291979e-07,0.001663005023952806,0.003916820681637892,-0.008343437049573424,-13.05516673520677,13.04290668860433,-2.1112876930583958e-07,0.050530099976290314,-0.03695455582803285,0.2483579702618606,0.24835797026186057,0.24627211099946725,0
SN_normal_q0,21,10000,3,100,0.9323614790039261,0.03708450972892998,0.07942878919496801,0.006589456223272552,16.401280703011505,-16.39521579408767,2.27729996540548e-07,0.000524319569412394,0.0024325120110183676,-0.009697761296701947,-32.80256140602301,32.79043158817534,-4.55459993081096e-07,-0.0486998379625535,-0.005766652818075526,0.3047629983949403,0.3047629983949403,0.3023385580707648,0
SN_normal_q0,21,10000,4,100,0.9243671631690518,0.05363998127861256,0.06167595441321233,-0.0020474236981051137,11.011276956343774,-11.014870166998405,3.2239998915279837e-08,0.0015457547164928647,0.006632507793227607,0.013818864622423578,-22.02255391268755,22.02974033399681,-6.447999783055967e-08,0.018119354119863793,0.013756035271229192,0.29362485841586,0.29362485841586,0.2970795745714659,0
SN_normal_q0,21,10000,5,100,0.93707920879294,0.06687706847144989,0.03093153508128835,-0.004755665132690417,6.68089255846015,-6.689815014105875,-2.3534300398368935e-07,0.004167025856049309,0.006284842552221912,0.024130224529701386,-13.3617851169203,13.37963002821175,4.706860079673787e-07,0.02508866542752365,-0.04654863201786814,0.303023212941012,0.3030232129410119,0.30905576907343724,0
SN_normal_q0,21,10000,6,100,0.9451459359398154,0.057837897998059995,0.06630585850512348,0.0032561795915958857,3.399175020199077,-3.398261068876534,-1.0679123606593261e-07,0.002342335060279629,0.004287030573173317,0.0024593415105407987,-6.798350040398154,6.796522137753068,2.1358247213186522e-07,-0.02548147484366552,-0.04046023843356295,0.29861268775774724,0.29861268775774713,0.2992275231353824,0
SN_normal_q0,21,10000,7,100,0.9104391829703492,0.052172787147743795,0.05120140143930497,0.005214224642804327,3.773900353346034,-3.771188964686466,-1.2604563088821645e-07,0.00250296202887504,0.0017430589556396336,-0.00367946627221892,-7.547800706692068,7.542377929372932,2.520912617764329e-07,0.023052123590725372,-0.002259234316565737,0.2792011474789907,0.2792011474789907,0.278281280910936,0
SN_normal_q0,21,10000,8,100,0.918540284346648,0.06271538310666953,0.029708263045029274,0.005690786314866914,6.621894828262871,-6.617661680939318,5.468029378022934e-08,0.0014575843110231786,0.006634472017489064,-0.0018319319901982573,-13.243789656525742,13.235323361878637,-1.0936058756045868e-07,-0.038110008455165344,-0.019035822284650252,0.2914888246509851,0.2914888246509851,0.29103084165343546,0
SN_normal_q0,21,10000,9,100,0.9263372360783779,0.06794837721387524,0.06581753467777607,-0.007670590010042475,3.972234552112999,-3.981853856014279,1.4830955031695207e-07,0.0019485655816843398,0.007530817395922055,0.026769128579375714,-7.944469104225998,7.963707712028558,-2.9661910063390414e-07,0.0008355026653087332,-0.004336714830128766,0.28935605399359365,0.2893560539935936,0.29604833613843756,0
SN_normal_q0,101,1,0,100,1.0481752856264388,0.003111004469770181,-0.02951813081419231,-0.0010857069556932345,0.0003591244746854755,-0.0014448333722874435,1.941908733467666e-09,0.0,3.459496839656631e-05,0.0022060088797830387,-0.000718248949370951,0.002889666744574887,-3.883817466935332e-09,0.07933151917522402,0.002649421781491719,0.3846138859250693,0.38461388592506934,0.3851653881450151,0
SN_normal_q0,101,1,1,100,1.0715136073771516,0.0032879439263167583,-0.013072153101000324,-0.0008382273352783115,0.00016349729569481357,-0.00100172743850903,2.8075359047650107e-09,0.0,5.2383629359086706e-05,0.0017288382999157037,-0.00032699459138962715,0.00200345487701806,-5.615071809530021e-09,0.030175884048861984,0.00047770479494740117,0.40019508309399504,0.40019508309399504,0.400627292668974,0
SN_normal_q0,101,1,2,100,1.0396626400269269,0.00014793462718170355,-0.022916370786249154,-1.3591505692487695e-05,-4.299479771854502e-05,2.9402126018265532e-05,1.16600779180593e-09,0.0,7.938789563684465e-08,2.7262399280611054e-05,8.598959543709003e-05,-5.8804252036531065e-05,-2.33201558361186e-09,-0.024903985939850867,-9.701223490504646e-05,0.38916771502711944,0.3891677150271194,0.3891745306269396,0
SN_normal_q0,101,1,3,100,1.0472010537226462,0.0028984342262000267,-0.11840078709698931,-0.0001185059691221234,0.0002284574149084175,-0.0003469641159324548,7.319019139720128e-10,0.0,3.131042138464548e-05,0.00026832235962888915,-0.000456914829816835,0.0006939282318649096,-1.4638038279440256e-09,0.017716781560853146,0.00021886764399038611,0.38344212416113166,0.38344212416113166,0.38350920475103883,0
SN_normal_q0,101,1,4,100,1.0608684905838328,0.0011307299608120855,-0.030479161607111588,-0.00010766347329679893,0.00024183360547973485,-0.0003494956865500827,-1.3922264510400468e-09,0.0,4.524368697546589e-06,0.0002198513152911473,-0.0004836672109594697,0.0006989913731001654,2.7844529020800936e-09,0.03867850494246265,0.00013359046121707796,0.37401127742700596,0.3740112774270059,0.37406624025582874,1
SN_normal_q0,101,1,5,100,1.0570475831986885,0.00025541254832911036,-0.017278394077207826,-2.6629385297591577e-05,-6.932469112355589e-05,4.269177750976165e-05,3.528316202655604e-09,0.0,2.3525751689634355e-07,5.34940281120791e-05,0.00013864938224711178,-8.53835550195233e-05,-7.056632405311208e-09,0.02057227456685905,-0.0027590334353653477,0.3822107926715419,0.3822107926715419,0.38222416617856986,1
SN_normal_q0,101,1,6,100,1.0615014358077886,0.0008814885709255992,0.08599236895520916,0.0001537096038073473,6.030750236739702e-05,9.340272211327549e-05,-6.206733251977865e-10,0.0,3.458686648364311e-06,-0.0003039605209663335,-0.00012061500473479404,-0.00018680544422655098,1.241346650395573e-09,-0.01060120122315888,-0.0007675695866496046,0.3929641017501006,0.3929641017501006,0.392888111619859,0
SN_normal_q0,101,1,7,100,1.0329977000773554,0.0019224409558143904,0.0770834775336423,0.000164039595390959,0.0002273213948460157,-6.328055505595091e-05,-1.2443991058560982e-09,0.0,1.6241495471333547e-05,-0.0003118376953105892,-0.0004546427896920314,0.00012656111011190183,2.4887982117121965e-09,-0.06237115655806332,-0.005804916592347212,0.3737599198299593,0.37375991982995926,0.3736819604061317,0
SN_normal_q0,101,1,8,100,1.0895602892789524,0.003241453909040832,-0.08891706431244133,0.0005708282785753385,0.00026823761558335946,0.00030258754390545333,3.1190865258676367e-09,0.0,3.9847949303431667e-05,-0.0011018086078472353,-0.0005364752311667189,-0.0006051750878109067,-6.2381730517352735e-09,-0.00866055677119942,-0.01103654746776098,0.40749181304893795,0.40749181304893795,0.4072163608969761,0
SN_normal_q0,101,1,9,100,1.0885547067171346,0.014131986999612241,0.12942928464051676,0.0028696016733329778,0.0003182876285483648,0.00255131118346661,2.86131800244916e-09,0.0,0.0007147387694663562,-0.0050244645771996025,-0.0006365752570967295,-0.00510262236693322,-5.72263600489832e-09,-0.05195387925406667,0.009109909953290614,0.40251079320055744,0.4025107932005574,0.40125467705625745,0
SN_normal_q0,101,20,0,100,1.0481752856264388,0.008849966008086699,0.05049903867241361,0.0003795317681282006,0.009185888017964964,-0.008749371825027951,-1.2522220964020524e-08,-5.697190258784684e-05,0.00032691641705286307,-0.0005460909243792318,-0.01837177603592993,0.017498743650055902,2.5044441928041048e-08,0.07933151917522402,0.009306048868337847,0.3846138859250693,0.38461388592506934,0.38447736319397463,0
