tag,eta,kp_kick_group,next_bucket,count,frac,mean_zbar_pre,n_g
25,0.0025,kp2,kp1,760,0.28158577250833644,-3.6624763011932373,2699
25,0.0025,kp2,kp2,676,0.2504631344942571,-3.6624763011932373,2699
25,0.0025,kp2,kp3+,441,0.16339384957391626,-3.6624763011932373,2699
25,0.0025,kp3-5,kp0,389,0.15001928268414963,-2.894735336303711,2593
25,0.0025,kp3-5,kp1,522,0.2013112225221751,-2.894735336303711,2593
25,0.0025,kp3-5,kp2,391,0.15079059005013498,-2.894735336303711,2593
25,0.0025,kp3-5,kp3+,1291,0.4978789047435403,-2.894735336303711,2593
25,0.0025,kp6+,kp0,41,0.0077096652877021435,-0.1337147206068039,5318
25,0.0025,kp6+,kp1,153,0.028770214366303122,-0.1337147206068039,5318
25,0.0025,kp6+,kp2,188,0.03535163595336593,-0.1337147206068039,5318
25,0.0025,kp6+,kp3+,4936,0.9281684843926288,-0.1337147206068039,5318
