geometry,seed,dimension,n_images,numeric_rank,rank_cutoff_relative_singular,cov_trace,cov_trace_sq,cov_participation_ratio,top10_cov_trace_fraction,largest_cov_eigenvalue,input_mean_sq,source_bank
avg16,302,768,1200,768,1e-10,44.5317931611191,249.03294150463157,7.963125641785072,0.6994677901351234,13.988492611449221,174.82631754128695,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/avg16/seed302.npz
rgb32,303,3072,1200,1199,1e-10,192.3316206072775,4276.985081021196,8.64895518330624,0.6630425782167237,58.32065000080031,688.2211266185939,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/rgb32/seed303.npz
dup64,303,12288,1200,1199,1e-10,769.32648242911,68431.76129633913,8.64895518330624,0.6630425782167237,233.28260000320125,2752.884506474375,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/dup64/seed303.npz
dup64_half,303,12288,1200,1199,1e-10,192.3316206072775,4276.985081021196,8.64895518330624,0.6630425782167237,58.32065000080031,688.2211266185938,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/dup64_half/seed303.npz
gray32,303,1024,1200,1024,1e-10,58.88242863574264,444.6518362505262,7.79742737886697,0.6910790876547814,18.75706950436402,235.95451948563112,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/gray32/seed303.npz
avg16,303,768,1200,768,1e-10,44.83414999026673,265.5182453635521,7.570481654085465,0.7063868766960794,14.556666550058498,172.04488388625418,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/avg16/seed303.npz
rgb32,304,3072,1200,1199,1e-10,190.25710905384318,3975.1952625772915,9.105909308731011,0.6586015098363867,55.70267542181888,696.0274977331704,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/rgb32/seed304.npz
dup64,304,12288,1200,1199,1e-10,761.0284362153727,63603.124201236664,9.105909308731011,0.6586015098363867,222.81070168727553,2784.109990932682,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/dup64/seed304.npz
dup64_half,304,12288,1200,1199,1e-10,190.25710905384318,3975.1952625772915,9.105909308731011,0.6586015098363867,55.70267542181888,696.0274977331705,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/dup64_half/seed304.npz
gray32,304,1024,1200,1024,1e-10,57.992691724893135,411.28688613498764,8.177144486913388,0.6872234804220401,17.84895669825221,238.74170926298808,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/gray32/seed304.npz
avg16,304,768,1200,768,1e-10,44.30890859492494,246.75444799648105,7.956409283861871,0.7023950374044029,13.904062549956214,173.99744110190565,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/banks/avg16/seed304.npz
