arm,iv,seed,task,mean,q10,q50,q90,within,between,star,star_W,bias
LR,none,0,78,-3.632502194922771,-6.468814229200521,-3.788275720196296,-0.0243650288196983,7.093843822668588,7.395500259097222,-3.383033890382204,-3.325979629888016,-0.0570542604941874
LR,none,0,79,-3.456115765025722,-6.710250842779538,-3.3811602392808693,-0.2458709116472937,7.086102350959874,7.636794522410391,-3.4147681367786173,-3.354541898809144,-0.060226237969473
LR,none,0,80,-3.472324608288087,-6.079164581949222,-3.532867129725105,-0.0236282070399321,6.910090072389551,6.916060566344122,-3.471993358791708,-3.406891385830434,-0.0651019729612744
LR,none,0,81,-3.76245410894036,-6.764397588213653,-3.615801193589729,-0.3947266325529934,7.497500554122211,6.9525396140604725,-3.545382767550641,-3.475116466825298,-0.0702663007253431
LR,none,0,82,-3.529442436638202,-6.680327431383238,-3.729308383107565,-0.5430415876071724,7.482588812680482,6.122239984532181,-3.4702204861041817,-3.3977786256586398,-0.0724418604455422
LR,none,0,83,-3.615260993120424,-6.346258973217136,-3.777057951290733,-0.4147646687863881,7.415869076268073,6.8565677230973305,-3.4295344365795275,-3.355388108051232,-0.0741463285282952
LR,none,0,84,-3.590926517688471,-6.004215532856833,-3.744782060272554,-0.2638674403538953,7.030881590189546,6.329994301692364,-3.409792178071487,-3.331781449775711,-0.078010728295776
LR,none,0,85,-3.5880969373007887,-6.248804828944569,-3.913062844368232,-0.4214552990984359,7.207059362938553,6.521113828793013,-3.5387622770327702,-3.457270813678447,-0.081491463354323
LR,none,0,86,-3.585089414798381,-7.039822684687292,-3.5658566183305416,0.2669405710320998,7.391879948636415,7.804391526353643,-3.510529588242042,-3.4279819077206586,-0.0825476805213838
LR,none,0,87,-3.8354352290411584,-7.46772883036277,-4.230902638803087,-0.5256703522344566,7.836741766792346,8.09315298357405,-3.5558198063602235,-3.4703550435104904,-0.0854647628497332
LR,none,0,88,-3.6003067936277624,-6.51731556980986,-3.822068223105135,-0.3582020614512075,7.274959054527742,7.791385526505633,-3.4475075191923743,-3.361053740048161,-0.0864537791442126
LR,none,0,89,-3.752960680685385,-6.408204039146227,-3.8659309203881,-0.027404931521837,7.879475305397477,7.807831384752929,-3.499537020159274,-3.407397407373733,-0.0921396127855405
LR,none,0,90,-3.2482517518855247,-6.45358012867014,-3.3038197140871794,0.3611387720344398,7.395760672232237,8.745418660582706,-3.407080874150932,-3.3139901372395326,-0.0930907369113993
LR,none,0,91,-3.8994780433400846,-7.42306895399029,-3.8041588748191817,-0.2697895024621211,8.273505919341504,10.117582151330092,-3.565857657166343,-3.4666814687663274,-0.0991761884000152
LR,none,0,92,-3.605706925369424,-6.619863258369525,-3.747527939233815,-0.1472474587485891,7.918484453234759,8.843860941955134,-3.6392545610382943,-3.5332687409637287,-0.1059858200745657
LR,none,0,93,-3.684335967690521,-6.4824333490625685,-3.9128528134272056,0.1282269577467471,7.784999549526328,7.787886759981473,-3.65552131814917,-3.548830074975616,-0.1066912431735545
LR,none,0,94,-3.7755518327069177,-6.836844108478484,-4.07862031936514,0.1598866265480961,7.870101660528374,8.880124980162398,-3.596355537931,-3.488467371317589,-0.1078881666134111
LR,none,0,95,-3.569267296592689,-6.847242294801694,-3.666926660989637,0.1914060955792062,8.182675501982915,10.16627146790644,-3.640211263266325,-3.5282355878466536,-0.1119756754196714
LR,none,0,96,-3.8295406432154313,-6.820627116243195,-4.0843045569007845,-0.1995262187196833,8.502016781850458,8.472468261948753,-3.6960005088616072,-3.5799656743247668,-0.1160348345368402
LR,none,0,97,-3.953206629732023,-7.335397791802047,-3.882072559575124,0.0985324472541706,8.438963533259443,9.00017345272201,-3.795615570314159,-3.676261724109692,-0.1193538462044671
LR,none,0,98,-4.097539826540614,-7.458288827089084,-4.309847263291223,-0.4812727387907093,8.811805850732565,9.339819377329045,-3.940273608369921,-3.8148433268630697,-0.1254302815068513
LR,none,0,99,-3.769022199521568,-7.124637543338639,-3.661711582551065,0.0202535998484749,8.209509529544075,9.912711185227984,-3.919305904282045,-3.790554666507776,-0.1287512377742677
LR,none,0,100,-3.916618899273827,-7.823550839371543,-3.719692875814172,-0.0145875787388882,9.12664059140894,10.716093072360602,-3.851015461083622,-3.723134095141319,-0.1278813659423031
LR,none,1,20,-2.0073835290680604,-3.4859811018399403,-2.3746035545812667,0.0371981449734814,2.694928577451169,1.9264032517901597,-1.8271182297486472,-1.8473140628451608,0.0201958330965135
LR,none,1,21,-1.9639735569640604,-3.742258244195475,-2.276044792969021,0.2010097019717046,2.791055566670269,2.243020061048828,-1.8898975871786976,-1.9070153889762744,0.0171178017975762
LR,none,1,22,-1.8956626848758595,-3.4481965309142923,-2.2164223590431638,0.096638753888275,2.791424200500421,2.0231858351399823,-1.8790075840068952,-1.8974028486538648,0.0183952646469697
LR,none,1,23,-1.958236560147469,-3.55653768169487,-2.2416165385266518,0.0382746954407805,2.721403265335669,1.783571226957896,-1.8866825614704947,-1.906774365387225,0.0200918039167299
LR,none,1,24,-2.1088042270039025,-4.096495056591003,-2.25178856782636,0.0648267071225686,3.085592199263547,2.565844291489312,-1.9863747151838929,-2.005235172399671,0.0188604572157782
LR,none,1,25,-2.091864424005617,-3.7063464751732185,-2.319352281728183,0.1342791992902967,2.9047138599542377,2.209853337595874,-2.001122620794677,-2.0215220566929664,0.020399435898289
LR,none,1,26,-2.1610479700585468,-4.069495674203227,-2.680271594412014,0.1087399241342107,3.0798982234366807,2.842084206389739,-2.106796617311989,-2.12431907423968,0.0175224569276906
LR,none,1,27,-2.171360610062807,-4.135104621079925,-2.2934550262315634,-0.0719563378550542,3.076766248981497,2.930700484609336,-2.082817790742724,-2.1017982198928293,0.0189804291501059
LR,none,1,28,-2.0308176814453107,-4.162145046721935,-2.542801089715142,0.3646847089833438,3.165280579687754,3.224912665989523,-2.1093552381142384,-2.1274877157072645,0.0181324775930261
LR,none,1,29,-2.201843210470163,-4.035323898854485,-2.662084085719864,0.3855005172331403,3.2141039515940646,3.3889850338712164,-2.123656875246533,-2.141630827798372,0.017973952551838
LR,none,1,30,-2.286919544347144,-4.275862964939522,-2.2685448337540857,0.013402327650358,3.297337035000368,2.6872598281822992,-2.213179796157388,-2.22827505054684,0.0150952543894527
LR,none,1,31,-2.0424682150204463,-4.314569508091329,-2.254275396311205,0.3700013660647318,3.327782959945796,3.4422152809405424,-2.1783101443072725,-2.19461625272985,0.0163061084225773
LR,none,1,32,-2.332698069912832,-4.408387254401048,-2.742272123192973,0.2250793306627916,3.334756198982879,3.5978070709111085,-2.320370304615889,-2.337444662482548,0.0170743578666588
LR,none,1,33,-2.3417095546194058,-4.161819240181447,-2.803381904803129,0.2548505938839464,3.532474536363398,3.415335817321257,-2.3172860528692767,-2.3314197598631656,0.014133706993889
LR,none,1,34,-2.4271216390644006,-4.187041885363736,-2.8612007429316737,-0.04084154325293,3.6846198786107287,2.9315217721055298,-2.350990617743253,-2.3649165900657207,0.0139259723224677
LR,none,1,35,-2.4393402490304466,-4.501108074022307,-2.6830789243820203,0.1073695960834701,3.607957444708207,3.3937594327938387,-2.320028746009388,-2.333796506022385,0.0137677600129973
LR,none,1,36,-2.356189415719311,-4.461524282299511,-2.5547134144049064,0.0821058581018627,3.551030938243183,3.080874635867176,-2.3771988709636416,-2.390939898925592,0.0137410279619507
