n,zmean_median,m_positive_mean,m_negative_abs_mean,m_net_mean,m_abs_median,imbalance_median,both_signs_frac,quiet_moment_frac,self_b_up_frac,self_b_down_frac,all_z_negative_frac,all_g_negative_frac,gabs_mean_median,abs_v_median,self_b_force_abs_median,full_b_force_abs_median,self_meanz_up_frac,full_meanz_up_frac,whole_shift_slope_positive_frac,near_balance_stable_frac,near_balance_0.05_frac,near_balance_0.1_frac,near_balance_0.2_frac,quiet_1e-12_frac,quiet_1e-08_frac,quiet_0.0001_frac,pooled_imbalance,label,step,activation,alpha,width,seeds,lr,centered
1000,0.05361944040019973,0.3837011633364299,0.00492152878503471,0.37877963455139513,0.10646797097170743,0.9427214778446156,0.661,0.0,0.128,0.872,0.234,0.07,0.5383813313064701,0.08497150614857674,0.000533693074353666,0.04341565565995014,0.125,0.501,0.794,0.027,0.025,0.051,0.102,0.0,0.0,0.0,0.9746719433280209,gelu100,0,gelu,1.0,100,10,0.01,True
1000,-6.597283100133685,0.014423413373698395,0.0001789163766379553,0.014244496997060442,3.773289394838638e-07,1.0,0.135,0.314,0.013,0.972,0.933,0.85,0.0002343455380140194,2.5633738040924072,3.38115132952287e-06,3.270443680365164e-05,0.013,0.463,0.905,0.006,0.008,0.013,0.032,0.098,0.314,0.717,0.9754948176493778,gelu100,1000000,gelu,1.0,100,10,0.01,True
1000,-10.927005370720243,3.4192689759207344e-06,8.885386796883228e-07,2.5307302962324114e-06,1.6745361649550729e-28,1.0,0.001,0.996,0.0,0.568,1.0,0.99,7.27576304848676e-15,8.081857681274414,1.416950818843956e-26,5.05220938121655e-14,0.0,0.513,0.567,0.0,0.0,0.0,0.0,0.97,0.996,0.999,0.5874752306865954,gelu100,5000000,gelu,1.0,100,10,0.01,True
100,-0.06518032681196928,0.3964557281312227,0.0043449063046206,0.3921108218266021,0.11373881989566144,0.9999816274429159,0.5,0.0,0.32,0.68,0.24,0.0,0.4515625,0.42063115537166595,0.01606867135561029,0.27708566025217696,0.32,0.45,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.9783188651348501,leaky5,0,leaky_relu,0.1,5,20,0.01,False
100,-4.939369435654953,0.09365940363917616,0.048127896888957196,0.04553150675021897,0.06407955095171929,1.0,0.4,0.0,0.72,0.28,0.6,0.0,0.09999999999999999,1.0946766138076782,0.19732480641210906,0.018194450046463057,0.73,0.49,1.0,0.04,0.03,0.04,0.06,0.0,0.0,0.0,0.3211254222389588,leaky5,1000000,leaky_relu,0.1,5,20,0.01,False
100,-4.752617437392473,0.09783961345397983,0.04556280806487921,0.052276805389100615,0.06449303980916739,1.0,0.45,0.0,0.71,0.29,0.55,0.0,0.09999999999999999,0.9554392397403717,0.11480737273438427,0.019800821933571577,0.71,0.51,1.0,0.04,0.02,0.04,0.05,0.0,0.0,0.0,0.3645461829403322,leaky5,5000000,leaky_relu,0.1,5,20,0.01,False
100,-0.06518032681196928,0.7993745277379064,0.14307758698791537,0.6562969407499909,0.35429566952519476,0.9987196972159321,0.5,0.0,0.49,0.51,0.24,0.0,0.9678881453382253,0.42063115537166595,0.13632420659395825,0.8961031017383242,0.49,0.46,0.85,0.03,0.02,0.03,0.04,0.0,0.0,0.0,0.696371656973703,snake_025,0,snake,0.25,5,20,0.0045,False
100,-1.947904319036752,0.6292059187658795,0.3526199935423596,0.27658592522351994,0.664644169958845,0.695917920306401,0.86,0.0,0.44,0.56,0.14,0.0,0.548651019395174,0.5677681267261505,0.2241578787544663,0.07396903270192252,0.43,0.44,1.0,0.09,0.03,0.09,0.14,0.0,0.0,0.0,0.2817056687506606,snake_025,1000000,snake,0.25,5,20,0.0045,False
100,-2.1085555255413055,0.5223204037393622,0.6038121832621015,-0.08149177952273927,0.6449487538307819,0.8271640026287261,0.72,0.0,0.58,0.42,0.28,0.0,0.5291119675839351,0.5156088173389435,0.22648693439746165,0.05316221121136028,0.58,0.54,1.0,0.03,0.01,0.03,0.11,0.0,0.0,0.0,0.07236428504366987,snake_025,5000000,snake,0.25,5,20,0.0045,False
100,-0.06518032681196928,1.0682813700377194,0.0612226684010326,1.0070587016366865,0.28773331367508603,0.9990397018030537,0.5,0.0,0.46,0.54,0.24,0.0,0.9385747309372607,0.42063115537166595,0.07615362557982436,0.8576581700987654,0.46,0.46,0.8,0.03,0.01,0.03,0.05,0.0,0.0,0.0,0.8915937149093204,snake_05,0,snake,0.5,5,20,0.0037,False
100,-1.1320322323590517,1.7216395530376685,1.724949461730063,-0.0033099086923951537,3.214581387737248,0.6434919301317819,0.93,0.0,0.49,0.51,0.07,0.0,1.000082312676824,0.581109493970871,1.1595500783238712,0.09505766144258596,0.49,0.45,0.95,0.05,0.0,0.05,0.13,0.0,0.0,0.0,0.0009603433070241509,snake_05,1000000,snake,0.5,5,20,0.0037,False
100,-0.6855761557817459,1.611256882248868,1.6151000746377806,-0.0038431923889124466,3.029194559562163,0.7662228845221525,0.9,0.0,0.47,0.53,0.07,0.0,0.9999746875340134,0.5407841801643372,1.1222446054749828,0.15023771424471064,0.47,0.63,0.97,0.03,0.0,0.03,0.07,0.0,0.0,0.0,0.00119118635670773,snake_05,5000000,snake,0.5,5,20,0.0037,False
100,-0.06518032681196928,1.0484484585826834,0.09157109518316771,0.9568773633995158,0.49661253979754855,0.9992292270222448,0.5,0.0,0.41,0.59,0.24,0.0,0.9527121989492939,0.42063115537166595,0.08418223818757425,0.8971162162915981,0.41,0.46,0.89,0.01,0.0,0.01,0.03,0.0,0.0,0.0,0.8393517113269172,snake_075,0,snake,0.75,5,20,0.0036,False
100,-0.717188325477764,1.7270795133410686,1.6913612494449977,0.03571826389607103,3.285941108159204,0.8263663208153131,0.86,0.0,0.51,0.49,0.1,0.0,0.9985632025717113,0.7167021036148071,2.1705946599314085,0.16883436464146004,0.5,0.48,0.94,0.04,0.02,0.04,0.1,0.0,0.0,0.0,0.010448700555208761,snake_075,1000000,snake,0.75,5,20,0.0036,False
100,-1.1936223739758134,1.6648494487512167,1.8666282850071412,-0.20177883625592472,3.4263630811403374,0.6911363335947622,0.86,0.0,0.56,0.44,0.12,0.0,0.999910465017176,0.6966919302940369,2.1298596644365535,0.20569530995630764,0.55,0.49,0.96,0.04,0.03,0.04,0.11,0.0,0.0,0.0,0.0571372245468422,snake_075,5000000,snake,0.75,5,20,0.0036,False
100,-0.06518032681196928,0.874964029489535,0.18470193222102352,0.6902620972685114,0.6028907602878327,0.9993408300913982,0.5,0.0,0.39,0.61,0.24,0.0,1.0642159522137926,0.42063115537166595,0.1292477149882701,1.017034070132655,0.39,0.46,0.9,0.01,0.01,0.01,0.03,0.0,0.0,0.0,0.6513959325014654,snake_10,0,snake,1.0,5,20,0.0037,False
100,0.25992218777537346,1.8322128935527042,1.5795203404993277,0.2526925530533769,3.0760870859941103,0.7504677409185455,0.87,0.0,0.43,0.57,0.11,0.0,0.9997822415103457,0.9123629927635193,3.0273929246639293,0.3082689096604949,0.42,0.44,0.86,0.04,0.05,0.05,0.11,0.0,0.0,0.0,0.07406574187315934,snake_10,1000000,snake,1.0,5,20,0.0037,False
100,-0.7246122181240935,1.6578593260632304,1.6999015586428918,-0.042042232579662324,3.1498558793442863,0.7736788887761853,0.82,0.0,0.54,0.46,0.11,0.0,0.9999291579178584,0.8841832876205444,2.784040370729615,0.3124239907019947,0.55,0.45,0.9,0.03,0.02,0.03,0.1,0.0,0.0,0.0,0.012520913198779472,snake_10,5000000,snake,1.0,5,20,0.0037,False
100,-0.06518032681196928,0.6085524787122346,0.27675165835936133,0.3318008203528733,0.8618997676128971,0.9994265242163367,0.5,0.0,0.38,0.62,0.24,0.0,0.9783894148439329,0.42063115537166595,0.15260489496577662,1.0150621929508488,0.38,0.46,0.78,0.02,0.01,0.02,0.03,0.0,0.0,0.0,0.37478738261678324,snake_15,0,snake,1.5,5,20,0.0039,False
100,-0.2483985684812069,1.7926811114600307,1.637458011448122,0.15522310001190878,3.1612729668786756,0.8986687086106164,0.86,0.0,0.49,0.51,0.08,0.0,0.9998789168381657,0.9062795341014862,4.688112517730689,0.35940506424035046,0.48,0.49,0.91,0.04,0.03,0.05,0.05,0.0,0.0,0.0,0.045252712630590615,snake_15,1000000,snake,1.5,5,20,0.0039,False
100,0.6496909949928522,2.0135173681446927,1.5144328496473378,0.4990845184973557,3.262886527548475,0.9243479674206547,0.79,0.0,0.39,0.61,0.09,0.0,0.9999908652933752,0.9320248067378998,3.801411156133063,0.5044638506006764,0.39,0.51,0.91,0.03,0.02,0.03,0.05,0.0,0.0,0.0,0.14146586195587194,snake_15,5000000,snake,1.5,5,20,0.0039,False
100,-0.06518032681196928,0.5341194721693957,0.3257748289619732,0.2083446432074225,0.8804387199997064,0.9993893152006715,0.5,0.0,0.43,0.57,0.24,0.0,0.97661778486331,0.42063115537166595,0.18882082320494045,1.0450942216126626,0.43,0.45,0.86,0.03,0.02,0.03,0.05,0.0,0.0,0.0,0.2422909919664568,snake_20,0,snake,2.0,5,20,0.004,False
100,-0.39615708962082863,1.2495627106242346,1.5672932333338006,-0.31773052270956575,2.658918750459387,0.8385026189365261,0.8,0.0,0.56,0.44,0.15,0.0,1.0000007158318298,0.9701593816280365,3.2443051961382157,0.492784247855542,0.56,0.48,0.89,0.01,0.0,0.01,0.07,0.0,0.0,0.0,0.1127961560799998,snake_20,1000000,snake,2.0,5,20,0.004,False
100,-1.204206833615899,1.338670258731885,1.7313415154999294,-0.39267125676804426,2.962260749842236,0.8822756013400317,0.85,0.0,0.56,0.44,0.1,0.0,0.9968369263795038,0.9050763249397278,3.8823165516223845,0.6534904970497526,0.56,0.47,0.85,0.06,0.02,0.06,0.09,0.0,0.0,0.0,0.12790545627998426,snake_20,5000000,snake,2.0,5,20,0.004,False
100,-0.06518032681196928,0.4746104823335749,0.3567271552603631,0.11788332707321189,0.6350532590180125,0.9998478139695757,0.5,0.0,0.48,0.52,0.24,0.0,0.9999820967391573,0.42063115537166595,0.19293836501575193,1.064865805383987,0.48,0.46,1.0,0.03,0.0,0.03,0.05,0.0,0.0,0.0,0.14179957906680424,snake_30,0,snake,3.0,5,20,0.0038,False
100,-0.4487115554511547,1.0305550686099278,1.2364317574292685,-0.20587668881934096,2.1308801909335346,0.7903191548329462,0.84,0.0,0.55,0.45,0.09,0.0,1.0000179111048024,0.8820754587650299,2.2230705340072894,0.600729796860654,0.55,0.42,0.87,0.05,0.03,0.05,0.07,0.0,0.0,0.0,0.09081512360574315,snake_30,1000000,snake,3.0,5,20,0.0038,False
100,-0.2483147345483303,1.2623255204812722,1.3380415550958502,-0.0757160346145782,2.358998480286645,0.8521702396005293,0.85,0.0,0.52,0.48,0.07,0.0,0.9996832616487614,0.8619305491447449,2.299122051698057,0.9509387275743595,0.53,0.51,0.88,0.06,0.04,0.07,0.1,0.0,0.0,0.0,0.029117440889676646,snake_30,5000000,snake,3.0,5,20,0.0038,False
100,-0.06518032681196928,0.4663597904163585,0.38213635507849975,0.08422343533785874,0.7159351519549513,0.9992268056684714,0.5,0.0,0.49,0.51,0.24,0.0,1.0001085435895802,0.42063115537166595,0.1897212791357602,1.0149843853728633,0.49,0.46,0.95,0.01,0.0,0.01,0.03,0.0,0.0,0.0,0.09926201289781715,snake_40,0,snake,4.0,5,20,0.0038,False
100,0.004168550483882427,0.914518719044806,1.0069773987038284,-0.09245867965902259,1.7363937475802085,0.7584534529768956,0.87,0.0,0.5,0.5,0.1,0.0,1.0000000267844789,0.784324437379837,1.3653957760914837,0.5888453324563694,0.49,0.49,0.83,0.05,0.05,0.06,0.09,0.0,0.0,0.0,0.04811806737728616,snake_40,1000000,snake,4.0,5,20,0.0038,False
100,-0.1313515342772007,1.058368526949146,0.9601985463656604,0.09816998058348571,1.8934326710567166,0.677021646273293,0.91,0.0,0.5,0.5,0.07,0.0,0.9998167541228711,0.7661922872066498,1.2539758666492575,0.7531415837870167,0.51,0.55,0.91,0.02,0.01,0.03,0.08,0.0,0.0,0.0,0.04863349941712616,snake_40,5000000,snake,4.0,5,20,0.0038,False
100,-0.06518032681196928,0.4488328361632236,0.38584865627208714,0.06298417989113657,0.6432401698086685,0.9996489814860139,0.5,0.0,0.5,0.5,0.24,0.0,0.9994196218158123,0.42063115537166595,0.1988697051589577,1.0737099728913693,0.5,0.45,0.86,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.07545893908270401,snake_60,0,snake,6.0,5,20,0.004,False
100,-0.2392349853180349,0.8528035384418793,0.8551800700000534,-0.002376531558173872,1.6011027174961159,0.711495277632191,0.9,0.0,0.51,0.49,0.07,0.0,1.0000000074335316,0.5069010555744171,0.42328621224817997,0.3367610861314174,0.51,0.6,0.88,0.04,0.02,0.06,0.11,0.0,0.0,0.0,0.001391425272717814,snake_60,1000000,snake,6.0,5,20,0.004,False
100,-0.3067649882286787,0.7577906688167207,0.9681520004167967,-0.2103613316000758,1.626571872631298,0.5895005250923377,0.94,0.0,0.56,0.44,0.03,0.0,0.9999985158363369,0.48147450387477875,0.389337358465214,0.3911504865535624,0.56,0.51,0.85,0.05,0.05,0.08,0.16,0.0,0.0,0.0,0.12188199257713249,snake_60,5000000,snake,6.0,5,20,0.004,False
100,-0.06518032681196928,0.43500592875715083,0.3966015945113621,0.03840433424578865,0.7277180924081498,0.9999037914195696,0.5,0.0,0.51,0.49,0.24,0.0,1.001711952935202,0.42063115537166595,0.1829068002201777,1.1615243395625447,0.51,0.45,0.8,0.01,0.01,0.01,0.03,0.0,0.0,0.0,0.046180840325789715,snake_80,0,snake,8.0,5,20,0.0039,False
100,-0.15713702701032162,0.7500147133792449,0.859432535689548,-0.10941782231030286,1.4927367257252233,0.719497130824568,0.9,0.0,0.54,0.46,0.05,0.0,1.000001713943465,0.4029562771320343,0.24961212095099294,0.24371348814973237,0.53,0.56,0.89,0.06,0.03,0.06,0.2,0.0,0.0,0.0,0.06798472107340625,snake_80,1000000,snake,8.0,5,20,0.0039,False
100,0.14624005928635597,0.7294798903463376,0.7181687665764568,0.011311123769880966,1.3755872043153903,0.5979699240129932,0.96,0.0,0.46,0.54,0.03,0.0,0.9997040262887388,0.39615361392498016,0.19277456467319942,0.2814400756387785,0.47,0.49,0.84,0.07,0.06,0.09,0.16,0.0,0.0,0.0,0.007813445421159403,snake_80,5000000,snake,8.0,5,20,0.0039,False
100,-0.06518032681196928,0.3964557281312227,0.0043449063046206,0.3921108218266021,0.11373881989566144,0.9999816274429159,0.5,0.0,0.32,0.68,0.24,0.0,0.4515625,0.42063115537166595,0.01606867135561029,0.27708566025217696,0.32,0.45,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.9783188651348501,leaky5x_0002,0,leaky_relu,0.1,5,20,0.002,False
100,-4.453917215112597,0.16548803808982485,0.04342146659001009,0.12206657149981476,0.05500015185680241,1.0,0.2,0.0,0.82,0.18,0.78,0.0,0.09999999999999999,1.9066854119300842,0.47393344773502943,0.027584381768792098,0.82,0.54,1.0,0.02,0.01,0.02,0.02,0.0,0.0,0.0,0.5843035800926739,leaky5x_0002,1000000,leaky_relu,0.1,5,20,0.002,False
100,-5.315936326980591,0.043301473613391865,0.05518432080747589,-0.011882847194084027,0.05858401330187918,1.0,0.14,0.0,0.91,0.09,0.86,0.0,0.09999999999999999,1.6291713118553162,0.26463941579747774,0.02473608117121976,0.92,0.5,1.0,0.03,0.02,0.03,0.04,0.0,0.0,0.0,0.12065544339627336,leaky5x_0002,5000000,leaky_relu,0.1,5,20,0.002,False
100,-0.06518032681196928,0.3964557281312227,0.0043449063046206,0.3921108218266021,0.11373881989566144,0.9999816274429159,0.5,0.0,0.32,0.68,0.24,0.0,0.4515625,0.42063115537166595,0.01606867135561029,0.27708566025217696,0.32,0.45,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.9783188651348501,leaky5x_00037,0,leaky_relu,0.1,5,20,0.0037,False
100,-5.086861943826079,0.07811049616138917,0.048562141157214515,0.029548355004174662,0.05655402563512326,1.0,0.23,0.0,0.84,0.16,0.77,0.0,0.09999999999999999,1.4233850240707397,0.26941434385051166,0.01773838381702624,0.84,0.54,1.0,0.03,0.02,0.03,0.06,0.0,0.0,0.0,0.2332654915035472,leaky5x_00037,1000000,leaky_relu,0.1,5,20,0.0037,False
100,-5.3688705316744745,0.0394537419696735,0.05407863200259354,-0.014624890032920036,0.060184695161879076,1.0,0.26,0.0,0.89,0.11,0.74,0.0,0.09999999999999999,1.4170283675193787,0.2356597559803692,0.03825884614340659,0.89,0.54,1.0,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.15636179658239416,leaky5x_00037,5000000,leaky_relu,0.1,5,20,0.0037,False
